排名：65
网址：https://www.bilibili.com/video/av27111413
更新时间：07-21
弹幕总量：357
preciseTime    ofTime          comment
0.0            1532031690.0    ..
0.1            1532071219.0    试试弹幕
0.659          1532062096.0    Mac装windows7，讲究
0.875          1531885119.0    大爱琴里
0.998          1532081785.0    推荐个不错的影评 CE先生的光影世界
1.465          1531883087.0    1分钟前
2.057          1532068563.0    23333333333
2.365          1531929456.0    琴里我的
2.671          1531984989.0    看见我你就是三万后了
3.17           1532002424.0    五万播放量两百弹幕你们在干嘛
3.682          1532144378.0    高调承包琴里妹妹！！！！
3.748          1532100465.0    23333333333333333
3.906          1532025093.0    I站（暗示）
4.074          1531994511.0    66666666
4.273          1531888851.0     ヾ(❀╹◡╹)ﾉ~
4.391          1532144610.0    自动变色
4.632          1531977907.0    老婆，别跳了，回家慢慢跳好吧
5.106          1532000032.0    老婆
5.943          1531925532.0    岚大啥时候拿后面桌面上的琴里做一期
6.253          1531897438.0    琴里我老婆抱走了不服憋着
6.471          1531882876.0    播放一
6.529          1532144492.0    琴里老婆我的谢谢
6.683          1532080462.0    支咐宝首頁捜索“86OO14”这么优秀吗
7.04           1531986704.0    白琴里！！！
7.648          1531883526.0    前11分钟
8.14           1532058043.0    白琴里(｡◕ˇ∀ˇ◕)
8.309          1532057207.0    捕获稀有白琴里
8.501          1531909255.0    老婆
8.592          1531883439.0    2
8.652          1531908555.0    喵喵喵
9.053          1532080883.0    。。。
9.4            1532005774.0    千年等一回
9.595          1531886641.0    666
9.633          1531977023.0    白琴里？
9.836          1531994832.0    天国的约战三
9.885          1532144572.0    琴里我要了
10.102         1531893889.0    5482
10.133         1531983733.0    自动变色
10.514         1532024624.0    老婆跟我睡觉了
11.071         1531884368.0    1017
11.189         1532153413.0    难道说
11.37          1531992920.0    妹妹！
12.178         1532080468.0    支咐宝首頁捜索“86OO14”这么刺激吗
12.406         1532062017.0    发疯了
12.994         1531896135.0    来了
13.152         1531975482.0    有..有胸
13.253         1531885170.0    我老婆
13.513         1532044612.0    这个布料完美
13.677         1532134896.0    CCTV警告
14.713         1531988449.0    白琴里
14.754         1531883280.0    火钳刘明
14.93          1531963779.0    看到了imac上的win7桌面有意思。。。
15.068         1531883943.0    14
15.082         1532135460.0    CCAV警告
15.151         1531999092.0    没人抢三，那么我把狂三抱走了
15.224         1532001584.0    6666
15.497         1531888671.0    上面的蓝字，这明明是我老婆。
15.587         1532062111.0    Mac反版苹果logo，讲究
15.834         1531883059.0    133
17.226         1531887419.0    我老婆
17.28          1531908191.0    细节好评
17.451         1531924968.0    美腿呀
17.545         1532136712.0    苹果上装Windows系统  这是很正常的现象（尤其是在中国)因为人们用不惯苹果系统，所以只能长个会用的
17.998         1532081968.0    刷弹幕+1
18.09          1531883649.0    566
18.191         1531883147.0    布料很好
18.516         1532073373.0    五河
18.693         1531918302.0    舔
19.473         1531884032.0    看见我那就是837后了
19.808         1532128577.0    大爱琴里
20.053         1531907716.0    我妹妹
20.316         1532091924.0    。
20.595         1531897153.0    老婆啊
20.597         1531907711.0    牛顿欣慰的笑了
20.676         1532051543.0    我老婆，颜表立
20.789         1531923015.0    先添不解释哈
20.893         1532108993.0    mac装win8 讲究
20.936         1532075063.0    我老婆都别抢
20.983         1532050123.0    抓住双马尾，疯狂输出
21.163         1532018843.0    大爱裙子物理
21.186         1531905620.0    好真实。
21.552         1532101899.0    捕捉到一只野生白琴！
21.555         1531967698.0    我家
21.674         1532080923.0    苹果用的尽然是windows系统傻了
21.708         1532034937.0    琴里我老婆
22.793         1532157934.0    CCTV警告
23.154         1532065756.0    颜表立
23.221         1532054222.0    、、、、
23.24          1532144032.0    琴里我的
23.432         1532082190.0    质感好评
23.62          1531937836.0    你们的老婆真棒
23.732         1531884431.0    电脑后天程序亮了
24.212         1531995660.0    nice
24.274         1532001336.0    对a要不起
24.466         1532156933.0    琴里腿太长了
24.543         1531887484.0    我老婆
24.691         1532109375.0    见琴滚
24.742         1532021360.0    好可爱阿。！！！！
24.969         1532096817.0    CCAV点名了啊
25.19          1531928105.0    可惜我没有硬币了
25.34          1532015051.0    有没有相当妹夫的
25.413         1531893281.0    美美美
25.518         1532022713.0    我老婆来了，抱走
25.579         1532140540.0    win7mac
26.477         1531923054.0    稀有白琴里
26.605         1531987652.0    你们的老婆真棒
26.617         1532135565.0    cctv警告
26.834         1532063119.0    苹果标志反了
26.947         1532109621.0    嘿嘿嘿
27.333         1531914656.0    我家手办怎么动起来了
28.173         1531979667.0    别看了，这是我妹妹
28.506         1532071177.0    prprprpr
28.725         1531890509.0    合为妹夫好
29.115         1532062772.0    这是...手办精？
29.223         1531889962.0    😍😍😍😍😘😘😘😍😃😃
29.245         1532056147.0    你们的老婆有纹身
29.41          1531999463.0    稀有白琴里
29.44          1531999922.0    23333
29.773         1531995673.0    老婆大人好
30.073         1531909706.0    up主后台真硬
30.197         1531958798.0    乳量不对
30.808         1531992430.0    穿模了
30.845         1532000198.0    对A
30.868         1532011537.0    求士道の想法！
31.136         1532047942.0    前面等一会那个你过来 我也看过那个
31.413         1532131974.0    苹果装win7讲究
31.957         1531979000.0    琴里
32.069         1531884456.0    不错
32.232         1531917972.0    大爱五河妹妹
32.275         1531969864.0    稀有白琴里
32.916         1532094219.0    什么你老婆，明明是我的
33.054         1531922035.0    大众妹妹？
33.104         1532103197.0    Mac用Windows。。。
33.314         1531994469.0    电脑后天程序亮了
33.365         1532109355.0    360浏览器，讲究
33.569         1531899707.0    好像没牙齿哈哈
34.314         1531984011.0    布料模型好评
34.332         1531986292.0    我姓王，这是你们老婆？！嘿嘿嘿！
34.389         1532061588.0    琴里我老婆
34.554         1531884471.0    妹妹赛高
34.853         1531999633.0    袖珍手办小琴里
34.987         1532078454.0    求桌面～
35.083         1532055727.0    牛顿：不错，满分             啊，你们要干嘛，老子好不容易才从棺材板了跳出来
35.233         1531998556.0    苹果装windows，讲究
35.592         1532055592.0    没人的话狂三我抱走了
35.807         1531995861.0    你妹妹真棒
36.326         1531992945.0    还行！
36.401         1531883043.0    白色的
36.513         1531920323.0    牛顿很欣慰
36.765         1532053250.0    稀有白琴里
37.086         1531883987.0    收到
37.158         1532105801.0    暂停成功，白色胖次
37.273         1531915458.0    暂停成功
37.343         1531988382.0    白色，确认无误
37.432         1531895929.0    暂停成功
37.549         1532062155.0    我看到了似乎带着Vega56显卡的苹果一体机
37.614         1531890173.0    我老婆
37.691         1531890518.0    各位妹夫好
37.753         1531890732.0    我妹妹，你们不许有非分之想！
37.952         1532054252.0    是显卡的香气
38.315         1531992206.0    鸢一折纸我的其他你们随意
38.754         1531994254.0    你们老婆，
38.971         1532103341.0    破站刚被警告我来通告下7-20
39.224         1531995922.0    就我一个人心中毫无波动是吗？？
39.24          1532062966.0    哇！！！
39.252         1531977947.0    暂停成功
39.785         1532073374.0    有，，，，有胸！
40.069         1531885862.0    还是这种最棒了
40.173         1532062415.0    这是什么
40.555         1531896728.0    这个桌面我也有……
41.099         1531883677.0    暂停都不要
41.572         1531906326.0    收到
42.541         1532056140.0    刚过了七分钟，你们这些hentai
42.805         1532100408.0    抱走
43.202         1531902258.0    我女儿
43.972         1532068669.0    是你 我在wallpaper engine见过你！
44.226         1532007520.0    这是我小姨子
44.6           1531890837.0    只有我盯着苹果logo看吗？
44.931         1531999278.0    你们的老婆真棒
45.256         1531893688.0    牛顿摆瞩目
45.257         1531889463.0    白琴里真少见
45.373         1532000008.0    你们的老婆真棒
45.527         1531887743.0    白色不用暂停
45.56          1532137397.0    流逼
45.853         1532090278.0    你们知道你们在想什么吗，从3年到无期
45.859         1532064665.0    边上永远有部手机
46.057         1532045090.0    你们老婆很棒
47.012         1531994300.0    你们老婆在烤面筋呢，这是我老婆
47.579         1531979370.0    132个兄弟，你们好
47.634         1531884690.0    可爱
48.361         1532049551.0    我王可今天就要撸死在这里
48.65          1532021851.0    牛顿：老子要出棺……等等这次很正常啊
48.838         1532080727.0    羞羞的手机壁纸，
49.281         1531885160.0    白带
49.441         1531884372.0    1018
49.497         1531922867.0    我看过你们老婆的那啥。。。
49.594         1531884712.0    超美
49.882         1531906760.0    牛顿：我很满意
50.117         1532061792.0    你们老婆只有一个鼻孔
50.799         1531927317.0    大舅子好
51.14          1531998128.0    Kotori
51.551         1532000432.0    琴里你们的，狂3我的，谢谢谢谢
51.899         1531999883.0    牛顿别出来啊~~快回去，不是你的错
52.435         1531931015.0    电脑桌面和我的一样哎！
52.55          1532001333.0    错了，我们377个人
52.738         1531912887.0    稀有白琴里
53.127         1532109454.0    iMac上win7，可以有
54.23          1531918997.0    只有我注意到后面的苹果用win7
54.65          1531999582.0    头发略硬
54.733         1532007531.0    我半个老婆
54.959         1532064695.0    我想要那部手机
55.447         1532002377.0    暂停失败
55.464         1532063293.0    我十分负责的告诉你们  你们老婆真不错。
55.758         1532065069.0    没人？
56.003         1532090711.0    对不起  ，我心里已经有十香了
57.26          1531923051.0    Win7了解一下
57.594         1531893787.0    妈蛋！
57.617         1531994273.0    ↑看看你们老婆
57.716         1531906437.0    皮，等下你电瓶就不见↑
58.013         1531906374.0    这个电脑是什么牌子的，苹果装win7
59.452         1531928809.0    抱走老婆
60.12          1531891881.0    抱走琴里妹妹
60.293         1531921970.0    后面的是假的苹果电脑吧！
61.221         1532001217.0    苹果装win7系统。。
62.156         1531913856.0    牛顿表示不气了
62.494         1531963809.0    投完了，还剩一个币。
62.644         1532001661.0    很可爱呀~~~~
63.442         1532045108.0    狂三的拔剑吧！
63.505         1531979354.0    赛高赛高
63.557         1531994187.0    声音有点奇怪
63.688         1532145021.0    我全都要
64.588         1531910569.0    各位老丈好
64.96          1532094251.0    妹妹穿高跟
65.185         1531975070.0    妈蛋
65.37          1532134928.0    一群宅男
65.679         1531890885.0    手机壁纸瞩目
65.714         1531932076.0    苹果win7哈哈哈
65.903         1532000503.0    特斯拉，是你吗，喵喵喵
66.032         1531923060.0    妈哒？
66.051         1532063912.0    前面的折纸是我的
66.156         1532001350.0    感人进度条
66.193         1532137418.0    这苹果电脑有毒
66.212         1532009519.0    我要抱走我老婆
66.418         1531891371.0    有字幕写出歌词就好更好了
67.066         1531886024.0    德国骨科了解一下
67.298         1532055863.0    请记住这是白的
67.434         1532001324.0    ↖这个是什么
67.48          1531906874.0    狂骚的轮舞曲？内个。我去面壁
67.526         1532096442.0    这个手机，这个电脑，啊，很符合岚大的日常风格。。话说都是你自己的东西嘛好不好呀
67.586         1531997986.0    好吧，我争不过你们，这是我女儿
67.694         1531996262.0    我老婆别抢
67.801         1531995246.0    怎么还骂人了qwq
68.11          1531895917.0    暂停看手机屏幕
68.198         1531992977.0    妈蛋！
68.355         1532061820.0    白色发带的软妹版
68.754         1531891050.0    mmd真爱粉丝群和搜狗输入法瞩目
69.62          1531988793.0    那个logo？？？
71.958         1532102346.0    拿走手机
72.135         1531923100.0    请根据裙子摆动计算g值
72.587         1532082351.0    你们老婆真不错~
73.17          1532021881.0    特斯拉的够了
74.354         1531923123.0    请根据裙子摆动程度计算刑期
74.756         1531995957.0    全程在看台式电脑..........不好意思我和你们的注意点不一样
74.894         1532076414.0    BGM好熟悉
75.472         1532056158.0    野生字幕君呢
75.853         1531906595.0    苹果被咬了
75.894         1532144137.0    一群死宅都离我老婆远点
76.019         1532056213.0    琴里我的，不服憋着
76.796         1532107885.0    我已經有狂三了
77.208         1531997975.0    你们老婆真———啊
77.96          1531998249.0    310位兄弟们号
78.244         1532107586.0    村川梨衣 - リトライ☆ランデヴー
79.04          1532161523.0    双手打字以示清白
79.437         1531889942.0    稀有白色琴里
79.45          1531998572.0    难道只有做美工的我看到了c4d
80.312         1532140011.0    点名警告
81.871         1532095756.0    2018 7 16  14:25 ↗
85.164         1531885104.0    这眼睛  好萌
85.633         1532007063.0    后面电脑上面的苹果是被咬了几口
85.811         1532136975.0    我要 日 翻她
86.306         1532121445.0    骚里骚气
87.033         1531902259.0    士道以报警
89.019         1531999095.0    c4d
90.778         1531995504.0    为什么总感觉动作怎么羞耻
90.955         1532001414.0    哎，老婆还是别人的好呀
92.319         1532056265.0    可耻的播放量
92.926         1531899978.0    头发在自然一些就好了
94.286         1531890759.0    嘁，岂可修
95.314         1532108226.0    盗版苹果
96.146         1532108801.0    腿不错
97.252         1532002083.0    没有德国骨科的。。。至少琴里没有
99.113         1532137451.0    牛逼啊浅蓝字
99.68          1532090534.0    0.5倍了解一下
102.079        1531975389.0    牛顿很欣慰的躺回了棺材并盖上了板
102.092        1532099454.0    冒泡
102.186        1532062633.0    你们老婆  剩下的是我的
102.614        1531979959.0    抱回家
104.14         1532042230.0    把声音关了
104.846        1531907795.0    这裙子的材质●ω●好真实
106.038        1531997531.0    暂停成功
106.111        1531890749.0    白色
106.251        1532100093.0    看这个苹果的我
107.285        1532080532.0    这，这是怎么通过审核的？厉害了，
107.952        1532000177.0    卡在了什么奇怪的地方qwq
109.179        1532071902.0    这，这个颜色
110.643        1531883230.0    嗯。白的
111.083        1532053036.0    牛顿表示可以瞑目了
112.533        1531960064.0    苹果图标被切了两块
113.177        1531892553.0    叮当猫
115.086        1531884477.0    我去
115.298        1531906632.0    苹果变了
120.241        1531986729.0    裙子上扬得夸张，牛顿起来，看到白色，欣慰地躺了回去
120.887        1532000558.0    366个人你们看到什么
121.323        1531903623.0    你们够了
121.804        1532144197.0    高端水印HHhh
122.172        1531969526.0    真实
122.412        1532064508.0    好萌啊
123.051        1532055977.0    好像上她
124.442        1532025281.0    老婆睡觉了走
124.933        1531976421.0    苹果电脑用的win系统真nb
126.132        1531923998.0    欧派大的不太对
127.048        1532135059.0    不穿衣服的版本我都看过，看这个没啥意思
127.339        1532065565.0    日语键盘，讲究
127.821        1532064162.0    颜表立
128.474        1531887897.0    硬核水印
128.579        1531989638.0    原来是千支魂的歌
136.73         1532107945.0    10W播放量,幾百條彈幕,你們的手在幹嗎?
138.945        1531984497.0    苹果电脑装win 专业233
139.594        1532080148.0    我把半年没见过镇魔抽多
139.596        1531916783.0    卡在奇怪的地方
139.645        1531979230.0    暂停成功，这**怎么跟画的似的，就一小片
139.675        1532055996.0    暂停成功
139.72         1532065900.0    暂停成功，很贴臀
139.813        1531988513.0    耶
141.384        1531884517.0    流比
141.452        1531979790.0    老司机不需要暂停
142.092        1531989874.0    捕捉白琴里
143.171        1532053936.0    老婆是我的
147.63         1531887884.0    1.撩开 2.XX
150.988        1531979791.0    初试们 文明
151.409        1531984547.0    这雷斯就是透明贴图吧 当然一小片
152.561        1532137506.0    污污污污污污污污污
152.704        1531883681.0    琴里妹妹~~~~~
153.192        1531883600.0    我是水印……不要理我
153.403        1531883404.0    厉害
155.231        1532065533.0    裙子不错
156.411        1532116585.0    are you OK?
161.187        1531958304.0    我是裙子，不要看我
163.08         1532000736.0    跳舞的动作有些太尬了，不自然
164.885        1532125811.0    我是桌子       盯~~~
165.091        1532080857.0    有没有注意到苹果用的尽然是windows系统
169.552        1532081383.0    竟然没有穿模！！！
169.969        1532137522.0    托马斯小火车到了
171.1          1532000152.0    =-=
171.175        1531893816.0    可爱
176.388        1532137549.0    求bgm的中文名
178.04         1532065226.0    faq
