排名：1
网址：https://www.bilibili.com/video/av27112998
更新时间：07-21
弹幕总量：2653
preciseTime    ofTime          comment
0.0            1532099886.0    好好看
0.06           1532066667.0    跪麻了腿，出不去了
0.258          1531971476.0    啊啊啊啊这才是镇魂！！
0.364          1532097206.0    火后留名
0.464          1531929317.0    up的这个视频在优酷上有投票啊！摆脱大家快去优酷给神仙up主投一票吧～让更多人看到这个神仙视频
0.519          1532105149.0    太太在阴兵斩发了之后说了会剪下半本！
0.556          1531969212.0    血书球剪下半本书！血书球剪下半本书！血书球剪下半本书！血书球剪下半本书！
0.636          1531983015.0    强推1080p啊啊啊
0.835          1532101342.0    出不去了 一天看十遍
1.077          1531975275.0    N刷
1.117          1531976304.0    三刷
1.132          1532019543.0    佩戴耳机食用更佳
1.207          1532063180.0    先发弹幕为敬
1.257          1532084785.0    我去，神仙剪辑啊……up下凡辛苦了看哭
1.274          1531936748.0    欢迎大家收看《真·剧版镇魂》。
1.293          1531969161.0    血书球剪下半本书！！
1.298          1532103629.0    恭喜你发现镇站之宝（划掉 真镇魂）
1.305          1531969202.0    血书球剪下半本书！血书球剪下半本书！血书球剪下半本书！
1.319          1531977127.0    一百万助攻
1.339          1531990704.0    大家！！！！记得点1080P看！！！！！
1.393          1532087784.0    也就看了几十遍
1.518          1531977158.0    1080p观看！
1.52           1532148555.0    从片尾回来，大大你看我跪的姿势标准吗!
1.553          1532013338.0    又来看一遍
1.565          1532077643.0    我的妈呀
1.64           1531973479.0    真的大佬，太厉害了
1.881          1531930931.0    建议第一遍看先关弹幕
2.004          1532059731.0    请收下我的膝盖和硬币
2.14           1531975164.0    看完最新的镇魂，很生气，前来消消气
2.249          1531993339.0    支付寳搜一下“
2.321          1532167028.0    每日一刷
2.412          1532019617.0    建议1080P画质
2.432          1531982604.0    真原著
2.463          1531969191.0    血书球剪下半本书！血书球剪下半本书！
2.511          1532050881.0    原作无误
2.561          1531978904.0    看完昨晚的更新，觉得还是太太的剪辑更靠谱~~~
2.602          1531990652.0    第二遍！！！！！！
2.681          1532096395.0    充电充电，应该给大佬充电，跪求大佬把后半也剪完！
2.695          1532076808.0    镇魂女娲啊。厉害了
2.722          1531973662.0    啊啊啊啊啊啊啊，我先来吼一声土拨鼠叫开场
2.799          1532047161.0    哥哥读阴兵斩了啊啊啊啊啊啊！！！
2.932          1532065596.0    万人血书求下集！！！！！
3.03           1532064063.0    6666666
3.064          1531978829.0    日刷
3.216          1532100784.0    @朱一龙 @白宇 哥哥们快来看呀！神仙下凡剪辑呀！！
3.25           1531984597.0    看了两遍了，我这遍是来发弹幕的，UP主真·神仙，请收下我的膝盖。
3.345          1532002112.0    我回来了
3.583          1532086367.0    遥想儿时度饿荒
3.615          1532009733.0    空间来个我今天要刷爆
3.679          1532159594.0    大片
3.743          1532060636.0    嗷嗷
3.893          1532010683.0    打卡
3.917          1531984135.0    每日一刷
3.919          1531971483.0    片尾回来的，n刷中
4.062          1532008588.0    我又来了
4.16           1531999164.0    真的是神仙啊！！！
4.179          1532038118.0    我又来了
4.285          1531976877.0    又来了
4.317          1532084273.0    最高清晰度观看为佳 up亲荐
4.365          1531986118.0    原著党表示很很还原了了！
4.552          1532009384.0    时差党客户端一直发不了弹幕，开电脑网页版来弹幕支持啦~~~
4.598          1531994748.0    开头见
4.641          1532098984.0    大大，你看我跪下来的姿势标不标准，要不要多跪几次
4.643          1532002735.0    神仙剪辑啊真的是佩服佩服太棒了无法用言语描述
4.677          1532161500.0    我又来了
4.724          1531982621.0    我又回来了
4.778          1532086837.0    神仙啊
4.839          1532050227.0    每日一刷
4.871          1532048340.0    太厉害了
4.922          1532076854.0    up主镇魂女娲
4.981          1531974507.0    阿阿啊啊阿婆主太棒了呜呜呜
4.982          1532070835.0    神仙
4.992          1531979635.0    再刷几遍
5.174          1532096314.0    神仙剪辑
5.179          1532087853.0    激动
5.201          1531972522.0    这位太太
5.208          1532067238.0    上首页了！！！！！
5.293          1532081523.0    啊！！！！up的太棒了！！！！太厉害了！！！
5.296          1532166286.0    从微博过来的，支持支持
5.501          1532059584.0    阿阿阿阿阿阿啊
5.574          1532128787.0    朱一龙!白宇!你们一定要看这个视频!听到没有!一定要看!
5.594          1531992074.0    真好看！！！！！真是棒！！！！
5.643          1532072031.0    居然第一了……可怕
5.665          1531985560.0    微博观光团打卡
5.792          1531988506.0    每日一刷
5.897          1532084792.0    n刷
5.942          1532166569.0    又来刷
5.998          1531971114.0    欢迎收看电影版镇魂
6.062          1531990664.0    刷起来！！！！！
6.261          1531973853.0    我的跪姿应该很标准。
6.301          1531985341.0    打爆灯啊
6.501          1532064300.0    微博前来打卡
6.519          1532138678.0    Up主真乃神人！！
6.594          1531995349.0    每日一刷
6.687          1532096867.0    厉害
6.76           1532096961.0    又来了
6.78           1532139519.0    每日N刷
6.815          1531919101.0    选择1080p观看，效果更佳!
6.859          1532079620.0    好看到炸裂
7.021          1532008788.0    二刷来贡献弹幕
7.023          1532044436.0    我来补投币啦
7.036          1532081120.0    我又
7.046          1532077971.0    神仙大大！！！
7.234          1532084747.0    都给我看
7.283          1532160363.0    n刷！
7.353          1531980154.0    闻名而来
7.398          1531929188.0    大大真的很棒！8分钟的视频，感觉前面这段上古大战用了太多的镜头了！膝盖奉上
