排名：60
网址：https://www.bilibili.com/video/av27118113
更新时间：07-21
弹幕总量：1662
preciseTime    ofTime          comment
0.0            1532060278.0    村长辛辛苦苦一腔热血都吐光了做出来的视频 你们一直艾特来艾特去的真是……
0.083          1532093904.0    非营利
0.229          1531983604.0    封面绿蓝！！！
0.419          1531970141.0    一个刷新，村长的嘴就会动力
0.438          1531922888.0    小绿和小蓝！
0.441          1531957536.0    承包封面伍六七
0.8            1531992310.0    啊七七
1.018          1532024053.0    一眼看见封面伍六七
1.02           1531974726.0    看到六七就进来惹
1.195          1532050568.0    见绿蓝进
1.437          1532000088.0    棒棒！
1.499          1532072242.0    封面的李饼阿阿阿阿阿阿
1.792          1532101587.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
2.057          1531996902.0    小兰and效率!
2.29           1531974836.0    那么多侵权抄袭怎么不管天天管同人图
2.666          1531995573.0    绿蓝！！！
2.737          1532023808.0    村长的嘴！！！！！果然有了吃高档泡面的经费就是不一样
2.801          1531995170.0    五六七！绿蓝！
2.824          1532011581.0    表白封面少卿！
2.901          1531973709.0    承包咱伍六七
2.981          1531920947.0    动起来画质低了点，不过动了！！！！
3.157          1532039107.0    承包兔子
3.158          1531995135.0    见六七进
3.219          1531925718.0    天呀那兔和小绿小蓝！我爆炸！
3.394          1532056013.0    同人和临摹不侵权，描图侵权
3.881          1532028559.0    嘴巴会动啦！！
4.02           1532077788.0    看到了大理寺少卿喵！！
4.451          1532009054.0    呜呜呜村长好可爱
5.081          1531990197.0    有口型了!
5.416          1531988356.0    那个……逐梦演艺圈圈圈?
5.497          1532092810.0    卧槽，经费在燃烧！！！！
5.635          1531917458.0    嘴会动了！
6.147          1531917294.0    惊了，村长的嘴会动了
6.478          1532094843.0    高调承包封面伍六七
6.481          1532053280.0    村长嘴巴动了？！
6.901          1531965901.0    村长的嘴居然动了
7.239          1531960209.0    动了！
7.282          1531980226.0    嘴巴会动了！
7.684          1531973934.0    你不商业化  作者又不会追究
7.828          1531968767.0    哈哈哈村长动了！
8.0            1531990284.0    村长我们村暴富了吗！
8.099          1531966373.0    村长动了！！！！！
8.106          1532164215.0    村长有了赞助后，嘴会动了
8.533          1531926765.0    村长有钱了
9.068          1531978890.0    啊啊啊啊啊 好怕怕啊
9.558          1532065795.0    挡字幕的nmsl
9.779          1531989800.0    承包七七我老公
10.19          1532145584.0    村长会动了！！！！！！！！
10.206         1531993182.0    动了！头也是
10.41          1531960513.0    村长动了！有钱了！
10.499         1532000017.0    天哪村长嘴动了
11.15          1532088465.0    村长的嘴动了，有经费了！
12.781         1531918210.0    动了!动了诶！
12.819         1531974744.0    嘴！
13.899         1531914858.0    一直在注意村长的嘴，都没听他说啥，回去再看一遍。
14.261         1531986734.0    加了QQ群，对村长有点失望了
14.323         1531997107.0    看到绿蓝进
14.459         1531920813.0    嘴会动了✺◟(∗❛ัᴗ❛ั∗)◞✺
14.497         1531979491.0    嘴动了!
14.68          1531928247.0    ！嘴巴动了
14.76          1531915957.0    天哪嘴动了！
15.419         1531919978.0    头也动了！！！
15.596         1532000673.0    ！！！！好棒
16.081         1531986740.0    加了QQ群，对村长有点失望了
16.115         1532068483.0    嘴巴怎么会动的呢。
16.44          1531996875.0    216楼
16.983         1531920309.0    村长有鼻子，眼睛下面那个尖尖的就是
18.371         1531984105.0    哇嘴动了！
18.619         1531988071.0    感动
18.665         1532090269.0    嘴居然会动了！还对上口型了！
19.265         1531994449.0    805个小伙伴你们好~~
19.681         1531988352.0    村长！活的村长！
19.843         1532057800.0    大家一起吐(oﾟ▽ﾟ)o
19.968         1531914817.0    wdm村长会动了！
20.143         1531927355.0    23333
20.227         1531923501.0    村长的嘴仿佛动得比字还快
20.53          1532032071.0    调到0.5倍，一字一句地和村长一起说话的我……
21.3           1531920545.0    迷你世界
22.481         1531923478.0    哇，之前村长嘴还不会动的呢
22.528         1531948815.0    一起吐_(´ཀ`」 ∠)_
22.572         1531961952.0    吐吐吐吐吐吐吐吐吐吐吐吐吐吐
23.202         1531980492.0    夭寿了村长的嘴动了
23.869         1531988076.0    第一次！！！
