排名：6
网址：https://www.bilibili.com/video/av27118810
更新时间：07-21
弹幕总量：2849
preciseTime    ofTime          comment
0.0            1532107414.0    哼，你还有脸回来，这个六一你没有陪我
0.018          1532073937.0    欢迎回归
0.08           1532103232.0    加油
0.099          1532073932.0    欢迎回归
0.12           1532100426.0    欢迎回来！失踪人口回归....（笑）
0.123          1532150073.0    复活啦!
0.142          1531983068.0    欢迎回家！
0.158          1531978879.0    失去了，才知道珍惜
0.358          1531984230.0    你错了，但是，欢迎回来
0.435          1531981077.0    欢迎回家
0.438          1531978221.0    嗨，过得还好吗？
0.502          1531984179.0    你错了，但是，欢迎回来
0.518          1532050109.0    欢迎回家！！！！
0.538          1532060267.0    欢迎回来
0.558          1532135570.0    欢迎回家!
0.561          1532134674.0    欢迎回归
0.638          1532073943.0    欢迎回归
0.657          1532073291.0    欢迎回家
0.659          1532111602.0    回家了
0.678          1531989710.0    欢迎回家
0.681          1532066551.0    欢迎回家
0.718          1532101648.0    欢迎回来，大头死变态。
0.738          1532073885.0    欢迎回归
0.739          1531981074.0    禁术·轮回天生
0.758          1531978184.0    欢迎回家！
0.838          1532073951.0    欢迎回归
0.925          1532100505.0    终于知道回来了啊！笨蛋！
0.958          1532073918.0    欢迎回归
0.999          1532050860.0    hyhj欢迎回家hyhj欢迎回家
1.0            1532101020.0    欢迎回家
1.03           1532056982.0    终于回来了
1.041          1532103096.0    欢迎回来 等你很久了
1.081          1532104500.0    欢迎欢迎~
1.118          1531984153.0    你错了，但是，欢迎回来
1.159          1532053254.0    欢迎回来
1.278          1531984283.0    你错了，但是，欢迎回来
1.341          1531994485.0    欢迎回家
1.381          1532071871.0    欢迎回家
1.429          1532062578.0    欢迎回家！
1.438          1531984193.0    你错了，但是，欢迎回来
1.441          1532144501.0    欢迎回家
1.478          1531984241.0    你错了，但是，欢迎回来
1.56           1532071865.0    。。
1.596          1532064542.0    欢迎回家死变态们
1.638          1532163416.0    欢迎回家
1.706          1532169355.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.708          1532097393.0    终于来了
1.799          1532136959.0    欢迎回家
1.823          1532058117.0    欢迎回家
1.863          1532074888.0    支付寳搜一下“
1.88           1532061225.0    欢迎回家
1.919          1532098946.0    欢迎回家
1.944          1531989859.0    支付寳搜一下“
2.032          1532098871.0    欢迎回家
2.038          1531984110.0    你错了，但是，欢迎回来
2.069          1531981148.0    欢迎回家！
2.073          1531993382.0    支付寳搜一下“
2.088          1531979161.0    欢迎回来
2.139          1532100182.0    欢迎回家
2.141          1531991586.0    你错了，但是，欢迎回来
2.145          1532072588.0    欢迎回来，
2.18           1531988611.0    欢迎回来
2.223          1531980362.0    这个新人不错，两个视频350万粉丝
2.224          1532073901.0    欢迎回归
2.255          1531990683.0    欢迎回来
2.26           1532070002.0    欢迎回来
2.34           1531986680.0    欢迎回来
2.367          1532049948.0    你错了，但是，欢迎回来
2.384          1531982374.0    欢迎回家
2.401          1531984138.0    你错了，但是欢迎回来
2.408          1531989387.0    欢迎回来
2.478          1531984250.0    你错了，但是欢迎回来
2.499          1532063470.0    欢迎回家
2.527          1532145682.0    恭迎暴慢回归！！
2.577          1531987631.0    你回来了
2.583          1532139272.0    欢迎回家
2.598          1531988544.0    欢迎回来
2.619          1532059450.0    欢迎回家
2.643          1532078621.0    欢迎回家
2.678          1531984207.0    你错了，但是，欢迎回来
2.68           1532157675.0    欢迎回家
2.685          1532159833.0    欢迎回家！
2.716          1531992455.0    欢迎回家
2.727          1532155072.0    爷爷你关注的up主更新了
2.771          1532099695.0    欢迎回家
2.794          1531990816.0    欢迎回来
2.808          1532055557.0    欢迎回家
2.848          1531985634.0    欢迎回来
2.88           1532074233.0    欢迎回来
2.899          1532072824.0    欢迎回家
2.904          1531985989.0    今日再相见
2.906          1531976854.0    欢迎回来
2.939          1532062662.0    欢迎回家
2.957          1531992264.0    欢迎尼玛老公回来
2.965          1531993707.0    欢迎回来
3.032          1531984135.0    回来就好
3.053          1532053694.0    欢迎回家
3.072          1532136147.0    欢迎回家！
3.141          1531989471.0    欢迎回来！
3.178          1532054541.0    欢迎回家！
3.22           1531993896.0    欢迎回来！！！
3.231          1531985923.0    欢迎回来！
3.282          1531977719.0    欢迎回家
3.338          1532102468.0    活了
3.339          1532062681.0    回来了55555
3.368          1532159848.0    欢迎回家！
3.387          1531988624.0    欢迎回来！
3.397          1531984122.0    你错了，但是，欢迎回来
3.441          1532076928.0    欢迎回来
3.448          1531984287.0    欢迎回家
3.453          1532058664.0    欢迎回家
3.459          1532067588.0    很强
3.481          1532055471.0    欢迎回家,暴漫
3.509          1532112457.0    欢迎回家
3.518          1531984304.0    你错了，但是，欢迎回来
3.539          1531990775.0    欢迎回家
3.579          1531978734.0    欢迎回家
3.598          1531984262.0    你错了，但是，欢迎回来
3.62           1531986866.0    欢迎回来
3.625          1532144517.0    欢迎回家
3.628          1532063887.0    欢迎回家
3.678          1532139677.0    欢迎回家
3.699          1531984965.0    欢迎回来！！！
3.708          1532076013.0    回家
3.709          1532133571.0    欢迎回家 大头
3.771          1532108400.0    欢迎回来
3.801          1532058071.0    欢迎回家
3.819          1532049021.0    欢迎回家
3.858          1532073926.0    欢迎回归
3.881          1532058003.0    欢迎回来！
3.94           1532070422.0    欢迎回来
3.945          1531981172.0    哈哈哈又可以看了￣
3.965          1532159862.0    欢迎回家！
3.974          1531978668.0    欢迎回来
4.02           1532099018.0    欢迎回归
4.041          1531988889.0    欢迎回来i
4.058          1531993420.0    回家了
4.06           1532073564.0    暴漫回来了！(ಥ_ಥ)
4.07           1532054377.0    欢迎回来
4.098          1532068637.0    秽土转生
4.119          1532072057.0    欢迎回家
4.137          1531975576.0    欢迎回家
4.14           1531977439.0    欢迎回来，想你太久了
4.18           1532063091.0    welcome
4.202          1532133263.0    欢迎回家
4.212          1532108762.0    欢迎回来
4.218          1532079095.0    欢迎回来
4.221          1532159228.0    欢迎回家
