排名：59
网址：https://www.bilibili.com/video/av27120620
更新时间：07-21
弹幕总量：625
preciseTime    ofTime          comment
0.0            1531979574.0    哈哈哈
0.001          1532168761.0    终于等到了
0.99           1532149849.0    妈也这个开头我以为是极乐净土
1.001          1532020150.0    交出封面
1.04           1531976684.0    第五遍！！！！
1.138          1532018432.0    欢迎收看，武术表演
1.208          1532068388.0    支付寳搜一下“
1.239          1531978933.0    欢迎收看武术版寄明月
1.683          1531980890.0    支咐宝首頁捜索“86OO14”心动的感觉
1.755          1532031227.0    支咐宝首頁捜索“86OO14”真不用谢我
2.001          1532169482.0    差一点第一
2.435          1532054825.0    看我刷出来了什么！！！活久见！
2.662          1531966078.0    有生之年！
3.001          1532157939.0    好
3.098          1531966152.0    惊
3.119          1532054612.0    这是豆蔻第一次舞蹈投稿请大家多担待！！！
3.259          1532066058.0    哇呀来啦
3.416          1532046310.0    我咋出不去了呢......
3.536          1532017077.0    很棒啊！
3.977          1532014672.0    仙女！！！好看！！我要娶你
4.001          1532109423.0    合影
4.242          1531989709.0    终于来了
4.454          1531975386.0    熟悉的桥…
4.624          1531976994.0    承包满屏
4.766          1531968050.0    这头发是被跳乱的么
4.861          1531973181.0    豆蔻厉害
4.978          1532011064.0    6666666
4.996          1532075193.0    我来了！！！！
5.001          1532160463.0    不错
5.136          1531971987.0    又见面啦
5.14           1531957199.0    哇啊啊啊啊啊啊
5.285          1531961677.0    啦啦啦，我来了我来了！！！！！
5.356          1531974023.0    小豆蔻！
5.417          1532014467.0    好看！！仙女！！！
5.5            1531983055.0    终于等到你
5.896          1531956928.0    收藏太少了，看完记得点收藏啊
5.918          1531970861.0    终于等到你
5.99           1531962252.0    片尾过来
6.001          1532167859.0    啊啊啊啊啊
6.311          1531992742.0    终于等到
6.913          1531959646.0    终于！
7.001          1532164071.0    吼吼吼
7.056          1532006775.0    终于等到你
7.099          1531971995.0    又见面啦
7.207          1531971443.0    大家好
7.42           1532007935.0    承包豆蔻
7.505          1531991071.0    硬币先投为敬~~
7.778          1532098126.0    终于等到！！
7.906          1532009554.0    高压锅的声音？
8.001          1532167678.0    失踪人口回归
8.038          1531979364.0    ！！！
8.116          1532076580.0    三刷😂
8.217          1532133024.0    2333333
8.236          1531959698.0    进来再刷刷
8.29           1532157079.0    6666
8.96           1532049357.0    来了来了
9.001          1532159922.0    顶起来
9.139          1532051154.0    哇！！！！
9.487          1532061575.0    头发好乱
9.763          1531980898.0    支咐宝首頁捜索“86OO14”深藏功与名
9.794          1531960824.0    喜欢你
10.001         1532138639.0    收藏收藏
10.096         1531970601.0    表白豆蔻儿！
10.321         1531972104.0    天啊啊啊啊啊啊啊啊啊啊我看到了什么
10.376         1531986094.0    也没看几遍，也就20遍吧
10.557         1532149865.0    终于等到
10.854         1531988832.0    啊啊啊
11.001         1532086161.0    b站品质最高的系列~
11.382         1532078957.0    表白小豆蔻儿！
11.708         1532072439.0    第三遍
11.835         1531960833.0    终于等到你
12.001         1532124752.0    证明我来过！
12.451         1532133837.0    叮
12.515         1531985896.0    超爱这件裙子
12.544         1532081219.0    这是蝉声吗
12.757         1531962929.0    哦呼
12.802         1531967367.0    哇同款发饰
13.001         1532128359.0    为啥我又看一遍
13.246         1531961761.0    豆蔻!
13.37          1531971450.0    出不去了
13.496         1532068384.0    武术项目终于等到了
13.577         1531967393.0    豆蔻儿应援色
14.001         1532160644.0    噗
14.166         1531977175.0    终于等到你
14.596         1532144660.0    为什么感觉比例很不协调。
14.645         1531966237.0    哈哈哈哈哈哈哈豆蔻
15.001         1532150364.0    小豆蔻好美
15.194         1532054847.0    讲真的跳得真不错
15.244         1531966304.0    终于看到豆蔻儿跳舞啦
15.251         1532004945.0    红色这套好美
15.843         1532055920.0    裙子太好看了吧
15.903         1532140063.0    哈？一米三？
16.001         1532165875.0    每天一遍
17.001         1532150905.0    哦喲
17.21          1531964865.0    弹幕助攻！！！！
17.608         1531961429.0    啊啊吹爆
17.619         1532110991.0    自带滤镜
18.001         1532127097.0    目测会火
18.157         1531962355.0    超级可爱的
18.189         1532102677.0    T
18.616         1531975498.0    你是假的吧！这么多年不见加入舞蹈区了6666啊!
18.693         1531957264.0    豆蔻最棒
19.001         1532098241.0    好方
20.001         1532146035.0    见到UP主我就进来了
20.118         1532014291.0    哇塞笑颜很可爱
20.179         1532069015.0    每日一刷
20.499         1531971457.0    太好看了
20.736         1531976988.0    好好看
20.795         1532169792.0    多高？
21.001         1532145133.0    顶起来
21.015         1532144021.0    不简单
22.001         1532151266.0    每天一遍
22.092         1531960778.0    豆蔻穿的都是她家自己的东西，
22.385         1531960257.0    啊啊啊！！！
22.519         1531975609.0    人间仙女
22.565         1532075668.0    刷了多少遍了我也不知道
23.001         1532133229.0    见封滚
23.817         1532014700.0    笑的好甜
23.849         1532169604.0    衣服都好好看哦！！！
24.001         1532127277.0    赞
24.094         1531976403.0    可以的‘’】
24.889         1531972604.0    豆蔻最棒！！
25.001         1532139361.0    前500！！
25.177         1531961956.0    买了他们家衣服，没想到还是个up猪
25.271         1532011943.0    扇子转反了！
25.296         1531965010.0    哇，豆蔻你变了……
26.001         1532156856.0    目测会火
26.181         1531991228.0    这里好像墨球又来过
26.906         1531980915.0    支咐宝首頁捜索“86OO14”真的别谢我
27.001         1532131966.0    我喜欢UP
28.001         1532110505.0    顶起来
28.073         1531961467.0    寇儿，来舞蹈区了w
28.3           1531994036.0    不错呦
28.454         1531969032.0    好美好美啊豆豆
29.001         1532168039.0    这是我第二遍了。
29.214         1532011927.0    扇子转反了哦！
29.231         1532078975.0    好看死了豆蔻！
29.542         1532069164.0    头好大！！！！！！
29.579         1532043534.0    投币投币
29.678         1531984025.0    好可爱
30.001         1532158660.0    好漂亮
31.001         1532146576.0    6分钟前
31.225         1531971467.0    每天刷十遍都不够
31.687         1532068870.0    娉娉袅袅十三余，豆蔻梢头二月初。
31.775         1532065695.0    美炸了
32.001         1532165334.0    红红火火恍恍惚惚
32.194         1531974827.0    小短腿？？
32.728         1531966255.0    妈耶我有生之年看到了豆蔻跳舞
32.97          1531983513.0    等了好久
33.001         1532058745.0    证明我来过！
33.062         1532074463.0    小皮球香蕉梨马兰开花二十一【滑稽
33.102         1532054902.0    rmvb
33.477         1531985701.0    承包我蔻的盛世美颜
33.717         1532101977.0    好美
34.001         1532161906.0    哇啊啊啊啊
34.175         1532101142.0    好看！哇哇哇！！
34.444         1532090233.0    6666666666666
34.477         1531972906.0    又来第N刷了
35.001         1532158299.0    - -
35.017         1532016886.0    头大qaq
35.033         1532152871.0    ?/?????
35.146         1531974297.0    夭寿啦！
35.274         1532143573.0    哇打扣!!!
35.317         1531970236.0    豆蔻头好大
35.688         1531991325.0    腿好看
35.714         1531959246.0    好瘦
35.895         1532073741.0    为豆儿打call！
36.001         1532161185.0    交出封面！
36.683         1532014323.0    好小只好萌..要萌化了
37.001         1532145674.0    不错
37.574         1531969650.0    第一?
37.637         1531969925.0    好可爱啊！
37.702         1531965152.0    很小只呀
37.765         1531965836.0    看了很多寄明月
38.001         1532100946.0    这是我第二遍了。
38.139         1532076624.0    卧槽可爱死了
38.184         1532155132.0    为豆蔻加弹幕
38.716         1531957469.0    这……这是腿吗啊啊啊啊啊啊
39.001         1532128900.0    良心阿婆主
39.526         1532062074.0     好看！！
39.994         1531980929.0    支咐宝首頁捜索“86OO14”深藏功与名
40.001         1532123489.0    收藏收藏
40.019         1532046429.0    有一个进军舞蹈区的up主
40.315         1531975592.0    豆蔻好看
41.001         1532154873.0    我来了
41.116         1532101835.0    扇子转的贼厉害
41.317         1531958160.0    好小巧
41.391         1532094660.0    鞋子好看
41.982         1531977341.0    好可爱！
42.001         1532133409.0    先来占个位
42.156         1531975629.0    可爱
42.402         1531961198.0    挺好的啊
42.513         1531963444.0    好看
42.736         1531979234.0    我怎么觉得头好大，身子好小只
42.799         1532051458.0    这个UP主真的好好看啊
42.822         1532071763.0    哈哈哈武术表演
42.939         1532050041.0    我爱豆寇
42.94          1531967367.0    卡哇伊
43.001         1532018347.0    先来占个位
43.772         1531969757.0    身高不足一米六体重不足九十斤，哇我的菜
43.785         1532150658.0    太好看啦！！！！
43.794         1531972886.0    表白
44.001         1532156496.0    顶上去报社会
44.417         1531976854.0    你好可爱去!!!
44.796         1532157513.0    豆蔻好可爱
45.001         1532138098.0    更新了！
45.016         1532052877.0    豆蔻跳皮筋？
45.2           1532072501.0    好可爱啊啊啊
45.482         1532080595.0    承包红裙子
45.612         1532082415.0    辛苦啦
46.001         1532114111.0    先来占个位
46.341         1531976749.0    好美
46.398         1531971483.0    小可爱笑得真甜！
46.903         1531976564.0    豆蔻也是拼了hhhh
47.001         1532168400.0    红红火火恍恍惚惚
47.275         1531992311.0    哎呀，短腿豆寇儿
47.354         1532104563.0    我的妈好可爱啊
48.001         1532163169.0    先来占个位
48.174         1532086795.0    大头娃娃？？
48.244         1532004785.0    小豆蔻超好看啊！！
48.501         1531965297.0    太瘦了吧
49.001         1532144051.0    合影
49.231         1531971633.0    表白豆蔻儿！！！
49.725         1532085961.0    原唱sing女团
49.766         1531975450.0    豆蔻被拍的只有150
50.001         1532078765.0    小豆蔻好美
50.193         1532078954.0    这比列
50.436         1532158708.0    色调超舒服der
50.526         1531963176.0    喜欢的UP都开始跳舞，开心哈哈哈哈哈
50.75          1531972694.0    豆蔻最美！！
50.836         1531965732.0    豆蔻小盆友，你还知道你本业是干嘛的吗
51.001         1532169663.0    不就是要硬币吗。。给你
51.225         1532072322.0    看起来好小
51.577         1531963326.0    太美了
51.697         1532155145.0    打call
51.911         1532135711.0    108060好评
52.001         1532132868.0    好方
52.003         1531974462.0    很自信
52.108         1532148568.0    一米五?
52.119         1532164828.0    景色好美
52.269         1532128502.0    好小只。好可爱
53.001         1532126195.0    硬币不足  以后再补
53.079         1532023074.0    小仙女
53.458         1531968673.0    太可爱了啊啊啊啊
53.862         1531976782.0    可耐的小豆蔻
54.001         1532100586.0    失踪人口回归
54.374         1532004129.0    有点头大身小。。。
55.001         1532157578.0    好评
55.705         1531976277.0    妹子，跳舞需要加强
56.001         1532108701.0    要火！
56.241         1531977319.0    喜欢的up都开始跳舞我也是
56.74          1531997131.0    腿好细啊啊啊啊
57.001         1532162267.0    我第一
57.054         1532095326.0    感觉1米4    可爱~！~
57.635         1531956882.0    可爱啊啊啊啊啊啊啊啊啊
58.001         1532143149.0    好漂亮
58.316         1531972047.0    豆蔻不务正业系列开场了
58.516         1531973022.0    真的是气势不输
58.678         1532159714.0    喜欢扇子
58.901         1531965692.0    小姐姐自己唱的吧。。。
59.001         1532155774.0    UPUPUPUP
59.689         1532006060.0    头好大呀，哈哈哈哈哈
60.001         1532140443.0    弹幕支援
60.302         1531964444.0    好棒啊
60.636         1531972060.0    也就是说，以后这种事多了
61.001         1532170023.0    有生之年系列
61.06          1531967516.0    同款裙子和发饰，豆蔻超级美的啦
61.542         1531962111.0    为豆蔻疯狂打call
61.617         1532091379.0    头大哈哈哈哈哈
61.717         1532064424.0    豆蔻真的很努力了好吗
61.908         1531984705.0    支持支持
62.001         1532095356.0    处女币献上
62.308         1532016985.0    每天一刷，豆蔻儿小仙女加油哇
62.398         1532011479.0    这镜头有毒。。
62.458         1532003983.0    根本不会跳舞吧
63.001         1532164612.0    失踪人口回归
63.214         1531971069.0    真的没天赋
63.251         1532009072.0    超级好看
