排名：62
网址：https://www.bilibili.com/video/av27128077
更新时间：07-21
弹幕总量：3239
preciseTime    ofTime          comment
0.0            1532162447.0    ..
0.433          1531919397.0    不少人都发出了“我们想要飞行汽车，但是我们真的只是得到了140个字符（指推特）”的感叹
0.507          1532090729.0    支咐宝首頁捜索“86OO14”只能帮你到这了
0.656          1531958431.0    没看原著建设不要尝试  艰深难懂
0.755          1531930681.0    溫馨提示:建議關閉彈幕使用
0.841          1531925942.0    例如现在震撼世界的space-x公司，他的核心发动机和火箭回收技术就是来自于助力阿波罗登月的TRW公司的技术转移
0.875          1531972241.0    二刷完星际穿越觉得有很多致敬2001的 刚好老张也出节目了 赶紧来看
1.096          1531927074.0    终于抢到一次前排了
1.348          1531994440.0    现在有载单人类钢铁侠的飞行工具了呀！！！
1.478          1531919037.0    看到我你们就是第一之后了
1.523          1531923698.0    绿字真的戏精 恶心
1.525          1531930953.0    绿字好评
1.708          1532061879.0    支付寳搜一下“
1.877          1531924581.0    看到我你们就是七万以后了！
1.962          1531919209.0    这片不是正常人能看懂的
1.975          1532102073.0    各国政府更理性对待太空探索而不是一股脑砸钱
2.399          1531922500.0    老张你终于回来了
2.73           1531929982.0    啊！！库布里克大法好！！！
2.877          1531997250.0    科研不仅仅是钱的问题，不要把所有问题都归结到钱。也不能说投资互联网有问题。太片面了
2.987          1531919449.0    卧槽，看我刷出了什么。老张给你跪了
3.092          1532021338.0    最适合装逼的电影
3.181          1531970164.0    来了
3.539          1532014727.0    开头就是废物科普，刷屏的nmsl
3.615          1531931423.0    这
3.881          1531929430.0    老张，你咋失约了
3.883          1532091741.0    绿字说得很好 希望能在评论区看到
4.021          1531971823.0    up辛苦了
4.38           1531920939.0    终于
4.428          1531921726.0    我爱库布里克
4.442          1532013423.0    好片!
4.472          1531926522.0    里程碑式的科幻电影
4.66           1532101714.0    那些长篇大论的人可不可以去评论区
4.669          1532007817.0    关弹幕报智商
4.693          1531918168.0    终于等来了
4.86           1532088750.0    老张我来啦！！！！
5.368          1531918542.0    6666
5.632          1531922994.0    42！
