排名：88
网址：https://www.bilibili.com/video/av27131167
更新时间：07-21
弹幕总量：125
preciseTime    ofTime          comment
0.601          1532163679.0    表白深圳女生
0.715          1531925108.0    看好了！这事我们男生喜欢的微胖！这是！
1.197          1532132040.0    是变声器吧
1.241          1532104695.0    可耻的播放量
1.318          1532070936.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.438          1531929275.0    这除了大腿有点肉哪里看出来胖
1.579          1532148656.0    可耻的播放量
1.718          1531929786.0    抖音——全国最大的聋哑人手语交流中心
2.376          1531925442.0    深圳校服诶
2.734          1532099370.0    开口跪
3.351          1531919780.0    好美呀
3.378          1531925879.0    有种别诋毁这么漂亮的"深圳校服"
3.641          1531926791.0    这小姐姐是谁⊙ω⊙这么好看
3.747          1532088846.0    双手打字以清白示
4.306          1531922474.0    好漂亮
4.31           1531926209.0    深圳校服
4.499          1532086470.0    深圳校服好评
5.041          1531928352.0    好腿！！
5.059          1531936927.0    微胖动吗
5.301          1531925114.0    好看
5.419          1531924065.0    深圳校服
5.839          1531931101.0    开口跪系列2333
6.188          1532159511.0    啊仙儿吗？？？？
6.307          1532142998.0    深圳
6.761          1531920166.0    在下苗人凤
6.82           1532167777.0    仙儿哈哈哈仙儿的声音
7.419          1531927342.0    腿不错。
7.663          1532094384.0    这可耻的播放量
8.4            1531923384.0    全国最大手语交流平台，抖音
8.422          1531940446.0    仙某某？
8.644          1531960876.0    那是果子哥哥的声音
8.661          1531927326.0    仙儿？
8.857          1531930883.0    妹子身材很好啊 可爱 好腿！！
9.219          1531927692.0    重庆话
9.62           1532156667.0    可耻的播放量
9.78           1532086286.0    这到底是想做鸡的学生，还是cos学生的鸡?
9.84           1531930390.0    这叫丰满?微胖?我的天！这是正常的好身材，而且还可能偏瘦
10.15          1531927975.0    深圳校服瞩目
10.354         1532156617.0    正
10.661         1531936845.0    腿玩年
11.44          1531926616.0    这并不胖
11.603         1531929282.0    看腿肉的抖动
11.78          1531926693.0    这是微胖么？ 不是！ 是饱满刚刚好i
11.969         1531931834.0    抖音上的
12.134         1532152952.0    有个大宝贝
12.699         1532075340.0    看下面的手指。。。 害怕😨😨
13.213         1532095798.0    敖厂长
13.557         1532135595.0    可耻的播放量
13.581         1532089261.0    双马尾
13.592         1532152853.0    身材不错哈哈哈
13.928         1531932461.0    有谁知道她叫啥吗
14.233         1532131357.0    配音的吧
14.869         1531925034.0    魏瑾？
15.113         1531920058.0    理想身材
15.144         1532148367.0    这个有味道
15.146         1531926747.0    开口跪
15.158         1532015377.0    可耻的播放量
15.599         1532097851.0    果子哥哥
15.612         1532088878.0    腿玩一辈子
16.116         1531919005.0    喜欢
16.201         1531930004.0    这身材很危险
16.44          1532092842.0    二月红前来求药
16.448         1531930596.0    金秀贤
16.66          1531923635.0    上身好长
16.724         1531930964.0    不知道为啥看起来比例有点怪：
17.31          1532080330.0    233333
17.501         1532096514.0    哇这个完美炮友
17.615         1531925734.0    极品炮架子
18.361         1531916007.0    都干嘛呢？？
18.472         1531924377.0    强，无敌
18.703         1532107730.0    可耻的播放量
18.902         1531941558.0    这腰好长
19.3           1532169495.0    马蛋戒撸的路上总是充满着荆棘。
19.32          1531919707.0    喜欢
19.374         1531930015.0    收不到时间是啥？
19.558         1531915682.0    明人不说暗话，我喜欢
20.534         1531929361.0    这个可以
20.619         1531917203.0    极品
20.873         1532095743.0    静音看(⊙o⊙)
21.168         1532098727.0    把美颜关掉
21.765         1531926197.0    这口音你是敖厂长么
21.916         1531922210.0    完美
22.946         1531919735.0    风韵
23.182         1531929416.0    b站看抖音
23.278         1531918748.0    我要这一对Q
23.5           1531921305.0    舌头打字以示清白
23.889         1531928266.0    舔一下可以吗
23.964         1531935021.0    实战利器
24.317         1531925100.0    丰满
24.32          1532167746.0    一对Q
24.459         1531930463.0    最高境界难道不是呼之欲出？
24.686         1531918969.0    9000多播放，7田弹幕，你们在干什么
24.827         1531922580.0    适合静音更观看
25.701         1531926900.0    什么鬼。。。
26.094         1531928452.0    这可耻的播放量
27.109         1531922811.0    对Q！太大了~要不起！
27.241         1531924647.0    胖
27.482         1532154507.0    上下上下左右左右BABA
27.624         1531923422.0    瘦到十斤?
28.019         1531919544.0    请尊重你的职业
28.285         1531928527.0    胖妹。现实估计不能看
28.286         1531925638.0    明人不说暗话，我都想摸
28.632         1531929927.0    苗人凤
29.145         1531920681.0    丑
29.74          1531922481.0    我为什么一点感觉都没有
29.769         1532153534.0    摸牌
30.139         1531923478.0    皮蛋
30.619         1531932501.0    这个是自己拿笔画的吗
31.083         1531929676.0    太爽了吧
31.28          1531918358.0    这个下巴尖的，能把硅胶都给戳出来了
31.519         1532082488.0    ？
31.768         1531922232.0    好大的圈⭕
31.9           1531927362.0    对Q要不起
32.637         1531930983.0    上上下下左左右右前前后后 
33.339         1531929629.0    偷天换日里，梁家辉的鸡尔会前前后后左左右右
33.461         1531922900.0    我想摸下红桃Q
33.822         1531927403.0    皮蛋。，
34.196         1531920351.0    妖精
34.773         1531927744.0    ？？智障？
35.145         1531922791.0    对Q！太大了~要不起！
35.151         1531929845.0    ？
35.283         1531982392.0    小
35.345         1531905569.0    播放量还算正常
35.346         1532140589.0    静音更合适皮
35.506         1531918187.0    前前后后左左右右。你学会了
