排名：28
网址：https://www.bilibili.com/video/av27147063
更新时间：07-21
弹幕总量：1241
preciseTime    ofTime          comment
0.0            1532076167.0    1122
0.067          1532105542.0    你们都要血小板？那我吧红细胞抱走了
0.083          1532070068.0    该来的还是来了
0.1            1532058502.0    血小板！！血小板！！血小板！！
0.23           1531991891.0    天依我的，后面小号
0.28           1532149164.0    真的最后一次了
0.323          1531962702.0    火钳刘明
0.371          1532049934.0    华夏风韵，洛天依水
0.41           1532062637.0    欢迎回来
0.437          1531967586.0    再来一遍
0.44           1531962716.0    火钳刘明
0.498          1532000017.0    洛天依的血小板？
0.532          1531962711.0    火钳刘明
0.576          1531998077.0    欢迎回来
0.603          1532165319.0    无缝循环
0.607          1531977641.0    血小板是我的
0.609          1531972064.0    欢迎回来
0.639          1531967806.0    血小板我的，说休想的都是后来的
0.649          1531962730.0    火钳刘明
0.724          1532079963.0    小孩子才做选择，我全都要！
0.834          1531962683.0    火钳刘明
0.857          1531962696.0    火钳刘明
0.858          1531962725.0    火钳刘明
0.988          1531918043.0    见到老婆就滚进来了
0.993          1531975835.0    你可识得此阵
0.997          1531907386.0    可以两个老婆一起看啦
1.054          1532143252.0    av27329478超燃单曲 DESPACITO，喜欢的可以听一下。
1.233          1532070555.0    真的,最后一遍!...亿遍
1.289          1532164999.0    汝可识得此阵？
1.339          1531931378.0    六小时之前
1.395          1532163033.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.453          1532021226.0    1.5倍更舒服
1.459          1531967295.0    看我刷到了了什么
1.529          1531959742.0    欢迎回来(￣▽￣)~*
1.663          1531924072.0    欢迎回来
1.688          1531921119.0    不愧梗曲女王啊哈哈哈哈
1.69           1531984785.0    看我发现了什么
1.862          1532068316.0    1
1.882          1532071459.0    糟糕，是自动循环！
2.02           1531959712.0    欢迎回来(￣▽￣)~*
2.247          1532004401.0    好
2.411          1531936336.0    这真的是最后一遍了!
2.412          1532044600.0    看见血小板就进来了
2.413          1531989224.0    火钳刘明
2.438          1531916119.0    颜表立
2.614          1531978100.0    好无聊，我看了300遍就关了(｡•ˇ‸ˇ•｡)
2.628          1532005495.0    锦亿卫前来报到
2.744          1532005413.0    火钳刘明
2.996          1531982868.0    火钳刘明
3.12           1531933234.0    来晚了
3.221          1532026986.0    看我发现了什么！
3.443          1531943833.0    修仙党的胜利
3.447          1531985098.0    自动循环？？？
3.56           1532010421.0    有阿司匹林吗
3.612          1532082882.0    两个老婆一起看！，！，！！！！！！！
3.822          1531927670.0    牌叔又写梗曲
3.92           1531992090.0    ？？？
4.015          1531998571.0    火钳刘明
4.16           1532001197.0    什么情况？
4.209          1532041647.0    你到底是要天依还是血小板？？？？
4.251          1531970013.0    啊啊啊
4.282          1531996848.0    各位，三、年、起、步注意啊
4.458          1532004379.0    2333333
4.512          1531988457.0    火钳刘明
4.566          1532097688.0    瞧我发现了什么好东西
4.582          1531921779.0    火钳刘明
4.653          1532014818.0    欢迎回来
4.678          1532076019.0    你被官方盯上了
4.801          1531974125.0    emmm
4.821          1532089580.0    火钳刘明
5.122          1531962736.0    哦哦哦！前排！
