排名：89
网址：https://www.bilibili.com/video/av27148774
更新时间：07-21
弹幕总量：950
preciseTime    ofTime          comment
0.0            1532149050.0    国产剧就差这一类的声优啊
0.12           1532065917.0    上推荐了！！！
0.123          1531910413.0    关上5000的大门
0.888          1532083287.0    虚空是深渊 凝视者被腐化了
0.921          1532094695.0    推荐一个电影影评 CE先生的光影世界
0.981          1532165768.0    每日一刷
1.038          1531989150.0    BGM:ROBOTICS;NOTES机器人笔记中配乐，林友树作品
1.118          1531908481.0    BGM好评！
1.193          1532152808.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.254          1531997203.0    我曾经跨过山和大海
1.341          1532065112.0    所有暗裔的本体都是武器
1.857          1532102737.0    ⎝⎛≧⏝⏝≦⎞⎠⎝⎛≧⏝⏝≦⎞⎠⎝⎛≧⏝⏝≦⎞⎠⎝⎛≧⏝⏝≦⎞⎠
1.918          1531992610.0    我曾经跨过山和大海
2.04           1531910141.0    交封不杀
2.352          1532099293.0    仲裁圣骑！！！！！！！！！！！！！！！！！！
2.362          1532059870.0    ，，，，，s
2.757          1531911017.0    为我大剑魔天下无敌！！！
2.828          1531908962.0    18分钟前
2.833          1531911013.0    建议观看剑魔语音视频后，观看下LKS的暗裔视频。
3.22           1531908185.0    1093
3.28           1531908081.0    908哈哈这么
3.321          1531913423.0    哈哈哈
3.349          1531926985.0    这个名字就是卢本伟
3.432          1531911150.0    就能理解剑魔的语音的情绪波动
3.539          1531998890.0    封面是拉亚斯特吧
3.677          1531908824.0    .
3.88           1531936914.0    推荐英雄联盟编年史暗裔篇，看完才知道剑魔为什么这样子了，真的心疼
3.94           1531922617.0    李狗蛋
4.054          1531966805.0    火钳刘明
4.091          1531907997.0    想要老剑魔的.·´¯`(>▂<)´¯`·.
4.1            1531908102.0    三分钟前！
4.148          1532079826.0    那个名字叫飞升者
4.171          1532055925.0    法兰街舞队进入直播间
4.923          1531909864.0    亚托克斯，伟大高贵的天神战士
5.141          1531925504.0    两位大佬视频连起来食用效果更佳
5.16           1532059220.0    嘿。我是渣渣灰, 渣渣辉
5.871          1532006311.0    好前
6.139          1531907978.0    718
6.202          1531971647.0    剑魔，老子，爱你啊
6.394          1532087255.0    1
6.459          1532056622.0    四五年没出皮肤了
6.7            1532084626.0    暴力即使优雅
6.72           1531984371.0    第30遍
6.73           1532147102.0    啊托···········································
6.841          1531994973.0    这场战争将纯成为我的杰作
6.989          1532098373.0    不能发弹幕了？
7.015          1531920074.0    ，²³³³³³³    6666666    厉害了23333     ²³³³³³³³³³³     2333     6666         ²³³   666    太流弊了！！卧槽     
7.225          1532063177.0    大剑魔！
7.556          1532137890.0    李狗蛋好评
7.699          1532025081.0    还行
7.979          1531928686.0    我要凯隐的那张
8.221          1531915140.0    10000
8.279          1531909245.0    等一天了
8.376          1531907949.0    5分钟前
8.4            1531908462.0    1698
8.407          1532000130.0    剑魔
8.768          1531914111.0    9008
8.795          1532048200.0    666
9.429          1531908040.0    908
9.518          1532047180.0    111111111
9.573          1531911057.0    来晚了来晚了
9.62           1531908377.0    1541
9.89           1531910936.0    5555
10.116         1531913553.0    声音没以前的剑魔好听
10.236         1531910908.0    5550
10.519         1532001417.0    法兰街舞队
10.716         1531909573.0    亚托克斯！
10.74          1532004652.0    这场战争 将会是我的杰作！    为lpl疯狂打call
10.861         1531993698.0    球音频
10.895         1532089077.0    你曾经是叱咤战场的剑魔，现在你是拿着重剑的跳梁小丑。
11.064         1531926099.0    “你见过数千颗星星同时被点亮吗？我们见过。”死兆星锤石～
11.08          1531996866.0    推荐去看看编年史最近的暗裔篇  
11.549         1532156587.0    这个bgm炸到我了
12.055         1532047080.0    164
12.51          1532007545.0    封面是天神战士亚托克斯，剑魔黑化之前的飞升者
12.778         1532137154.0    是李！恐怖利刃！
12.924         1532007264.0    以前他们叫飞升者
13.247         1532166598.0    关闭前1000的大门
13.695         1531926841.0    为本命打call
13.778         1531917155.0    2018-7-18 20点32分  哈喽 一起看的467
13.914         1531935061.0    已经不知道我第几了，嘤
13.921         1531908484.0    1697
14.508         1531911776.0    6774
14.891         1531908144.0    1092
14.915         1531918130.0    做个老版的吧
15.584         1531908594.0    209
15.819         1532014079.0    被虚空感染的飞升者，曾经恕瑞玛帝国光荣的战士，如今他叫亚托克斯。
15.958         1531908887.0    2528
16.018         1531987671.0    6666666
16.081         1532165829.0    优雅是说旧版剑魔吧？
16.093         1531921575.0    7777
16.345         1532067045.0    王大锤
16.464         1531916808.0    而现在  我  在这里陪你唠嗑（严肃脸）
16.531         1532169115.0    旁边那个好像摸尸P
16.539         1531910026.0    所以没皮肤的锤石什么时候到
16.65          1531907950.0    719
16.779         1531928059.0    去看完拉克丝的英雄联盟宇宙再听更有感觉
16.955         1531917991.0    13000
17.62          1531909082.0    2803
17.902         1532067042.0    来晚了
18.185         1532090006.0    精准而优雅
18.222         1531932296.0    第三遍
18.386         1531910477.0    前5000哈哈哈
19.241         1532158228.0    这配音太震撼
19.39          1531922660.0    2
19.779         1532009948.0    阿托
19.862         1532049094.0    亚托克斯 永远不变的信仰
19.942         1532043692.0    暴力即是优雅~。゜゜(´□｀｡)°゜。
20.057         1531911269.0    优雅？？？你在暗示些什么
20.24          1531924782.0    这个剑魔是个疯子
20.753         1531997228.0    1092
20.945         1531910083.0    4000
20.962         1532102242.0    疯狂嘲讽
21.103         1531925092.0    感觉以前的更好听啊
21.221         1531908180.0    1092
21.516         1531908539.0    为了联盟
21.581         1531925369.0    这个配音演员是配沙皇的 老人家声音 语气很有感染力 我玩新版剑魔经常上头...
22.232         1531911576.0    本命剑魔
22.249         1531908575.0    2016
22.319         1531916845.0    来来来了
22.321         1532014728.0    手握日月摘星辰？
22.588         1531923291.0    优雅？贵妇？姿态？
22.71          1531912819.0    1111
22.919         1531914559.0    暴力即是优雅！
22.963         1531909023.0    关上3000的大门
23.0           1531969816.0    暗裔很可怜的，曾经只有他们拯救世界，却被世人遗忘，只留下现在的恶名
23.248         1531915811.0    天神战士！
23.249         1531922174.0    暴力即是优雅
23.305         1532012362.0    不了解剑魔背景故事的我建议你把背景故事看完再来看，他不是个疯子
23.339         1531910358.0    火钳刘明
23.375         1532003398.0    。。。
23.539         1532010453.0    暗示贵妇
23.831         1531910502.0    4996
24.016         1532055773.0    亚托克斯
24.235         1531909381.0    1111
24.567         1532099298.0    我被这贫穷蒙蔽了双眼
24.635         1532015870.0    那数千个太阳指亚托克斯麾下的数千飞升者
24.799         1532144964.0    怒瑞玛前来致敬
24.823         1532102278.0    这里是暗指剑姬吗？
24.918         1531909254.0    3145
24.946         1531908604.0    2015
25.12          1531909372.0    3262
25.452         1532137734.0    法兰街舞队！！！
25.554         1531908964.0    2000
26.068         1532004485.0    暗裔！！！
26.518         1532097594.0    我怎能不变态
26.748         1531909172.0    2918
26.751         1532089802.0    亚托克斯 永远不变的信仰
26.911         1531921257.0    暴力即是优雅！
26.956         1531916654.0    火钳刘明
26.979         1531921027.0    来个狮子狗怎么样
27.978         1532007521.0    剑魔改了
28.137         1531968078.0    壮哉我大剑魔
28.194         1531915873.0    暴力即是优雅—老剑姬
28.286         1531923825.0    声音像老头
28.439         1531921487.0    bgm好评
28.551         1532079137.0    dark
28.917         1531908818.0    看完才来发 19分钟前
28.939         1531993428.0    配音可以说超越了以前的
29.218         1532164817.0    亚托克斯
29.246         1531947066.0    我是亚托克斯，我是世界的终结者！
29.48          1531975657.0    剑姬啊
29.518         1531919122.0    秋雅？
