排名：93
网址：https://www.bilibili.com/video/av27156690
更新时间：07-21
弹幕总量：994
preciseTime    ofTime          comment
0.0            1532092605.0    ，
0.279          1531927216.0    。
0.706          1531926723.0    嘤嘤嘤
1.299          1532047285.0    超级开心我吃过诶
1.439          1531923648.0    视频长度是我生日耶，开心
1.487          1531924386.0    高产似那啥
1.553          1531977821.0    其实我想知道怎么从上面跳下来
1.641          1531955863.0    好的大尿
1.683          1531986971.0    沙发
1.782          1531964231.0    看见我你已经是14.6万以后了
1.879          1531954085.0    高产似那啥［滑稽］
2.142          1531923637.0    三个小时前
2.412          1531923149.0    蜜汁噗噗通通hhhh
3.015          1531927587.0    好的大尿
3.481          1531931920.0    5小时前！
3.485          1531989305.0    所以你的手办呢？
3.5            1531978536.0    高产！
3.55           1531926811.0    前
3.591          1532032913.0    支咐宝首頁捜索“86OO14”这么刺激吗
3.732          1531927543.0    一大盘鞭炮？
3.902          1531924288.0    咩啊
3.971          1531927600.0    左上角
4.104          1532002074.0    王咩呀
4.152          1531990837.0    咩阿我喜欢你啊啊啊
4.223          1531933823.0    1111111111111111111
4.224          1531975770.0    大尿终于恢复高产啦！
4.365          1531956345.0    哇哦～
4.4            1531935285.0    高产
4.564          1531933284.0    高产
4.626          1531996743.0    常是谁，你为什么要日他？
4.946          1531957587.0    1617
5.601          1532076646.0    土豆味的土豆味的
5.625          1531929107.0    我记得以前是因为王土土画的匕首才决定关注的。。。
5.692          1531924585.0    高产
5.718          1532012656.0    好的，大尿
5.895          1531971270.0    这个好吃
6.319          1531925390.0    吃了这薯片，你就要去西伯利亚挖土豆
6.335          1531960568.0    我来看视频之前想着要是，今天大尿发视频，就可以祝我生日快乐了呢，哈哈哈哈真的发了
6.472          1532069655.0    大尿
6.687          1531931199.0    高产啊啊啊
6.803          1531965981.0    高产咩
7.121          1531933536.0    来了
7.502          1531930209.0    第1461！
7.52           1531964703.0    高产
7.564          1531961790.0    关上14.2万的大门
7.785          1531969500.0    1714
7.81           1531926897.0    三小时前!
7.835          1531965348.0    手办呢
7.884          1531977858.0    吃过耶
7.902          1532088173.0    左下
8.029          1531977974.0    爪子
8.083          1531975378.0    最近每天都能看到咩阿，真好~~~~~~~~~
8.377          1532084765.0    知道了，大尿
8.407          1532072011.0    啵啵
8.455          1531924788.0    啊啊啊三小时前
8.588          1531973106.0    关上2500的门
8.599          1531925201.0    好的明白了大尿
8.604          1531924628.0    爱你
8.673          1531926644.0    我来啦
8.739          1531925865.0    好的，大尿
8.843          1531929094.0    知道了 大尿
8.847          1531976205.0    好的，大尿
8.895          1531957328.0    好的明白了大尿
9.127          1531971021.0    要吃我了啊啊啊啊！
9.137          1532053557.0    知道了，大尿
9.154          1531923360.0    来了
9.413          1531942355.0    知道了大尿
9.425          1532066304.0    好的。大尿
9.844          1532151436.0    知道了，大尿
10.122         1532007898.0    好的，大尿
10.128         1532032919.0    支咐宝首頁捜索“86OO14”深藏功与名
10.162         1532165952.0    隔着屏幕就已经感觉到了口水的喷洒
10.222         1531931693.0    勤快啊咩
10.631         1532072201.0    好的大尿
10.76          1532094752.0    知道了，大尿
11.053         1532048120.0    知道了大尿
11.065         1531965360.0    手办啊
11.188         1532103669.0     求大尿桌上那个毛公仔购买链接
11.235         1531959838.0    知道了大尿
11.314         1532078774.0    大尿从天而降
11.321         1532066976.0    好的大尿，没问题大尿
11.343         1531997550.0    又见到你了，大尿
11.378         1531930136.0    好的大尿
11.414         1531927239.0    好的大尿
11.604         1532050533.0    阿炳？
11.892         1531927689.0    尿尿～
12.076         1532104734.0    我来组成
12.08          1531923604.0    这个姿势是怎么做到的
12.265         1531923666.0    有点腻这个薯片
12.38          1531945200.0    ok的大尿
12.462         1532070297.0    噗噗通通
12.561         1531923598.0    知道了大尿
12.65          1532059291.0    感觉脸上被喷口水了
12.782         1531929541.0    噗噗通通
12.823         1532058915.0    好的，大尿
12.957         1532023088.0    知道了，大尿
13.095         1531927099.0    三小时前哈。
13.193         1532010338.0    啵啵啵
13.559         1531968907.0    知道了大尿
13.765         1532069663.0    王大尿
13.902         1531934712.0    好的，大尿
13.957         1532004348.0    噗噗嗵嗵的薯片
13.998         1531975650.0    大连
14.341         1531944672.0    知道了，大尿
14.641         1531926174.0    1318！
14.729         1532077933.0    背后一拳超人
14.934         1532066050.0    双马尾!
15.346         1531927830.0    4小时前
15.787         1531929779.0    4小时
15.892         1531963165.0    摄像机是不是歪了。。。
16.021         1531925998.0    想知道咩啊是怎么跳下来的
16.087         1531973886.0    噗噗通通
16.175         1531935618.0    啵啵啵噗噗通通
16.341         1531935397.0    我吃过!!!我表哥帮我带回来的!!!
16.459         1532000663.0    狗子呢？
16.72          1532084733.0    破破破
16.797         1531934488.0    双马尾
17.119         1531927049.0    1433223
17.542         1532087868.0    知道了，大尿
17.547         1531923250.0    高产啊
17.677         1531938512.0    ，，，，
18.092         1532060550.0    这个跳出的效果应该是剪辑吧
18.182         1532000322.0    啊啊啊啊
18.501         1531958261.0    1968
18.657         1532165978.0    最好的方向盘
18.686         1531969262.0    咩~
18.854         1531924684.0    出场能不能正常一点呀hhh
18.92          1532084741.0    i o
18.945         1531924039.0    哈哈哈
19.29          1531968970.0    抓住双马尾疯狂输出
19.52          1531995426.0    双马尾
19.723         1531925562.0    如果很赶的话，咩啊不需要日更啦
20.224         1532055063.0    你们天天说大尿大尿的烦不烦啊，我说的对吧大尿
20.832         1532070003.0    这个姿势！注入灵魂！！
20.87          1532103640.0    倒放入镜
21.248         1532050354.0    你的食玩视频呢！！！
21.269         1531924784.0    一定是隔壁超市半价的薯片！
21.361         1532084749.0    you
21.403         1531981539.0    好奇到底从哪里跳出来+1
21.523         1531936620.0    异术家
21.621         1531927282.0    噗噗通通
22.012         1531961691.0    看我刷出了什么!
22.402         1531987750.0    这个我吃过哎，挺喜欢的
22.44          1531932829.0    好哒大尿
22.569         1531985553.0    怎么没弹幕
22.941         1532018172.0    卡
23.101         1532150536.0    双马尾！
23.201         1531924043.0    啵啵啵
23.384         1532063113.0    王老菊
23.684         1532051297.0    九条贵利矢
23.804         1531935339.0    红红火火恍恍惚惚哈哈哈哈😂😂😂😂😝😝😝😝😝😝👏👏👏👏👏
23.82          1531965411.0    78这么大
24.132         1531923882.0    破了250收藏
24.241         1531963541.0    一口千年老痰
24.884         1531983999.0    好大好长～
24.887         1532069674.0    好的大尿
25.142         1531923913.0    爆米花少了一点
26.275         1532047315.0    有些味道很不错喔
26.349         1531930865.0    吃过~~~~
26.504         1531933319.0    18cm长～的薯片
26.982         1532145357.0    正在吃。。
27.164         1531973140.0    那个难道不是薯条？
27.182         1531935418.0    而且还很直
27.287         1532084060.0    2125
27.864         1531959995.0    我能发弹幕了？
27.904         1532065787.0    薯片：没你长没你长。
28.301         1531945389.0    没人刷古天乐吗？？？？？
28.383         1531924513.0    cyka plyat！
28.444         1532104175.0    双马尾是最好的方向盘
28.54          1532062156.0    sally！是你吗！
28.577         1531931389.0    这是开了美颜的王老菊吗
28.695         1532015007.0    咩啊好啊
29.313         1531960118.0    想吃薯片了
29.367         1532060538.0    双马尾，可爱
29.923         1531973034.0    灵性
30.112         1532080588.0    你从哪跳下来的
30.581         1531923386.0    这个笑容和我初恋一模一样
30.781         1531923373.0    大尿，是不是胖了？
30.983         1531925895.0    承包老师
31.022         1531969822.0    吃过普通版的，太咸了
31.038         1531985948.0    你为啥蹦的那么高？？？？
31.062         1531981023.0    左下↙广告招租
31.143         1531963929.0    我爱大尿
31.273         1532002914.0    双马尾要输出了
31.324         1531923274.0    看到我已经是10万以后了。
31.436         1531934530.0    贼好吃这个！
31.466         1532006355.0    熊本熊吓了一跳
31.848         1531927415.0    把声音关了。。。。
32.01          1532078332.0    暂停学表情
32.465         1531924850.0    我觉得芥末味的好吃
32.807         1531928204.0    Emmmmm
33.065         1531931030.0    很好 碎了
33.125         1532081447.0    超好吃
33.158         1531993707.0    说真的 胖了…
33.447         1531934257.0    台湾的
33.523         1531931025.0    刚刚从《人生一串》过来的
33.621         1532091673.0    乌拉！
33.808         1532081945.0    吃过了
33.851         1531974474.0    我家旁边家乐福就有卖的
34.047         1532007302.0    嘿，我吃过耶。
34.087         1532035892.0    买过这个
34.156         1531973253.0    手办呢
34.273         1532057274.0    九條貴利矢
34.274         1531930724.0    吃过这个
34.365         1532088057.0    巨好吃
34.654         1531966103.0    看到我你已經14.9w后了
34.726         1531971126.0    shouban
34.728         1531927972.0    打麻将了
35.014         1531970767.0    这个真的贼好吃！！！
35.082         1532018043.0    不应该叫薯条吗
35.185         1532002080.0    口♂技bgm😂
35.364         1532000427.0    这个薯片 我们学校自动售货机里有卖
35.872         1531997342.0    火球买手上有卖哦
36.044         1532021524.0    俄罗斯恋人瞎子味
36.266         1532004919.0    吃过
36.281         1531927569.0    同志，伏特加
36.372         1531978993.0    我吃过
36.407         1531993147.0    长！辣味…………辣条
36.64          1531928127.0    噗噗通通
36.742         1531984692.0    特别长？？？那是不是薯条啊
36.782         1531933425.0    毛子薯片
36.881         1531927601.0    同志，波波沙
36.969         1531927070.0    前方大变活猫
37.09          1531969212.0    这是要辣瞎你
37.401         1531927623.0    咕噜咕噜咕噜
37.432         1531929045.0    看到我你已经十万后了
37.5           1531927588.0    吃过唉
37.728         1531955781.0    吃过！
37.841         1531973920.0    芝士味最好吃
37.895         1531965150.0    吃过多种口味，除了辣味都好吃，它的他味一个字“咸”！！
38.002         1531927631.0    乌拉
38.104         1531964819.0    前面萨沙等等我
38.121         1532065208.0    老毛子最不缺的就是土豆
38.282         1531932169.0    吃过白俄罗斯的特别好吃
38.324         1531938005.0    黑的这个好吃
38.637         1531979998.0    正在吃薯片我
38.681         1531927650.0    哒哒哒哒哒哒
38.721         1531931335.0    我买过！
38.932         1531926390.0    first 不辣的
39.144         1532004397.0    吃过同款
39.201         1531999141.0    正在吃桃子
39.322         1531981768.0    辣味好吃！！！
39.33          1531973918.0    啊啊啊啊看起来好好吃
39.382         1531967967.0    送去西伯利亚种土豆
39.592         1531989378.0    同志波波莎
39.766         1532090656.0    我关弹幕了吗？
39.801         1532093422.0    战斗民族(˶‾᷄ ⁻̫ ‾᷅˵)
39.818         1531927844.0    我吃过哈哈红红火火恍恍惚惚干哈
39.997         1531930073.0    。。。。。
40.568         1531927197.0    吃过，超好吃
40.638         1532058219.0    进过口的薯片
40.797         1532060828.0    很咸
40.803         1531927007.0    这个不辣
41.462         1531981526.0    战斗民族-真-战术-薯片
41.705         1531928529.0    尿尿从袋子里蹦出来
42.077         1532167894.0    非正式会谈!!!
42.164         1532062742.0    呀土豆
42.24          1532093140.0    霞味
42.264         1532133828.0    声音为什么听起来像大仙
42.268         1531930753.0    倒出一只猫
42.281         1532084840.0    夭寿啦，薯片里跳出一只猫猫
42.348         1531927193.0    真卡
42.406         1531930744.0    前方高能
42.465         1531927475.0    手办呢
42.622         1531978718.0    小白好像吃过这个
42.682         1532061149.0    又大又长
42.83          1531982337.0    培根和芝士的好吃
42.958         1532089274.0    并不是很长
43.468         1532151436.0    b
43.498         1531936638.0    我居然吃过
43.561         1531967157.0    我吃过！
43.61          1531969967.0    我吃过
43.642         1531929039.0    另一款是辣的，不虾的
43.961         1531962547.0    什么名字的薯片我也要买！！！！尽然有猫送天惹
44.101         1532094140.0    吃过
44.107         1531925650.0    我差点以为盒子里有只猫
44.491         1531929863.0    只有我感觉猫是从里面倒出来的吗。。。
44.729         1531967187.0    15小时前，15万播放量
44.889         1531928249.0    劳资的小饼干
45.067         1531977413.0    手办呢
45.099         1532057593.0    啊 内包装里掉出来了一只尿尿
45.125         1531935836.0    瞎味
45.488         1532126037.0    刀子讲究
45.533         1531967589.0    特效更新
46.1           1531924952.0    这个不辣
46.125         1531984798.0    我吃过芥末味的。。。。。
46.24          1531994887.0    盒子里有只猫
46.282         1531927146.0    看到我你就是8.1万之后了哈。
46.463         1531967562.0    尼奥从包装里跳出来了
46.78          1531964952.0    我也以为从袋子里跳出一只猫！！
46.825         1531926768.0    琦玉老师
46.883         1532153983.0    我吃过
46.997         1532060828.0    哇 我还以为袋子掉出一只猫
47.268         1532103307.0    吃过
47.345         1531969027.0    一刀开出尿尿！！！
47.745         1531998740.0    猫粮
47.875         1531931675.0    我也要这个薯片，送一打猫过来
47.922         1532101217.0    这个巨好吃
47.941         1531957080.0    表示，吃过更长的
48.121         1531926823.0    不爱吃
48.183         1532005721.0    前面萨沙的等等我hh
48.287         1531927023.0    闻声而至
48.413         1532070241.0    同款刀
48.759         1531971050.0    看到我你就是15.7w了
49.747         1532084688.0    有培根味
49.828         1531969742.0    掉出猫的你不是一个人
50.198         1531989624.0    辣的超好吃！！
50.971         1531970695.0    还以为买薯片送猫
51.288         1531962305.0    芝士蘑菇好吃
52.807         1531930377.0    居然没有碎，只碎了一点点
52.947         1531928058.0    尿尿卡的点好准
53.301         1531969196.0    我的长度
53.314         1531928126.0    战斗民族的薯片
53.83          1531926259.0    很咸
54.017         1532053501.0    吃过芝士味一般般吧
54.04          1531925802.0    毛子的薯片😒
