排名：38
网址：https://www.bilibili.com/video/av27157850
更新时间：07-21
弹幕总量：498
preciseTime    ofTime          comment
0.8            1532113252.0    白帝圣剑 御剑跟着我
0.938          1532043832.0    这应该给狼图腾的坐着看看，信仰崩塌了
1.3            1532012244.0    你穿个短袖进去看看，估计满手满腿的血印
1.901          1532062185.0    兄弟，你家二哈会关笼子里?
2.293          1532142307.0    狼生下来尾巴就是断了的吗？怎么就不会摇？
2.461          1532004209.0    俄罗斯狼嘛～
2.58           1531979385.0    尾巴是下垂的
2.64           1532135718.0    狼是犬科动物，尾部动作就是犬科交流的一种，凭啥狼不会摇尾巴
2.719          1532011756.0    狼:   这是俄罗斯人，我又打不过，只有撒撒娇才能维持得了生活这样子
2.754          1532168117.0    狼:俄罗斯人不能惹，我要保命
3.028          1532060043.0    熊都没尊严，还说狼？
3.421          1532146287.0    狼当然会摇尾巴了 小傻瓜
3.914          1532002085.0     ？， 
4.562          1532018712.0    啊
4.901          1532062450.0    狼图腾本来就是假的
5.242          1532040933.0    R
5.883          1532141660.0    大佬：guna!
5.901          1532088500.0    打破666弹幕
6.133          1531977045.0    这狼豪无尊严
6.527          1532072333.0    俄罗斯的动物保护协会是动物出钱办的
6.697          1532058550.0    二哈，你在干嘛？
6.836          1532066988.0    侮辱狼图腾的给我站住！
7.242          1532071882.0    狼:被生活所逼
7.322          1532000253.0    跟我家银狐一样喜欢咬裤脚
7.502          1532001299.0    狼会摇尾巴。。只是不能翘起来摇
7.578          1532059527.0    狼的尾巴 链接身体那一部分很僵硬
7.579          1532056104.0    ？？？
7.761          1532061964.0    你特么是狼啊，狼的尊严呢
7.9            1532147822.0    这不是哈士奇吗？
8.118          1532056437.0    呼叫大尾巴狼，这里是西伯利亚狼
8.642          1531976654.0    快被驯化成狗了
9.101          1531987574.0    真香~
9.324          1532143963.0    这是哈士奇吧，有来判骗我
9.42           1531992238.0    你退群吧
9.979          1532062497.0    狗就是狼驯化来的，狼图腾说狼不会被驯服太假
10.256         1532057397.0    色狼
10.272         1532059768.0    毛子
10.943         1532054598.0    毛子：滚！
11.0           1532049648.0    狼：大哥们给点吃的吧。
11.091         1532081155.0    皇族血统，石锤了
11.387         1531971364.0    谁的内心还不是一条哈士奇呢
12.045         1532152717.0    哈士奇
12.197         1532017440.0    被哈士奇带坏的狼
12.242         1532044909.0    丛林狼
12.28          1532081622.0    会员色
12.341         1532059717.0    真香警告
12.561         1531974869.0    这是哈士奇!对没错。哈士奇扮演的
12.622         1532005132.0    大爷别走，还有好货，包你满意。
12.7           1532147890.0    是狼
12.94          1531990201.0    不是说狗尾巴朝上，狼尾巴朝下吗？
12.961         1531969657.0    哈士奇
12.988         1531973845.0    色狼：嘤嘤嘤，不要走嘛！我的世界里不能没有你。
13.031         1532084177.0    狼的尾巴是直的，没说不能翘上去
13.142         1532101442.0    emmmm~真香~上好的肉排(ಥ_ಥ)
13.182         1532053879.0    刘莉莉，别以为我不知道是你
13.29          1532084563.0    小熊维尼？
13.402         1531970614.0    大小和哈士奇一样
13.542         1532146270.0    哈士狼？？？
13.767         1532059466.0    求生欲q极强
14.482         1531985539.0    前面莉莉的哈哈哈哈，哈士奇精
14.53          1531970081.0    莫挨老子!
15.103         1532059572.0    我家狗也老这样对我
15.32          1532067817.0    退群
15.489         1532083076.0    真香。。。。
15.798         1532089064.0    和北极熊一个德行
16.292         1532045185.0    哈士奇
16.443         1531970853.0    怎么和我家二哈一个b样
16.736         1532161983.0    嘎嘣脆
17.027         1532006469.0    哈士狼
17.083         1532102906.0    狼:毛子。。。惹不起
17.615         1532153420.0    尾巴下垂就是狼
17.704         1531979859.0    狼狼狗狗分不清
18.139         1532089739.0    抱紧大佬大腿
18.323         1532043423.0    乌拉乌拉
18.473         1532062189.0    西伯利亚大耗子
18.598         1532084125.0    狼的尾巴是直的，没说不能翘
18.9           1532160729.0    这完全是是想咬下去吧！
19.061         1531992554.0    咬后腿哎 是当猎物了吧
19.22          1531970004.0    狼没有你想象的那么大
19.24          1532087372.0    狼的尾巴永远是耷拉下来的，耳朵永远是立着的
19.283         1532061415.0    是毛子，快装成哈士奇
19.642         1531985836.0    色狼
19.791         1532060340.0    看起来是狼啊 尖嘴小眼睛 难道混血？
20.042         1532018737.0    。。。。老子要吃大鸡腿。。。。
20.156         1531983762.0    狼:是俄罗斯人，快粘人
20.26          1532057993.0    尾巴刚才晃动了！这不是狼吧！☝ᖗ乛◡乛ᖘ☝  完美
20.282         1532061735.0    怕不是哈士奇
20.288         1532065137.0    莫挨老子
20.683         1532058492.0    女的，，？
20.756         1532066040.0    不抱不行啊😀撒手就会挨两脚
21.524         1531976448.0    是毛妹
21.602         1532061687.0    这明明是抱小腿！
21.662         1531978380.0    我有腿的时候也这么玩
21.74          1531999819.0    狼也喜欢妹子啊
21.943         1532021019.0    是这个品种的狼没那么大，站起来两米高的北美大灰狼简直震撼。
22.034         1531970934.0    是哈士奇，我家也养了一只这样的
22.13          1531983946.0    狼不会摇尾巴的
22.313         1532096671.0    不是说狼驯服不了的吗
22.402         1531971547.0    我还以为是二哈
22.403         1532102940.0    狼:打又打不过，骂又骂不过，只能抱大腿。。。
22.508         1531985786.0    莫挨老子！
22.572         1532165617.0    这tm真是个🐺
22.583         1532060287.0    莫挨老子
22.741         1531987265.0    毛子
22.862         1532165771.0    妹子啊。。。。
23.06          1531972030.0    哈哈
23.163         1532151916.0    狼也是犬科啊
23.259         1532135334.0    是妹子，赶紧抱大腿（我怎么黄了？）
23.3           1532072782.0    战斗民族的女人
23.349         1532168287.0    哄女朋友时的你
23.425         1531973739.0    看眼神
23.539         1531977949.0    俄罗斯的动物哪个有尊严
23.584         1532059459.0    是狼
23.83          1531970717.0    房东~房东~~我要吃辣条~~~~
23.861         1532001871.0    狼，快跑，这是毛妹子，当心小命不保
23.98          1531974621.0    是毛妹快抱大腿
24.283         1532064188.0    西伯利亚大尾巴狼！
24.558         1532058781.0    色狼！了解一下
24.576         1532137616.0    傻乎乎的二哈狼22333
24.844         1531997831.0    赖皮狼？( ¨̮ )
25.081         1531982772.0    拿把蒜来炖它，入味，撇掉它，撇掉它
25.101         1532043241.0    色狼
25.421         1532069864.0    二哈一只
25.495         1531973755.0    饲养员可爱的
25.661         1531998852.0    色狼
25.76          1532083463.0    一般来讲狼就是中形犬大小 头狼体积可能会和大型犬一样也可能会小一点。有些狼毛比较厚看起来会大些
26.668         1532000534.0    哈哈哈哈哈哈哈色狼
26.692         1532081179.0    摇尾巴?
26.763         1531975713.0    这个点狼哈士奇关在笼子里干什么
27.002         1532058391.0    吃jiojio
27.066         1531973754.0    狗子不是这眼神
27.081         1532139588.0    狼的尾巴是下垂的，拖在地上
27.084         1532013428.0    管理员：够了，给老子撒手
27.407         1531987269.0    ！！！
27.583         1531984430.0    刘莉莉的别走，我是郝仁
28.033         1531982707.0    拿把蒜来炖它，入味，撇掉它，撇掉它
28.083         1532063360.0    看眼睛，狼
28.097         1532165630.0    看尾巴
28.141         1532064482.0    真可爱
28.159         1532144641.0    色狼
28.211         1531983397.0    这是只色狼
28.234         1531969756.0    色狼
28.287         1532156003.0    狼吗
28.542         1531975062.0    一听口音我就明白了，23333
28.799         1532075603.0    没办法，这样才能维持生活这样子……
29.57          1532018812.0    狼王印
29.921         1532046423.0    这是之前那个把狼打了一顿的毛妹吗
29.93          1532003800.0    这是狼没错
29.94          1532092974.0    二哈近亲 毕竟
29.965         1531985552.0    不要紧不要紧
30.466         1531977133.0    城里人养哈士奇，乡下人养狼
30.542         1532048604.0    谁跟你们说狼不会摇尾巴的
30.549         1532064709.0    ，，，，，战斗名族，。。。
30.739         1532168796.0    无敌抱腿杀
30.753         1532057657.0    狼的尾巴可以竖起来，平时是gua下来的
30.865         1532045038.0    丛林狼:QAQ你没看到狗都比我大吗？不抱大腿我能怎么办，我也很绝望啊！
31.093         1532149798.0    腿控
31.428         1532083129.0    还是个毛妹
31.522         1532042326.0    莫挨老子
31.64          1532086079.0    哈士奇
31.7           1531979757.0    来嘛撒，耍耍朋友
31.918         1532148454.0    想养一只，怎么办？
32.176         1532160592.0    dio
32.315         1531988898.0    狗：那个狼干嘛呢！老实点！
32.841         1532078032.0    比起这个狼我怎么更相中这只狗呢？
32.89          1532153468.0    在那疯狂摇尾巴
33.149         1532153014.0    这狗是比狼大吗？😂
33.265         1531977809.0    哈大
33.272         1532135749.0    这是二哈带大的？
33.342         1532073956.0    狗比狼还大
33.362         1532012653.0    高加索?
33.406         1532011967.0    狗比狼大?
33.5           1532151304.0    这是狼，看尾巴
33.663         1532058600.0    嘤嘤嘤，外面的狗凶我，没有胸还这么凶
33.713         1532061699.0    怕不是只哈士奇
33.732         1532128717.0    熊表示我更没尊严
33.794         1532158640.0    要是我会被吓死
33.833         1532081079.0    狼还没狗大
33.927         1532070006.0    你确定这不是二哈
34.041         1532004038.0    我怎么听到粤语的叼
34.341         1531983219.0    狗哥说得对啊
34.455         1531975426.0    高加索犬，可以百度一下，贼猛
34.56          1532149076.0    莫挨老子
34.581         1532135907.0    狗和狼是同步进化的物种，说狗是狼驯化来的能去看看书吗
34.599         1532061586.0    圣伯纳吧
34.725         1531981154.0    狼的尾巴是下垂的好吧 不是看摇不摇
34.921         1531976545.0    说哈士奇是自己去试试
34.924         1532045851.0    狗子表示强烈不满
34.943         1531977936.0    哈哈哈哈超粘人
35.074         1531975002.0    狼准确的说是会抡尾巴！
35.12          1531975171.0    俄罗斯？
35.26          1532139402.0    狗:哎呀呀不得了了
35.33          1532001593.0    狼：不，那是我的表哥哈士奇
35.339         1531992540.0    这狼还没那条狗大！
35.343         1532049918.0    这是狼，不是摇尾巴，这是扫尾巴
35.414         1531973590.0    狼:威风扫地
35.421         1532147458.0    老狗有点吃醋
35.422         1532064317.0    这尾巴摇的
35.424         1532005803.0    熊都不敢跟战斗民族叫板
35.445         1532145630.0    尾巴垂着的是狼
35.621         1532007140.0    狼只是尾巴下垂，又不是不会摇
35.976         1532080374.0    好大的哈士奇啊
36.04          1532092926.0    我还以为人在学狗叫
36.062         1531987133.0    尾巴摇不高，是狼
36.206         1531977396.0    僵硬的尾巴
36.629         1532151800.0    狗:兄弟出来玩啊
36.801         1532065069.0    狼tm居然在摇尾巴！
36.905         1531976812.0    狗比狼大。。
37.219         1532005819.0    不是色狼。
37.253         1532042310.0    爬！莫挨老子
37.421         1532007092.0    住手！停下爪子让我来哥们儿我吃醋了！
37.564         1532073607.0    摇尾巴哈哈哈
37.585         1532051680.0    摇尾巴？
37.588         1531983178.0    这尾巴摇的。。。。。。
37.683         1532045540.0    这就是雪橇犬
37.755         1532086303.0    明明是在咬人
37.803         1531973395.0    哈士奇用得着这么大个笼子嘛
37.83          1532080802.0    哈士狼
37.843         1531979855.0    你已经不是狼了，你被开除狼藉了
37.844         1532060088.0    这狼还会摇尾巴
37.862         1532018207.0    当面NTR
37.893         1532003150.0    狼图腾的作者还在么
38.402         1531974671.0    白学现场？
38.429         1532063636.0    狼的尾巴很僵
38.603         1532045358.0    哈士奇的嘴没有那么尖的吧
38.781         1531972312.0    那是圣伯纳
38.845         1531994216.0    卧槽   高加索
38.902         1531977902.0    是俄罗斯吧
38.926         1531976184.0    狗比狼大
39.081         1532063440.0    你丢手 放开我的腿
39.158         1531983408.0    这是色狼
39.438         1532080865.0    等等这个姿势有点。。
39.443         1531977378.0    求生欲极强
39.874         1532086788.0    高加索
39.942         1531996517.0    旁边是牧狼犬
40.639         1532063694.0    秘技.抱大腿
40.66          1532006087.0    给它一耳光 它就老实了
41.905         1531971257.0    没见过二哈关这种笼子的
41.926         1532052643.0    越来越开心了，哈哈
42.177         1531987880.0    汪汪汪！
42.259         1531973514.0    我来证明你开了弹幕
42.838         1531975807.0    色狼
42.841         1532064900.0    旁边的狗不乐意了
43.222         1532054992.0    你退群吧 真给狼丢脸
43.233         1532091052.0    和它玩会吧
43.816         1532146960.0    圣地亚哥
44.059         1532168855.0    你咋学狗叫呢？！记住，你是一只有尊严的犬
44.081         1532060385.0    真的是狼 看毛的形状
44.23          1531971091.0    莫挨老子
44.384         1532001193.0    这只哈士奇真像狼啊
44.402         1532012692.0    内心os：千载难逢的表现机会，前面没献殷勤的老哥都狗带了。
44.598         1532029733.0    狼和狗一眼就看得出来好吧，这还用争？
44.602         1532058042.0    色狼
44.622         1532079216.0    高加索，这狗好像
44.921         1531974913.0    不是斗牛。是高加索吧
45.012         1532135710.0    23333
45.017         1531974363.0    放开那只狗冲我来
45.473         1531974472.0    狗比狼大
45.699         1531972177.0    怎么感觉看到了我。。
45.723         1532014094.0    这不就是二哈吗？
45.904         1531980069.0    不要反抗了小娘子
45.927         1531973305.0    赶紧撸啊，干嘛推开
45.929         1531977081.0    狗比狼壮?
45.965         1532003816.0    这黑白大狗
46.042         1531973818.0    怎么可能是哈士奇
