排名：35
网址：https://www.bilibili.com/video/av27158366
更新时间：07-21
弹幕总量：1273
preciseTime    ofTime          comment
0.0            1532008948.0    山药，来一期青蛙食材
0.218          1531969861.0    下期食材
0.317          1531941916.0    好湿好湿
0.42           1532052191.0    在蹲坑（*/∇＼*）
0.46           1532068183.0    看着咬不动
0.541          1531992617.0    1111
0.718          1531992606.0    111
0.934          1532001522.0    1
1.217          1531998605.0    死胖子笑的挺开心阿
1.36           1531966063.0    二牛＝下期食材
2.065          1532060611.0    支付寳搜一下“
2.137          1531973383.0    支付寳搜索“95O6639”，你会回来打死我的（滑稽）
2.339          1532061670.0    找儿子，喜欢说在现场
2.379          1531965441.0    测试弹幕
2.397          1532145491.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
3.019          1532089106.0    在蹲坑的时候点开了山药
3.077          1531944784.0    岳云鹏同款眼睛
3.162          1531932797.0    哇5小时21万播放量，可拍（ˉ﹃ˉ）
3.18           1531999738.0    一边吃稀饭一边看
3.453          1531934515.0    山药越来越短
3.639          1532158502.0    迟早饿死在这破站😂😂
3.965          1531965139.0    二牛：睡到是睡得好，就是菊花有点疼
4.006          1532146083.0    给你个眼神自己体会
4.03           1532017109.0    提前战术
4.299          1532147326.0    岳云鹏
4.301          1531931493.0    牛浩
4.391          1532054068.0    岳云鹏
4.394          1531931679.0    山药这句问候有点骚啊
4.659          1531932533.0    看到我就是20.8w后了
4.778          1531931223.0    来晚了。
4.779          1531968368.0    二牛带眼镜，耳边有印痕
4.859          1532028664.0    鹏，我知道你在看😝😝😝😝
4.924          1532089722.0    冒泡
5.16           1531934548.0    二牛的眼神哈哈哈
5.179          1532000806.0    蕉香的味道
5.721          1531964468.0    睡得♂好吗
5.76           1532133266.0    好  非常凉快 还洗了个澡
5.862          1531960494.0    来  解释下这个“津”
5.961          1531966129.0    菊花嫩肉往外翻
5.972          1532017118.0    提前好诗
6.098          1531937955.0    二牛：睡的不好，屁股疼！
6.801          1532023733.0    为何我深夜作死（捂脸）
7.083          1531956918.0    终于出视频了
7.112          1531988847.0    好
7.194          1531936849.0    卧槽！！！！！！！我爱蹄筋！！！！！！！！！！！！！！！
7.64           1531963095.0    我看着他一天一天得长胖
7.657          1532017125.0    提前雪碧
7.66           1531944191.0    万恶的二牛
7.849          1531991143.0    眼镜框印
8.106          1531954589.0    眼镜印哈哈哈
8.149          1532000689.0    怕是走不了了
8.276          1532045438.0    我在厕所，拉的好爽
8.299          1531974327.0    菊花还好嘛
8.499          1531961476.0    好是好，就是屁股痛
8.619          1532014499.0    二牛戴眼镜
8.67           1531939675.0    七小时前
8.829          1531931084.0    山药？你不是被王刚抓去炖排骨了吗？
9.12           1532107475.0    二牛的眼镜腿印23333
9.64           1532022350.0    睡得好 就是屁股痛
9.659          1532021420.0    时间01:29表示以死在床
9.84           1531935669.0    基情满满
9.861          1531955285.0    山药也开店吧，，买你做的东西，，
9.871          1531973665.0    二牛菊花一紧
9.947          1531972317.0    假装前100
10.108         1531938294.0    吃辣条的我。。。
10.709         1531971357.0    这个眼神真的别致哈哈哈
10.747         1531936988.0    菊花有点疼
10.779         1531930452.0    四小时前
11.1           1532001217.0    阿珍、爱上了阿强~
11.199         1532005564.0    二牛:你说呢
11.259         1531997495.0    昨晚？
11.38          1532147235.0    你看他笑的多开心啊肯定好啊
11.503         1532088883.0    1001
11.533         1532081072.0    和善的眼神
11.613         1532066774.0    来了
11.765         1532087363.0    充满怨念的小眼神
11.795         1531934149.0    失踪人口回归
11.816         1531930391.0    哈哈哈哈哈哈白眼🙄️你
12.278         1531968485.0    棒棒
12.628         1532006124.0    23333
13.284         1531938377.0    哈哈哈好吧哈哈哈
13.849         1531958421.0    做完发生了什么
13.873         1531977272.0    哈哈哈哈哈哈哈
13.877         1531935947.0    爆菊了
13.899         1531997719.0    他做的还不够自己吃呢。。
13.999         1532015960.0    二牛眼镜拿掉看得到吗
14.019         1532145057.0    幽怨的眼神
14.304         1531933179.0    脑子都进水了你说好不好
14.322         1532000144.0    23333
14.552         1532011376.0    大人会来吗
14.841         1532015462.0    为什么眼镜框压出痕迹了啊。。。。
15.107         1532017215.0    我又大晚上来看了
15.39          1532079216.0    (̿▀̿̿Ĺ̯̿̿▀̿ ̿)̄
15.507         1532086904.0    这眼镜印。。。。
15.634         1532057998.0    不要紧，要松的
15.741         1532157398.0    二牛啊，你咋有眼镜印呢
15.997         1532073018.0    哈哈… 基情满满
16.08          1531977885.0    17小时前
16.138         1531955606.0    脑壳进水的你站住
17.192         1531996331.0    泡一宿泡发了
18.121         1532024486.0    现在是凌晨02:21
18.345         1531931043.0    连续剧
18.927         1531988913.0    对不起  这次是真的蹲坑看的
19.059         1531933105.0    山药越来越短了
20.714         1531930780.0    3381人
21.401         1531935689.0    确定过眼神
21.579         1532009763.0    不要紧的——李晨
22.012         1532169585.0    伎咐宝 首，页输 入 52 38 318 26 有红包小姐姐哦
22.06          1531974890.0    我不要紧的
22.27          1531998483.0    山药开店吧
22.655         1531979041.0    我不要紧的 不要紧的
23.181         1532090606.0    支咐宝首頁捜索“86OO14”今晚吃鸡
23.417         1532054230.0    我不要紧的，李晨
23.641         1531931401.0    哈哈好可爱
24.158         1532152067.0    回家的路上，流量播放也要看
24.323         1532103848.0    我住九眼桥第五个桥洞洞头
24.576         1532075755.0    不要紧的，，，，，，
24.579         1531946931.0    哈哈哈哈哈哈哈哈哈
26.443         1531996735.0    不要紧的
26.752         1532001914.0    住桥洞？
26.973         1532009379.0    二牛啊，菊花还疼嘛？
27.484         1531970703.0    二牛戴眼镜的
27.929         1532010029.0    好卡
28.048         1532096092.0    眼镜痕迹
28.05          1531944582.0    王刚：山药炖排骨
28.149         1531936187.0    啊~人间仙境啊
28.328         1531971404.0    哇！好一处人间仙境啊！
29.006         1531933118.0    啊~人间仙境啊
29.316         1531967301.0    大桥底下-豪宅
29.48          1532058521.0    这个配音。。。。。。
29.528         1532051306.0    哇！真豪宅啊全景豪宅。
29.881         1532052764.0    人间仙境
30.315         1531932169.0    啊~~人间仙境啊！！
30.505         1532022695.0    人间仙境
30.98          1531994939.0    啊～人间仙境
31.291         1532005815.0    桥底洞人
31.381         1531963162.0    豪，真豪
31.421         1532169872.0    桥洞底
31.486         1532097374.0    哈哈哈
31.879         1531957854.0    桥洞讲究
32.22          1531967890.0    啊！仙境啊！
32.361         1531962996.0    啊～人间仙境啊
32.637         1532061783.0    啊～人间仙境
32.641         1532079159.0    桥底下哈哈哈
34.514         1532016361.0    射雕英雄传
34.801         1532092983.0    桥洞
35.046         1531931940.0    眼镜印子.....
35.368         1532008476.0    正在跟我一样拉稀的🙋‍♂️🙋
35.453         1531934909.0    第一次发生
35.723         1532085643.0    铁血丹心
35.841         1531974279.0    真是人间仙境
36.136         1531969755.0    早上一把火，下午派出所
36.306         1532146576.0     水月洞天
36.601         1531978588.0    这这是射雕英雄传
37.299         1532088302.0    豪宅真多hhh
37.363         1532082765.0    战术点火
37.4           1532025192.0    承包空屏
37.448         1532072513.0    射雕英雄传！
37.504         1531963699.0    磨刀霍霍向二牛
37.733         1532007988.0    进京赶考
37.802         1532013456.0    前面举手的  别跑！！！
38.006         1532002012.0    杀牛刀
38.257         1531936178.0    这河水千万不要给浓夫衫船看见啊！
38.521         1531998047.0    下一期是不是就被水淹了
38.544         1531937960.0    射雕英雄传
38.788         1531996685.0    钱都买吃的了，没钱买房
38.983         1532067572.0    拉稀的滚！！！我在吃东西！！！
39.191         1532147203.0    对眼睛痕迹明显
39.246         1532009731.0    这地方为什么那么美呀
39.488         1532144210.0    二牛x山药ʕ •ᴥ•ʔ
40.2           1531966084.0    野食小哥：呵，房产
40.402         1531931073.0    射雕英雄传啊
40.478         1531966594.0    番火
41.0           1532045580.0    铁血丹心
41.001         1531977345.0    磨刀霍霍向爹娘
41.085         1531930390.0    铁血丹心！！！
41.202         1531972331.0    射雕啊
41.619         1531931074.0    晚上涨水，不是要被淹了
41.76          1531934700.0    磨刀
41.792         1532084172.0    小桥流水人家
42.159         1532005605.0    壕宅
42.349         1531974584.0    爽，环境真好
42.4           1531934697.0    洋火
42.46          1531998597.0    手机铃声
42.47          1532055089.0    弹幕呢？
42.621         1531996363.0    射雕英雄传哪
42.721         1531944248.0    铁血丹心！
42.76          1531968926.0    告诉我这个蹄筋的所以信息，不然我就打死在座的各位
42.821         1532005940.0    这是射雕英雄传吗
42.826         1532062536.0    这是吃火鸡的续集吧
43.427         1532077661.0    豪
43.816         1531934596.0    放火烧山
44.203         1532104066.0    开始有对白了
44.205         1532095617.0    清泉流水
44.24          1531973328.0    涨水一样GG
44.36          1532164945.0    射雕
44.441         1531941873.0    放火烧山
44.781         1532093921.0    没人？
44.921         1532127056.0    🙌
45.084         1532019099.0    这种河水，上游洗脚水，下游煲老汤。。
45.356         1532007424.0    大补啊
46.02          1532073158.0    为什么一点就能点着
46.058         1531930409.0    他去六扇门应考
46.214         1531988569.0    锅中加入洗脚水😂
46.248         1532022714.0    铁血丹心
46.525         1531938037.0    洗脚水做饭
46.669         1531930456.0    神器上古乾坤锅！可炖天下万物！
46.752         1532012737.0    铁血丹心～～
46.824         1531969234.0    我在上游撒了尿
46.881         1531932750.0    洗脚水，讲究
47.085         1531967578.0    站在下游，讲究
47.086         1531975731.0    蓉儿
47.159         1531978356.0    二牛眼镜印很明显
47.343         1531935289.0    洗脚水哈哈哈哈哈哈哈哈哈
47.5           1531974307.0    上午一把火，下午派出所
47.549         1531971043.0    洗脚水
47.601         1532083121.0    豪（好）宅（窄）
47.716         1532036187.0    洋火差评
47.793         1531932449.0    洗脚水，讲究
47.798         1531937405.0    烧包谷！
47.881         1531990588.0    我在上厕所看这个
47.908         1532018057.0    求BGM
48.435         1531940134.0    放火烧山
48.705         1532101966.0    我先来吧  BGM  讲究
48.752         1532092628.0    为射雕打电话！
49.098         1532078359.0    皮城是我家，爱护靠大家。
49.201         1532004351.0    超喜欢的BGM
49.207         1531999886.0    铁血丹心
49.362         1532080456.0    我先来  铁线虫
49.539         1531992605.0    镇魂街的别走
49.779         1531990052.0    宽水别走
49.84          1532015244.0    。
50.113         1532015056.0    连续剧啊
50.14          1532011686.0    这个水很甜的
50.61          1532127076.0    🙆🙆
51.081         1531991098.0    闪腰预警
51.302         1532000866.0    洗脚水煮肉，真香
51.321         1531939817.0    英雄寞
51.521         1532138102.0    这水是真干净
51.837         1531930448.0    洗jio水
52.058         1532130497.0    洗脚水  讲究
52.363         1531934369.0    提前洗脚水
52.438         1531956341.0    宽水别跑，替我给王老师问好
52.439         1532149730.0    洗脚水你妹啊，流水在前不脏不懂吗？
52.9           1531931696.0    美女啊我挨你讲
52.979         1531934774.0    洗脚水煮牛蹄筋
53.032         1532094275.0    牢底坐穿
53.619         1532161274.0    什么游戏
53.845         1532021100.0    荣妹！
53.95          1532090492.0    我学你了，现在医院wifi还行
53.984         1532084836.0    牢底坐穿
54.167         1531946319.0    蓉儿
54.259         1531975296.0    洗脚水 讲究
54.441         1531932891.0    下次取水的时候去前面拉尿
54.495         1531930646.0    靖哥哥
54.521         1532050443.0    今天一把火，明天派出所
54.828         1531969529.0    洗脚水好评
55.361         1531933395.0    这水真的清
55.495         1532061647.0    这水真的能使吗，我们这都绿了
55.497         1532094805.0    洗脚水
55.647         1532148734.0    就怕前面牛粪拉河里~╮(╯▽╰)╭
55.901         1532141902.0    拉稀+1
55.939         1532102680.0    为什么他们可以随便生火？我们大兴安岭现在全年防火，去山都要防火证
56.299         1531999374.0    洗脚水
56.381         1531968037.0    。
56.445         1531989539.0    寬水，就是多水的意思
56.499         1531983654.0    洗脚水
56.55          1531968059.0    山药哥哥
56.552         1531974525.0    会不会发大水
56.627         1532147494.0    在现场
56.782         1531935319.0    现在是夜里一点半，我点开了这个视频找虐
56.846         1531937891.0    丢了十片进了四片
57.38          1531934937.0    水好清
57.401         1531969410.0    第一部 加入宽水 第二部滑油
57.68          1532105930.0    吃撑的我感觉索然无味
57.71          1532116731.0    .美女啊我挨你讲
58.14          1532164274.0    我在上游拉尿，你在下游接水
58.319         1531974848.0    纯天然
58.516         1532003327.0    我在上游小便
58.583         1532148405.0    辣椒粉：我不来了，别等了
58.74          1532003492.0    这水是流的怕什么
59.061         1531931726.0    有哪样屁你就赶紧放
59.282         1531931084.0    羊粑粑粒
59.484         1532091935.0    山上撒泡尿
59.517         1532156017.0    尿一把结石下去
59.537         1531969621.0    尿结石！
59.595         1531982738.0    心内波澜现
59.68          1532099888.0    只要是活水，都可以喝，很干净的
59.804         1532019747.0    。
60.245         1531930345.0    好姜，好手法
60.573         1532109824.0    分享
60.626         1531996391.0    下面的闹
60.9           1532154232.0    这河水可比城里那自来水干净多了
61.061         1531930301.0    我有车子又有房
61.159         1532085509.0    二牛：磨刀霍霍向山药
61.608         1531978183.0    我的中国心
61.659         1532098635.0    宽水等我
62.381         1532168572.0    下期食材：二牛
62.627         1531989519.0    泡脚水
63.317         1531932411.0    我想看山药吃山药
63.66          1531975675.0    那位大人今天会来吗
64.349         1532057365.0    关弹幕保智商
64.78          1531931743.0    我有车子又有房
65.265         1532082985.0    哈喽大家好，他是王刚
65.382         1532000222.0    士道算什么，狂三是我老婆
65.723         1532132751.0    你也不想想大兴安岭是哪。。
66.001         1531930321.0    希望和你陪成双
66.568         1531956884.0    蓝字好评
66.68          1532005707.0    主要是最近那边发大水了～ 所以～
67.157         1531932303.0    多看
67.498         1532004145.0    提前好湿
67.566         1532098827.0    方言歪歌~~2333 有喃样屁你赶紧放
67.659         1531932723.0    三更半夜看这个搞得肚子饿了
67.931         1532150308.0    想喝口这个水
68.041         1531931762.0    希望和你配成双
68.249         1531937465.0    如果不能讨你做婆娘
68.711         1531988908.0    好刀
68.738         1532051570.0    下端蓝字好评
68.919         1532060187.0    放火烧山 牢底坐穿
69.041         1531977588.0    烧包谷
69.435         1532050498.0    流弊流弊流弊
70.431         1531955384.0    罗文
70.681         1532052370.0    阳火
70.866         1532066968.0    埋汰
71.044         1532019005.0    老版的射雕英雄传最好看了
71.246         1532129417.0    放火烧山地雷埋下
71.284         1532091947.0    山上撒尿
71.38          1531983269.0    射雕引弓。。。煮草挽弓是啥
71.404         1532131537.0    万能刀，切菜劈柴坎一切
71.66          1532159754.0    天为床地为被
72.241         1532011170.0    啦啦啦
72.413         1532112232.0    洗脚水
72.639         1531980744.0    28.9w
72.84          1532101783.0    表白歌词
73.039         1532063260.0    大人就是辣椒面！！！！！！！！！！！！！
73.26          1532150314.0    山泉水
73.329         1531937487.0    我宁可出家当和尚
73.594         1531974563.0    半涉浊流半席清，倚筝闲吟广陵文。寒剑默听君子意，傲视人间笑红尘
73.689         1531977055.0    哈哈哈哈
73.899         1532162147.0    真的不怕铁线虫吗
74.389         1532060088.0    辣椒面
75.096         1531971764.0    我来证明你开了弹幕
75.73          1531936445.0    bgm葫芦丝版铁血丹青
75.741         1532049582.0    山药啊，我在上游刚撒尿啊
76.08          1532157839.0    提前好湿
76.326         1532014127.0    妈蛋蓝字的唱错了
77.055         1532010843.0    红字太优秀
77.128         1531932942.0    哈哈哈
77.154         1532022756.0    我宁可出家当和尚
77.863         1531938911.0    为你付出所有家当，为你我愿去逃荒
77.933         1531936272.0    这是要把雕烤了吃吗？
78.218         1532025335.0    七月二十号凌晨两点半没人一起看好寂寞
78.412         1531972759.0    温州永嘉楠溪江
78.528         1531937506.0    为你付出所以呢家当
79.693         1531975603.0    想吃 嘤嘤嘤
79.778         1532154332.0    想吃
79.899         1532082345.0    我喜欢胡歌那一版的射雕
79.934         1531933015.0    下雨哪找的干柴
80.206         1532162316.0    喂鱼，讲究
80.277         1532013070.0    可以可以
80.413         1532063173.0    比你们喝的自来水可干净多了好吧
80.959         1532082014.0    ๑乛v乛๑嘿嘿
81.219         1531938342.0    粉字真是优秀啊
81.237         1532015233.0    又被你们这些云南歪歌洗脑了
81.241         1532052832.0    洗脚水洗筋，讲究
81.502         1532161569.0    放火烧山 牢底坐穿
81.53          1532021849.0    前面的道友别跑
81.859         1532005664.0    洗脚水泡牛筋，讲究
82.015         1531978560.0    开了弹幕
82.082         1532012182.0    提前好湿
82.381         1532017318.0    那位大人会来吗
82.541         1532060793.0    曲子好听呀
82.632         1531930848.0    弹幕大佬流弊
83.118         1532057454.0    哪位大人？
83.609         1531937528.0    为你玩愿意去逃荒~
84.41          1532100200.0    粉字别走 过来听我唱完(ಥ_ಥ)
85.044         1531931497.0    无情铁手
85.095         1531930807.0    辣手无情
85.254         1532127702.0    上游撒尿下游喝汤
85.776         1531998263.0    别怪我心狠手辣
85.94          1531933202.0    我是绵阳的
86.299         1531939349.0    牛蹄经被水冲走，本集完
86.326         1532095666.0    红字别搞
86.407         1531968754.0    辣手摧了姐妹椒
86.738         1531978925.0    中间填词的粉字  烧包谷来的吧
87.04          1532154031.0    这种流水很干净的 我们这就有
87.178         1531930772.0    无情铁手
87.25          1532066989.0    脚筋
87.299         1532097109.0    头顶红字是烧包谷
87.6           1532007244.0    满脑子都是大头的歪歌
87.76          1532000768.0    绵阳蹲山药的加我一个
87.808         1531931155.0    无情铁手
88.04          1532099458.0    空耳666
88.88          1531995024.0    眼睛进沙子了
88.957         1531992880.0    热热热
88.977         1531988929.0    大人
89.301         1532014908.0    无情舔嫂
89.539         1531960692.0    无情铁手
89.638         1531991826.0    无情铁手
90.118         1531972486.0    无情铁手
90.342         1532060145.0    大人
90.966         1531995075.0    用手讲究
91.241         1531960421.0    无情铁手
91.261         1531963065.0    肛铁侠
91.371         1531973440.0    这是。。。骨灰盅吗。。。
91.459         1532052322.0    辣手无情
91.482         1531979074.0    好湿好湿
91.539         1532055395.0    依稀往梦似曾经，心内波澜现
91.617         1532019750.0    空耳大神无敌
92.319         1531975343.0    山药的手是辣味的
92.479         1531933611.0    铁手无情
92.642         1531974676.0    心狠手辣
92.863         1531953640.0    好山好水
93.242         1531972478.0    云南的朋友好😂
93.36          1531973751.0    对啊我也想知道最后把汤汁倒在哪
93.364         1532061952.0    辣手摧锅
93.401         1532066641.0    我家这边清河很好
93.878         1532074134.0    烧包谷的站住!
94.021         1532104698.0    辣椒有手味
94.2           1532085748.0    搓完辣椒之手极速重抚双眼，大声曰: 有谁敢比再下
94.44          1532079024.0    没弹幕？
94.939         1532010242.0    无情铁手
94.94          1531997482.0    山药你要是开个农家乐绝对挣钱
95.294         1532099222.0    大人的身世
95.35          1531960754.0    心狠手辣
95.941         1532001672.0    茎肛狼
95.961         1531967074.0    无情铁手
96.04          1531981247.0    大人的诞生
96.061         1532041153.0    这个手😂
96.179         1531969085.0    山药你个肛精
96.219         1531999159.0    大人的诞生
96.494         1532047167.0    辣鸡
96.72          1531959607.0    山药啊，你徒弟给你留了鱼头！！！←_←
96.779         1532092364.0    肛铁侠
97.234         1532101103.0    徒手炒辣椒
97.257         1532082031.0    ｷｬ━━━━(ﾟ∀ﾟ)━━━━!!
97.381         1531935657.0    看不出来都是演的吗
97.641         1532167886.0    诱人
97.746         1532004273.0    辣手摧花
98.218         1531930381.0    山药在绵阳哪里？hahah
98.561         1532075164.0    弹幕坏了吗
98.671         1532151532.0    铁掌帮
98.88          1531975717.0    大人
98.939         1531990909.0    芝麻赛高
99.48          1532018514.0    嘤嘤嘤 over
99.622         1531931333.0    为大人的诞生献出礼炮！
99.709         1532026202.0    大人即将登场
99.971         1532070554.0    山药眼里有虫！
100.199        1532012136.0    是那位大人！
100.86         1532003857.0    美腿
101.012        1532004200.0    原来大人的出身竟是如此
101.458        1531947140.0    这bug是神雕侠侣里的？
101.721        1532073340.0    大人小时候真可爱啊
101.77         1531931302.0    伟大的诞生
101.909        1532060125.0    大人的制作过程
102.139        1531999865.0    山药：终于走了，可以独享了
102.461        1531934838.0    绵阳的加一
102.939        1532052621.0    大人！！
103.037        1531954313.0    无情舔嫂
103.04         1531965185.0    哈哈哈哈，自行变成大人色
103.076        1531968084.0    大人
103.117        1532060875.0    大人您来了
103.68         1531988358.0    这腿
103.718        1531932271.0    一支穿云箭！！！！
104.089        1531979117.0    無情鐵手
104.16         1531974374.0    信号枪
104.436        1532004801.0    说大人的可以滚了
105.041        1532137201.0    茎哥哥
105.082        1532073653.0    肛铁侠啊
105.16         1531981286.0    为大人的诞生献上礼炮
105.49         1531931792.0    大人
105.593        1532047178.0    无情舔嫂
105.699        1531933007.0    辣椒面做好啦
105.72         1532005701.0    感谢老铁送的火箭!!!
106.097        1531963065.0    一只穿嘤贱，千军万马来相奸
106.152        1532007853.0    山药：我喊小鱼儿放的 爽吧
106.28         1532085694.0    够了够了，够吃了
