排名：84
网址：https://www.bilibili.com/video/av27163756
更新时间：07-21
弹幕总量：495
preciseTime    ofTime          comment
1.114          1531983888.0    哈哈哈哈呀
1.256          1532054411.0    面面你够了啊，你哥哥都没有这样叫过我的小云澜
1.859          1531980485.0    表白我居老师炸裂的演技啊啊啊啊啊啊
2.187          1532063797.0    这里太骚了哈哈哈哈
2.207          1531986849.0    我的小云澜
2.474          1531982265.0    面面是高估他哥的本事和进度了哈哈哈哈哈
3.094          1532156714.0    面面啊
3.32           1531986485.0    面面还是高估你哥哥的进展了
4.372          1532141363.0    你想多了
4.638          1532093935.0    前面低估哥哥本事的憋走我要被你笑死啦咔咔
4.71           1532166199.0    面面你的剧本怕不是原著←_←
5.74           1531981977.0    为居居颜值演技疯狂爆灯！明明同一张脸同一个声音一开口就是另外一个人！
6.549          1532089748.0    反正快结局了，官方浪的要飞起了
6.646          1531995352.0    脚踝我都觉得好苏阿阿阿面面妈妈爱你
6.776          1531999202.0    就算下架我们也能找出来的
6.805          1532073153.0    面面
6.965          1532058612.0    面面这是没听过广电？
7.337          1531983472.0    面面高估他哥的进度了
7.754          1531992190.0    面面
7.894          1531987056.0    虽然没看过这集，但是看鞋子就知道不简单
8.321          1532085074.0    嗲精面面调戏嫂子！！
8.324          1532086809.0    内增高？
8.343          1532090207.0    承包小细脚踝
8.704          1532071216.0    邪魅，就是这个感觉
9.06           1532097852.0    简直停不下来
9.098          1531983272.0    我的小云澜呢
9.155          1531988167.0    面面
9.233          1531984408.0    完全演出两种感觉
9.236          1531988536.0    妈癌
9.399          1532102306.0    脚踝好想舔阿阿阿
9.771          1531991071.0    额⊙∀⊙！
9.892          1532107628.0    面面你脑海里的哥嫂互动能过审吗
10.043         1532051763.0    应该是面面看过他哥哥的梦才会这样叫的吧
10.07          1532163388.0    官方没有求生欲🌚
10.162         1532048434.0    面面出场专属曲
10.234         1532085749.0    脚踝真的苏
10.331         1531986861.0    啊啊啊啊，我面啊啊啊啊
10.421         1532080508.0    面面我爱你啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
10.96          1531981814.0    小云澜
11.044         1532034058.0    每一根睫毛都在演戏啊
11.376         1531985140.0    这里真的是太撩了
11.529         1532051772.0    准备好！不走程序！直接笑
11.702         1532063113.0    面面妈妈爱你❤
11.821         1531980245.0    哈哈
11.879         1531993435.0    OK面面归你们 鬼王归我了
11.888         1531980738.0    戴耳机！
12.074         1532009440.0    面面换袜子啦
12.122         1531990490.0    啊啊啊啊面面!
12.28          1531994187.0    嗷嗷嗷哦我的妈~我要跟他一辈子
12.421         1532009447.0    面面高腰裤 魅力挡不住！
12.445         1532100864.0    官方最是浪
12.512         1532065451.0    妈耶这穿搭骚的一批
12.517         1532097287.0    面面！面面！面面！
12.775         1531996369.0    出不去了啊啊啊啊啊啊啊啊
13.071         1532057700.0    哎呦喂
13.105         1531989581.0    巍巍面面全是你们的，给我龙哥就说
13.191         1532100218.0    面面！
13.557         1531990047.0    面面你误会哥哥了，哥哥没这么骚的_(:з」∠)_
13.671         1532062876.0    扑面而来，一股骚气。
13.68          1532081909.0    这是面面吧
13.747         1532046116.0    汪徵：笑容逐渐消失
13.923         1531983277.0    小云澜
14.476         1531986419.0    啊啊啊啊啊。面面
14.521         1532054981.0    面面啊啊啊啊啊啊啊啊啊啊啊啊
14.7           1531991508.0    面面！麻麻爱你
14.932         1531993868.0    面面麻麻爱你
14.959         1532012362.0    宝贝你太骚了
15.139         1532025864.0    哈哈
15.276         1532087153.0    官方已经放开浪了
15.3           1531980036.0    这个脚步我可以嗑一万年
15.477         1532083048.0    这高跟！
15.617         1531984651.0    你哥要打你了
15.712         1532100941.0    官方已弃疗
15.847         1531995316.0    好可怕的面面
15.87          1532075071.0    面面
15.895         1531998313.0    倒回去重看了下脚踝
16.28          1532074313.0    我一度怀疑我没开弹幕
16.303         1532100377.0    面面天天都在脑补他哥和他嫂子些什么
16.322         1531997990.0    可爱
16.463         1531992554.0    好吃不过饺子（滑稽）
16.535         1532097197.0    这身衣服很好看的
16.58          1531982180.0    笑容渐渐消失
16.692         1532167411.0    我只想知道镇魂是怎么过审的，呵呵呵呵
16.739         1531997192.0    这是面面
16.741         1531995304.0    面面太撩了
16.742         1531986240.0    又来看一遍
16.746         1532060182.0    面面我爱你！！！
17.098         1531990631.0    面面妈妈爱你
17.458         1532165355.0    我的高腰裤 魅力挡不住
17.461         1531985504.0    小云澜
17.593         1531986493.0    面面我爱你
17.782         1532049107.0    我爱面面啊啊啊啊啊  啊啊
17.942         1532053367.0    巍巍30多集才叫了个云澜，面面你这才几集就我的小云澜了
18.141         1532000026.0    面面我爱你
18.173         1531990170.0    天哪 一脸中二
18.821         1531982217.0    面面哇
18.957         1532054091.0    面面啊
18.96          1532080534.0    面面我爱你
19.147         1531988186.0    面面跟妈妈回家
19.279         1532057724.0    哈哈哈
19.428         1532052297.0    衣服扣好！
19.438         1532081536.0    天咯  要死掉
19.506         1532044040.0    巍巍的衣服深v？别做梦了，这是面面。
19.597         1531987092.0    领口可以再低一点，谢谢！！！！
19.627         1531990806.0    我的高腰裤，魅力挡不住
19.661         1532088939.0    宝贝你也太辣了
19.719         1532088055.0    宝贝，你太辣了，里面没有穿衣服
19.725         1532004636.0    第三遍
19.941         1531980336.0    看到的第一眼就能分辨出他是面面
20.224         1532084420.0    我的面面好帅啊
20.312         1531993790.0    毒唯脑补爱豆和绯闻对象的关系
20.319         1532097325.0    斯文败类面面！妈妈爱你面面！
20.4           1532086901.0    这骚气的小眼神  电到我啦!
20.521         1531987806.0    面面呀！！
20.587         1532066596.0    面面妈妈爱你！！！
20.606         1531983575.0    官方:都要完结了，浪起来
20.737         1532139250.0    面面看过沈教授的梦才这样叫吧2333333
