排名：55
网址：https://www.bilibili.com/video/av27170885
更新时间：07-21
弹幕总量：983
preciseTime    ofTime          comment
0.963          1532045040.0    片尾本子图耶，我还看过呢
1.023          1532044227.0    这个封面，，，妙啊妙啊
1.484          1532048517.0    封面举，，，，举高高
1.671          1532039594.0    封面有毒
1.729          1532043731.0    推荐 CE的光影世界 一个不错的影评节目
1.877          1532048207.0    在现场，封面不是你干的
1.946          1532049904.0    封面？
3.572          1532035166.0    寄刀片
3.936          1532038850.0    细胞都不放过
3.941          1532096191.0    这期点击量突然爆炸，封面就这么吸引你们这帮禽兽吗
4.033          1532044020.0    up主这封面过分了啊
4.525          1532150432.0    封面变了
4.905          1532043264.0    封面？
5.059          1532028461.0    你割开伤口血小板喷了出来，然后发现它是♂
5.251          1532050034.0    交封不杀
5.292          1532043378.0    见封滚
5.724          1532034917.0    封面？
5.761          1532049186.0    封面优秀
5.94           1532041058.0    这才多久就出本子了
6.153          1532024520.0    交封不杀
6.266          1532035181.0    这是真的丧心病狂
6.275          1532050616.0    交封不杀
6.345          1532022889.0    把封面给我交了
6.466          1532048992.0    一群禽兽
6.544          1532153599.0    封面我干的。
7.009          1532037697.0    这可耻的播放量
7.175          1532049367.0    变态阿
7.287          1532051641.0    交封不杀
7.289          1532031161.0    同性什么鬼(ﾉ○Д○)ﾉ
7.321          1532049160.0    交锋不杀
7.354          1532023573.0    马文?
8.07           1532046137.0    封面我干的
8.484          1532048448.0    BGM:猛猪突进
8.747          1532092555.0    最高に「ハイ！」ってやつだ
9.956          1532044551.0    封面什么鬼
11.181         1532048136.0    封面动态图我找到了 嘿嘿嘿
11.962         1532044119.0    少女祈祷中...
12.236         1532023735.0    封面举报了
13.374         1532042716.0    你们是魔鬼吧
13.822         1532048638.0    封面可耻
13.838         1532023953.0    (۩⊙o⊙۩)我选择死亡
14.161         1532035201.0    见封滚
14.623         1532046635.0    东方的梗。。。
14.648         1532049679.0    426 守护 谢幕曲 抽两张牌
14.762         1532136828.0    wryyyyyy
14.951         1532040546.0    小心受伤，血小板不干了(血友病)
15.084         1532098379.0    你们连血小板都不放过！！！你们是有多小
15.724         1532027644.0    西气东输不是西北吗
16.02          1532033294.0    !!!
16.795         1532075582.0    2333333
17.782         1532051079.0    叮咚天使酱！
17.854         1532042062.0    对不起大家，封面的事情是我干的，没想到这么快被发现了，，，
18.803         1532048165.0    优秀↓
20.159         1532045304.0    优秀
20.223         1532050657.0    最后那个你污垢了！
20.384         1532050930.0    没人吗
21.03          1532041804.0    蒂花之秀
21.104         1532041188.0    我一瓶可乐，从海上坐船到大陆，我称其为水汽运输
21.225         1532108614.0    。。。
22.057         1532042403.0    优秀
22.728         1532028324.0    靠谱！
22.891         1532046469.0    右下角混入了奇怪的东西↘
22.915         1532064250.0    一群深井冰（不是黑）
22.938         1532046377.0    杀戮天使？
23.076         1532098554.0    拿枪的我老婆
23.564         1532041078.0    承包ray!
23.68          1532104429.0    除了南瓜头和扎克其他都是坏东西
24.118         1532149302.0    2333
24.306         1532102674.0    靠谱！！
24.518         1532050677.0    ↓秀啊
24.626         1532043150.0    终于待神父玩了一次
25.638         1532088057.0    靠谱的成年男性(￣∇￣)
25.958         1532044594.0    人才
26.703         1532026039.0    RAY
28.003         1532098200.0    蛤蟆！
28.336         1532093925.0    up主等我寄刀片，对我老婆血小板做这种事
28.351         1532025110.0    🐮🍺
28.387         1532047445.0    野兽先辈(要素察觉)
28.463         1532048355.0    暴力。
29.102         1532036965.0    暴力
29.161         1532054688.0    哲♂学何在
29.353         1532025144.0    你舍得打破这份宁静吗？
29.749         1532024017.0    要 素 发 现
30.623         1532046754.0    比利比利
31.434         1532046316.0    交封不杀
31.44          1532104461.0    嗯？(察觉)
31.831         1532038276.0    要   素   发   现
31.952         1532095812.0    等等，混了个社畜
32.065         1532047430.0    太暴力了
32.082         1532039175.0    动  物  园
32.239         1532104475.0    要  素  齐  全
33.357         1532098870.0    🐮🍺
34.767         1532056766.0    彩六玩家
34.948         1532039457.0    我这个星际玩家原来是瞎子啊
35.561         1532100741.0    星际玩家：真好看！
36.044         1532092535.0    调查兵团
36.662         1532049987.0    星际玩家门你们肿么了
36.685         1532044826.0    ↑彩虹六号玩家视角↑
36.83          1532069795.0    其实是水平进攻
37.247         1532024644.0    封面要死
37.457         1532052022.0    肥宅没错了
37.476         1532147618.0    星际玩家在此！
37.497         1532044795.0    封面是什么
37.779         1532104515.0    星际免费的后果
37.894         1532043901.0    星际可有点厉害
38.267         1532050869.0    瞎了
38.464         1532042289.0    你 们 怎 么 打 字 带 空 格 啊
40.864         1532043260.0    血Dio小板
41.055         1532046600.0    啊嘞啊嘞
41.263         1532042260.0    dio
41.872         1532043159.0    你是恶魔吗
43.084         1532049458.0    hhhhko no dio哒！
43.302         1532039222.0    你以为我是血小板，其实是我DIO哒！
43.88          1532046301.0    是我的DIO的血小板哒！
45.576         1532067367.0    我不做人了jojo
45.719         1532104565.0    你以为你的老婆是血小板？其实是我dio哒！
46.47          1532043652.0    流批流批
46.723         1532024653.0    封面必须死
47.701         1532025327.0    我不做血小板了，dio
47.782         1532048385.0    23333
47.962         1532085456.0    暴力
48.485         1532041299.0    你是魔鬼吗
49.317         1532024586.0    笑岔气了
50.14          1532103602.0    逮住蛤蟆，攥出尿来。。
55.491         1532024157.0    是我
55.89          1532049440.0    天秀，为何你如此优秀
57.969         1532038973.0    真实
57.997         1532050268.0    我永远喜欢冬马和纱
58.247         1532045427.0    樱子小姐！！！
58.28          1532025417.0    敲里吗，我老婆只有背影
58.308         1532062278.0    暂停看了一圈，发现没有散华弥礼
58.394         1532033440.0    左方小字里有A叔！！！
58.396         1532049098.0    学姐！
58.405         1532024110.0    哇夕子学姐
58.538         1532152258.0    梦子！！！
58.653         1532039306.0    没错全是我老婆😌
58.662         1532032293.0    y九条樱子我的
58.682         1532047774.0    蛤！
58.717         1532050482.0    天堂？
58.724         1532101686.0    蛇喰梦子
58.78          1532041524.0    看的夕子了
58.786         1532038869.0    我只认得fa里的赛米拉米斯……可能我是个假的死宅
58.824         1532046802.0    都不认识
58.944         1532044449.0    不多bb雪乃我的
58.95          1532041902.0    黑雪姬学姐！
58.957         1532042017.0    很抱歉，我能看清楚
58.968         1532035158.0    黑雪姬给我，剩下的你们拿走
58.973         1532023438.0    阎魔爱啊啊啊啊啊啊
58.998         1532029630.0    诗羽学姐
59.067         1532024179.0    都是我老婆！！！！！
59.107         1532031184.0    没有凛差评
59.164         1532046725.0    冬马小三！！！
59.189         1532045409.0    黄泉黄泉!
59.297         1532045943.0    雪乃。。
59.31          1532041564.0    迦辽……这里面混进了男孩子呃喂！                               迦辽真可爱！
59.321         1532024186.0    混入一个A叔！！！
59.334         1532049753.0    夕子学姐是我的
59.44          1532046543.0    都是我的菜啊
59.638         1532047010.0    你忘记带上富江阿姨了！
59.666         1532161125.0    抱起霞之丘诗羽就是一个百米冲刺！
59.724         1532051486.0    所有的黑长直都能控制时间！
59.765         1532063184.0    对不起让一下我找圆粒金刚石
59.766         1532062366.0    黑雪姬右上角
59.787         1532050388.0    黑长直大军
59.835         1532048445.0    长门……
59.862         1532046299.0    天下长直一家亲
59.947         1532044149.0    富江!!!
59.95          1532106538.0    怎么没看到散华礼弥？
59.952         1532049114.0    安心院！
60.026         1532035387.0    雪乃酱！
60.08          1532049524.0    学姐！
60.113         1532032279.0    御姐全家桶
60.132         1532024553.0    长萌我的！
