排名：8
网址：https://www.bilibili.com/video/av27174014
更新时间：07-21
弹幕总量：1595
preciseTime    ofTime          comment
0.0            1532100879.0    大小姐系列！！！喜欢！
0.16           1532054126.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
0.406          1532051029.0    锦依卫参见吃货殿下
0.531          1532082106.0    |将死之人会看见已死之人|
0.597          1532134288.0    这其实也是刀子，看到后面就明白了
0.599          1532076673.0    粉了存娘这些年，练就了一身能把be当糖吃的绝技
0.622          1532168078.0    支咐宝首頁捜索“86OO14”这么给力吗
0.692          1532142489.0    居然!!!!吹爆太太！！！！！！！！
0.837          1532060859.0    哇哇哇，好前啊六百名以内
0.866          1532072074.0    第三遍
0.917          1532166382.0    支咐宝首頁捜索“86OO14”真的别谢我
1.113          1532051373.0    瞧我刷到了什么！！！
1.118          1532069010.0    开启洗脑循环
1.147          1532060967.0    有生之年系列
1.374          1532090242.0    全程跪着看
1.392          1532058550.0    刀尖上舔糖
1.521          1532069059.0    存娘六周年快乐！！！
1.601          1532079870.0    点赞，投币，收藏，评论~一条龙~
1.656          1532094960.0    逃亡生活最后枪响执事应该已亡
1.694          1532069681.0    1007个朋友你们好啊
1.721          1532087930.0    前面说曲名不是大小姐和大少爷的复仇生涯的，难道大少爷为自己去复仇？？？
1.799          1532096407.0    我，暴躁老哥，性感喷人！
1.83           1532093763.0    看我刷出了什么？！！！
1.93           1532060196.0    看看我发现了什么！！！
1.971          1532064702.0    第一作：《大小姐和大少爷的反派生涯》av14911611 第二作：《大小姐的逃亡生涯》av15735744
1.987          1532060226.0    瞧我刷到了什么！！！！！！
1.996          1532053405.0    妈耶
2.034          1532049266.0    ！！！
2.071          1532067432.0    看我刷出来了什么！！！！
2.171          1532060824.0    wok还有后续啊啊啊
2.302          1532111210.0    点赞，收藏，评论，投币~一条龙
2.309          1532114690.0    天呐！完结了？？！
2.541          1532096434.0    我！暴躁老弟，性感喷人！
2.612          1532169679.0    最底下的白字点醒我
2.622          1532056250.0    啊啊啊啊我发现了什么！！！
2.727          1532147929.0    呜呜呜呜！第三作！！！
2.795          1532065770.0    好吧看了三遍，心情已经平复了，也接受现实了。本来淡忘了的二次创作，我又要拿起来了。这次，绝对，不会弃坑了。填完，给它一个，我接受的结局。
2.84           1532060781.0    假装前排
2.978          1532132326.0    啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我开心上天六周年快乐
3.02           1532150394.0    有生之年!!!
3.033          1532057011.0    居然刷到了它(！)卧槽我激动啊！！
3.12           1532068200.0    又是2分51秒！！
3.22           1532065760.0    我看到了什么！吹爆
3.238          1532052660.0    这是糖，请各位放心食用
3.256          1532066644.0    说好的ed呢
3.263          1532160197.0    终于等到了！！！！！！！
3.378          1532063073.0    呜呜呜呜呜出了出了！
3.557          1532071380.0    六周年快乐！
3.595          1532065347.0    我现在非常想打人
