排名：73
网址：https://www.bilibili.com/video/av27175966
更新时间：07-21
弹幕总量：952
preciseTime    ofTime          comment
0.185          1532002092.0    标题空降2:40
0.187          1532055285.0    我居然在看猫片
0.758          1532020683.0    有点怂啊，不能暴露出我怂的样子，哎呀哎呀，尾巴你藏好嘛~！
1.141          1532002686.0    封面请空降2:40谢谢！
1.349          1531998679.0    以为来电话了
1.584          1531993193.0    这挂保熟吗
2.092          1531982165.0    bgm:皮卡丘之歌（译）
2.179          1532006851.0    曼基康短腿
2.251          1532009369.0    贾斯丁布布。
4.365          1532136009.0    这瓜保熟吗？
4.662          1532011805.0    大谷育江
4.801          1532151227.0    想要猫
5.086          1532093656.0    可爱ớ ₃ờ
5.479          1532165958.0    哈哈哈
6.345          1532007844.0    皮卡！！！
6.799          1532079466.0    我以为闹钟响了😂
7.059          1532166170.0    见封滚
7.337          1532006535.0    喵：好尴尬 假装玩尾巴你们都当没看见吧
8.157          1532127625.0    突然想起小智的魂是被皮卡丘一帽子拍散的
8.258          1532061555.0    皮卡丘是老鼠🐭
8.522          1532006197.0    铃声
9.473          1532002925.0    皮卡丘，永远的女主角
9.6            1532009068.0    交封不杀
9.638          1532051448.0    。
9.704          1532149949.0    猫和猫尾巴是两种生物
10.794         1532066708.0    ピカ！
11.021         1531995509.0    皮卡！你大爷！皮卡皮卡！
11.07          1532141795.0    小米枪战最好玩！
11.209         1532066855.0    哈哈
11.42          1531990499.0    BGM好评
12.004         1532008024.0    迟早给你抓过来做奴隶
12.761         1532136519.0    输光
12.781         1532005300.0    还以为来电话了。。。
12.982         1532151240.0    。
13.181         1532126736.0    想吃
13.301         1531974326.0    皮卡皮卡皮卡丘
13.354         1532096413.0    皮卡丘进行曲
14.051         1532160675.0    超可爱
14.211         1532060897.0    皮卡丘是电老鼠啊！不是猫！
14.342         1532103260.0    皮卡丘是鼠啊 2333
14.52          1532167351.0    皮卡丘是鼠啊
14.917         1532013666.0    皮卡丘是老鼠
15.063         1531999209.0    可爱
15.347         1532167242.0    皮
15.611         1532012441.0    萌死了
15.837         1532036801.0    全身发麻
15.929         1532064441.0    这洗澡水认真的吗？
16.161         1532015823.0    讲真，尾巴是心形的才是母皮卡丘
16.37          1532135992.0    屁嘎屁嘎屁嘎屁
16.858         1532000866.0    错了错了，镜头拉下一点！
16.961         1532151248.0    哈哈
17.039         1532082197.0    #r你好啊
17.343         1532003999.0    以为来电话了
17.531         1532016289.0    皮卡丘是老鼠
17.757         1532001291.0    比卡丘是电气鼠
17.856         1531975408.0    铲屎的要淹死啦╮(￣▽￣"")╭
18.018         1532013600.0    你萌死了
18.204         1532121442.0    ，想把主人捞上来👋👋👋
18.939         1532021011.0    全都是汪和你是什么关系
18.995         1531996584.0    卧槽好大
19.042         1532060046.0    这水
19.227         1532055441.0    在现场，嘤嘤嘤
19.268         1532067210.0    鸡皮圪塔起来了
19.32          1532005877.0    哇⊙∀⊙！
19.365         1532010613.0    卧槽好小
19.535         1531995821.0    比卡丘比卡丘比卡丘
20.542         1532052971.0    喵咪以为主人溺水了，在救她
20.661         1532140116.0    洗澡水好脏
20.77          1532049755.0    皮卡丘是老鼠，这是猫，所以up主你想干什么？(￣∀￣)
21.022         1531999009.0    洗澡水好脏，掉泥坑里了
21.1           1531991812.0    求猫咪视角
21.293         1532093801.0    跪求猫咪视角
21.446         1532008961.0    说水脏的泡澡没用过浴盐?
21.462         1532049046.0    水好混
21.477         1532016124.0    请把镜头转180度
21.679         1532017067.0    wc这背景音乐怎么感觉头皮发麻
21.682         1531995485.0    这水都黑了
21.895         1531988349.0    开始羡慕这只猫，如果洗澡🛀的是个美妹子的话
22.065         1531983278.0    这BGM，糟糕，是心动的感觉
22.397         1532084746.0    好萌
22.48          1531995993.0    看什么呢！
22.759         1532009474.0    皮卡丘是公的
22.849         1531998158.0    皮卡丘之歌？！
22.989         1532014883.0    bgm一身鸡皮疙瘩
23.04          1531987238.0    1.5倍速 好好玩 可以试一下哦
23.424         1531997371.0    额，猫的视频用这个bgm怕是不合适吧
23.656         1532152040.0    封面是语文老师超喜欢的一张图
23.684         1532014763.0    伸过来摸摸
23.862         1532078683.0    这个水洗了什么hhh
23.87          1532058199.0    人不如猫
24.078         1532048449.0    我去，这谁都黄了！！！
24.199         1531980144.0    求猫的视角
24.243         1532166331.0    盯档猫
24.301         1532072722.0    我皮是电老鼠不是喵 OK?
24.506         1532153766.0    鸡皮疙瘩起来了
24.608         1532093132.0    支咐宝首頁捜索“86OO14”这么给力吗
24.66          1532090003.0    快上来快上来不要淹水了
24.822         1532145229.0    这水好黑
