排名：51
网址：https://www.bilibili.com/video/av27185457
更新时间：07-21
弹幕总量：954
preciseTime    ofTime          comment
0.292          1532076121.0    高能预警！！！这个视频的每一帧信息量都很大……
0.366          1532068357.0    截屏选老婆
0.386          1532076307.0    以下少女均被开水烫了
0.784          1532082219.0    高能此视频每个图蕴涵的信息几乎超越宇宙
0.956          1532063564.0    截屏选老婆
1.009          1532061466.0    截图选老婆
1.072          1532060747.0    小孩子才会选，我全都要
1.196          1532072521.0    见封滚
1.356          1532070129.0    截图选老婆
1.855          1532083174.0    信息量巨大
2.118          1532081412.0    截图选老婆
2.438          1532062561.0    卡在了奇怪的地方
2.528          1532089578.0    科普一下：分贝每增加十，声音就会大上十倍，130就可以使人昏迷
2.896          1532063877.0    看到封面我就进来了
3.278          1532080523.0    你看她们笑得多开心
3.675          1532066186.0    封面空降02.01不用谢
4.097          1532066509.0    有重复的！
4.362          1532072206.0    求BGM
4.395          1532063839.0    额
4.478          1532076401.0    h
5.577          1532059119.0    封面好评
5.789          1532158849.0    抓鲁迅跟我周树人有什么关系！！！！！！！！
5.869          1532067158.0    这开头怎么过审的
6.105          1532057789.0    交封不杀
6.298          1532076067.0    见封滚
6.355          1532061155.0    前面这一段的声音你们闭上眼睛听。
6.598          1532075619.0    封面好评
7.097          1532143284.0    前方高能预警
8.229          1532057670.0    后来up主生了个大胖小子
8.536          1532060444.0    周树人
8.558          1532079434.0    看到了奇怪的东西
9.237          1532083233.0    垃圾抖音
9.818          1532135012.0    封面好评！
9.977          1532077331.0    封面好评
12.078         1532076093.0    封面好评
12.555         1532073531.0    封面好评
12.874         1532080860.0    周树人
13.241         1532064793.0    视频不看先点赞
13.599         1532068415.0    封面好评！
14.143         1532077647.0    就凭封面拿硬币
14.466         1532071781.0    我关弹幕了吗？
15.172         1532079961.0    他变成了开头？？？
15.385         1532066761.0    可惜你早已远去，消失在人海？
15.522         1532066754.0    交封不杀
15.692         1532065861.0    我总算学会了如何去爱？
15.877         1532076120.0    没看内容就投币
15.958         1532079920.0    新垣结衣的老公接受挑战
16.192         1532169677.0    后来他做了这段视频
16.219         1532074324.0    见封滚进来的
16.379         1532070462.0    ………
16.507         1532075121.0    卡
16.791         1532078160.0    哈哈哈哈哈哈哈哈笑死我了↓
17.537         1532059334.0    那个少年结了婚，有一份稳定的工作，过上了幸福美满的生活
17.602         1532071236.0    封面好评
17.843         1532077660.0    不看先投币
17.958         1532084180.0    他终于有了女朋友
