排名：14
网址：https://www.bilibili.com/video/av27189377
更新时间：07-21
弹幕总量：1983
preciseTime    ofTime          comment
0.057          1532057971.0    。。
0.083          1532052075.0    屁股还好么
0.207          1532070757.0    辣得高潮的表情
0.299          1532075130.0    失踪人口回归
1.38           1532059476.0    失踪人口回归
1.525          1532152494.0    显然，他们没有输
1.543          1532163652.0    打赌输了..你们误会标题了
1.554          1532077474.0    支付寳搜一下“
2.029          1532138342.0    法国不是赢了吗
2.457          1532062968.0    失踪人口回归
2.731          1532156079.0    提前菊花疼
3.157          1532167801.0    唉
3.321          1532138987.0    这个不辣！
3.498          1532055576.0    没有下一期了.....
3.669          1532059331.0    恭喜恭喜啊法国赢了
3.941          1532044689.0    失踪人口回归
4.06           1532068725.0    失踪人口回归
4.304          1532167681.0    心疼菊花
4.501          1532078592.0    宝贝钢蛋LOL
4.691          1532056547.0    龙的呼吸才是最辣的，舔一口，休克
5.301          1532138259.0    法国4:2赢了啊
5.461          1532052671.0    失踪人口回归
5.5            1532052026.0    失踪人口回归
6.151          1532143780.0    法国赢了啊，吃毛线啊你。
6.56           1532047257.0    恭喜法国！！
6.827          1532071558.0    失踪人口回归
7.201          1532146519.0    换发型了
7.443          1532072726.0    回来了啊
7.821          1532057075.0    结果冠军
7.822          1532155108.0    上回IG和RNG的比赛，IG的粉丝直播吃蟑螂。
7.878          1532047058.0    钢蛋你还活着！
8.169          1532065019.0    哎
8.44           1532147699.0    法国不是赢了吗？吃个毛线呀
8.739          1532051805.0    失踪人口回归
8.813          1532048262.0    看到了
8.962          1532044545.0    蛋蛋
9.361          1532148203.0    NB啊
9.569          1532046582.0    这个不辣
9.681          1532055040.0    24小时前
9.845          1532149298.0    你法国人难道不是打赌法国赢？
10.242         1532166786.0    投币逆天！
10.32          1532143217.0    失踪人口回归
10.55          1532169847.0    嘤嘤车
10.557         1532047088.0    又是辣辆车
10.899         1532152954.0    魔鬼辣椒
11.17          1532054174.0    🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷
11.517         1532056978.0    这让我想起了辣菊小哥
12.117         1532049342.0    ！！！！！🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷
12.134         1532059919.0    我关了弹幕？
12.859         1532163361.0    这个不辣
13.29          1532064516.0    失踪人口回归
13.661         1532052601.0    🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷
14.98          1532154622.0    他不会投的克罗地亚吧
15.221         1532152519.0    这蛋蛋就是法国的！
15.909         1532167699.0    中文说得这么溜？
16.128         1532062841.0    非洲人民赢了世界杯！
16.49          1532139527.0    🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
16.499         1532060160.0    蛋蛋去玩抖音了你们不知道吗
17.074         1532055819.0    这车很棒
17.237         1532058350.0    呵呵哈哈哈
17.499         1532075605.0    高卢的雄鸡
17.8           1532063357.0    我终于没有毒奶一回了ヾ(◍
18.576         1532139506.0    对啊，看到了_(:з」∠)_
19.222         1532069412.0    掉粉了蛋蛋
19.36          1532167176.0    面包车！！
19.421         1532148606.0    缸淡苯淡
19.557         1532138836.0    恭喜
19.626         1532058357.0    呵呵哈哈哈
20.586         1532139553.0    🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾
20.998         1532158003.0    币比赞多的
21.177         1532166071.0    我喜欢这个车
21.651         1532058070.0    喜欢这车
21.819         1532147059.0    我手机看了直播
22.101         1532057498.0    衣服怎么还是一颗星
22.697         1532144229.0    人家就是法国人，自己国家赢了肯定开心呀
23.085         1532055522.0    这人中文说的真好
23.226         1532168085.0    实际上，最辣的辣椒是不能吃的
