排名：5
网址：https://www.bilibili.com/video/av27191671
更新时间：07-21
弹幕总量：1962
preciseTime    ofTime          comment
0.0            1532071464.0    发布这天我生日！
0.033          1532155820.0    B站被央视点名批评了................
0.116          1532074724.0    2018
0.148          1532150665.0    全站第一，泪目
0.16           1532051188.0    螳螂出品必是精品，先赞后看已成习惯
0.19           1532058660.0    江南也被弱子盯上了快缓存江南也被弱子盯上了快缓存江南也被弱子盯上了快缓存江南也被弱子盯上了快缓江南也被弱子盯上了快缓存
0.217          1532150001.0    1.5倍超好听（自由男人色）
0.22           1532099021.0    浆♂男
0.26           1532074562.0    灵♂茎♂哲
0.333          1532060536.0    肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男肛男
0.356          1532057914.0    快进来，找个位子随便坐。
0.375          1532060544.0    肛男肛男肛男肛男肛男
0.377          1532129599.0    ♂米♂奇♂妙♂妙♂屋♂
0.382          1532162955.0    看后点收藏，不秃也变强。
0.414          1532156602.0    哲♂学不倒！哲♂学不倒！哲♂学不倒！哲♂学不倒！哲♂学不倒！哲♂学不倒！
0.433          1532066653.0    米奇妙妙屋
0.446          1532137485.0    天冷了进来坐坐
0.477          1532061836.0    在火炉旁找个地方随便坐!
0.511          1532069336.0    米♂奇♂妙♂妙♂屋
0.605          1532136461.0    打倒弱子，保卫新日暮里！！！！！！！！
0.616          1532049215.0    新人都是怪物
0.617          1532152601.0    李云帆别吹箫了
0.678          1532052986.0    哲学永不死！！！
0.683          1532111383.0    1
0.756          1532124133.0    凉屋。。。
0.797          1532114293.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0.815          1532144993.0    米奇妙妙屋
0.835          1532069076.0    米奇妙妙屋
0.837          1532049980.0    肛♂南
0.838          1532067266.0    米奇妙妙屋
0.878          1532049729.0    凉屋游戏
0.905          1532138903.0    天冷 进来坐坐吧
0.913          1532054712.0    米奇妙妙屋
0.981          1532052700.0    米奇妙妙屋
0.99           1532060465.0    白话:肛♂南
1.079          1532071582.0    那是一个月黑风高的晚上
1.111          1532147703.0    米奇妙妙屋
1.137          1532137720.0    解
1.192          1532075510.0    支付寳搜一下“
1.194          1532077162.0    欢迎我林入鬼畜界
1.238          1532134768.0    米奇妙妙屋
1.324          1532159795.0    欢迎回来
1.325          1532125306.0    我邱米今天就是要撸死在这里
1.339          1532137519.0    天冷了进来坐坐
1.351          1532057483.0    欢迎回来
1.358          1532069375.0    米奇妙妙屋
1.372          1532059435.0    同志，天冷进来坐坐
1.375          1532106710.0    米奇妙妙屋
1.387          1532122968.0    欢迎回来
1.399          1532061475.0    肛♂肛
1.435          1532065334.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀqq
1.437          1532116231.0    骚年，外面冷，进屋坐坐
1.486          1532076677.0    蕉忍疾风传被删了？
1.487          1532161489.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.494          1532135108.0    着hop的开头
1.519          1532167470.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.543          1532143670.0    av27329478超燃单曲 DESPACITO，喜欢的可以听一下。
1.544          1532060047.0    DYC我知道你在看
1.565          1532134596.0    天冷，进来坐坐吧
1.612          1532118995.0    来回穿♂插
1.657          1532100671.0    前排支持
1.756          1532074735.0    米♂奇♂妙♂妙♂屋米♂奇♂妙♂妙♂屋米♂奇♂妙♂妙♂屋
1.814          1532142943.0    同志外面冷进来坐坐吧
1.818          1532052098.0    欢迎回来
1.862          1532054005.0    十七小时前
1.872          1532051284.0    不标准开头
1.885          1532133123.0    关上55w的大门
1.908          1532049740.0    米奇妙♂妙♂屋
1.937          1532052559.0    同♂志，天♂冷♂了♂进♂来♂坐♂坐♂吧
1.982          1532167017.0    头
2.136          1532059797.0    米奇妙妙屋
2.172          1532054368.0    最后的防线，坚守住
2.323          1532102432.0    外面冷，快进来坐坐
2.364          1532152211.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀ.
2.42           1532060944.0    神特么天冷了……七月啊大哥
2.49           1532138455.0    同志，外面冷，进来坐坐
2.554          1532054071.0    这个世界太乱
2.583          1532140005.0    元。。元气。。。。满满。。。。。。。。。
2.693          1532063550.0    米奇妙妙屋
2.718          1532076015.0    进来坐坐吧
2.764          1532093870.0    米奇妙妙屋
2.774          1532057646.0    up主又拿原曲骗我们
2.81           1532152185.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀ
2.817          1532166594.0    支咐宝首頁捜索“86OO14”哲学不谢啊
2.849          1532152371.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀ..
2.96           1532054938.0    螳螂出品必属精品
2.968          1532105674.0    进♂来♂坐♂坐
3.004          1532059359.0    熟悉的片頭以不見
3.039          1532057771.0    米奇妙妙屋
3.061          1532052806.0    大夏天的，快出来降降温
3.197          1532153263.0    凉屋
3.198          1532141012.0    出不去了，每天三省吾身
3.228          1532165169.0    顶♂风作♂案
3.25           1532055274.0    生是哲学人，死是哲学魂
3.274          1532057738.0    哲学永不死
3.299          1532069363.0    南方人表示麻喵皮
3.324          1532099259.0    这不是哲学小木屋么
3.366          1532105740.0    肛男
3.367          1532050705.0    螳螂出品必属精品
3.419          1532101044.0    非标准开头
3.435          1532049233.0    保加利亚
3.446          1532065412.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀ45
3.534          1532152194.0    哲学永不投降
3.553          1532100509.0    龙族
3.604          1532066059.0    温馨的小屋♂
3.614          1532058966.0    米奇妙♂妙屋
3.661          1532052628.0    hop？
3.697          1532067843.0    找位子找位子
3.698          1532166628.0    昃昊薑姜谁是主
3.748          1532058561.0    每日yi
3.758          1532133042.0    大乱将至
3.78           1532167506.0    你看到我是就是1万以后了
3.821          1532152243.0    ࿐男ེ̤̮魂ེ̤̮被͙⃑埋ྀൢ在ྀൢ江ཻ̨南ཻ̨烟ཻ̨雨ཻ̨中ེ༵ཀ
3.933          1532103199.0    高能开头
3.975          1532129576.0    我又来了
4.052          1532107881.0    不应该是妖王吗
4.098          1532063696.0    米奇妙妙屋
4.114          1532164939.0    江男♂
4.179          1532104071.0    米奇妙妙屋♂
4.349          1532163692.0    泪目
4.837          1532068208.0    天堂之音
4.85           1532049448.0    哲学复兴
4.904          1532153929.0    米奇妙妙屋
5.011          1532128949.0    米奇妙妙屋
