排名：32
网址：https://www.bilibili.com/video/av27193534
更新时间：07-21
弹幕总量：1241
preciseTime    ofTime          comment
0.0            1532064893.0    你终于来了
0.119          1531987017.0    爷爷，你关注的UP主更新了
0.747          1531987275.0    终于等到你了，芒果冰
0.761          1532006779.0    哟 更新啦？ 我还以为你被削了
0.855          1531983683.0    网易最短命的应该就是逆水寒
0.897          1531983469.0    左右芒果冰，来了！
0.977          1532101014.0    失踪人口回归
1.02           1532004475.0    瞧瞧我发现了什么？
1.5            1531984817.0    我想死你了
1.546          1532163786.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.839          1531988938.0    终于来了
1.879          1532061103.0    支付寳搜一下“
2.023          1532000506.0    UP主居然还没被灭口
2.699          1532044638.0    终于更了
3.248          1532023002.0    没弹幕啊？
3.285          1532138827.0    6
3.299          1532009238.0    来了来了
3.669          1532021585.0    芒果冰
3.856          1532004922.0    0.。0
3.969          1532008300.0    我还以为凉了呢
4.141          1531984087.0    等的好辛苦啊
4.181          1532020214.0    失踪人员归来
4.7            1531982440.0    有生之年
4.753          1532010267.0    天下2
5.001          1531993897.0    来了天下
5.417          1532008833.0    又见芒果冰更贱半藏你换了吗
5.632          1532008612.0    西瓜冰
5.841          1531997464.0    hi，芒果冰
5.94           1531999977.0    半藏你还是换了吧
6.039          1531982091.0    终于来了
6.097          1532006540.0    保值！
6.178          1532060059.0    中青宝吗？
6.28           1532135416.0    失踪人口回归！
6.311          1531985418.0    来了
6.419          1531983486.0    短的一匹
6.539          1532016011.0    14分钟前
6.664          1532081228.0    失踪人口回归
6.866          1531983761.0    看我刷出了什么
6.881          1531995762.0    我的天下！！
7.02           1531984711.0    好的芒果冰
7.3            1531983375.0    1510
7.415          1531988038.0    芒果冰
7.499          1532012910.0    失踪人口回归
7.648          1532091557.0    喜欢喜欢
7.721          1531983835.0    失踪人口回归
7.857          1531992222.0    芒果冰
7.999          1532090411.0    失踪人口回归
8.162          1532145025.0    ...
8.205          1531987931.0    ....................失踪人口
8.259          1532163297.0    终于更新了系列
8.439          1532055304.0    BATTLEfield真的好玩，就是疯狂显示网络问题，只能卸了
8.96           1532144077.0    溺水凉
9.32           1531995351.0    终于更新了，芒果冰
9.361          1531989190.0    1000
9.39           1532102116.0    失踪人口回归
9.495          1532046591.0    留下来
9.547          1532013484.0    芒果冰
9.601          1532009594.0    上个星期的给我补上
9.654          1532007764.0    可更新了 
9.736          1532003887.0    终于等到你
10.078         1532042887.0    1
10.426         1532016442.0    66666666666666666666666666666666666
10.579         1531990386.0    终于更新了，等了两个星期了
10.64          1531994432.0    芒果冰，我来了
10.741         1532067048.0    失踪人口回归
10.889         1531988099.0    某寒
10.98          1532022998.0    你好，芒果冰
11.385         1531999889.0    哈哈，都知道说的是谁23333
11.819         1531997023.0    更了啊
11.861         1531992379.0    失踪人口回归
11.919         1531989369.0    短小！
11.942         1531990614.0    你活了老铁！
11.979         1532000491.0    第一的，你截图给谁看
11.998         1532067340.0    先投为敬
12.219         1532101836.0    233
12.241         1532092630.0    B站要凉啊...
12.447         1532001410.0    是含沙射影！文盲！
12.921         1532061757.0    芒果冰
12.964         1532060553.0    芒果冰你好呀
13.078         1532091508.0    终于等到了
13.12          1532155619.0    23333
13.238         1531994977.0    天下2天府之国的在此
13.259         1531985752.0    好的芒果冰
13.282         1532108285.0    芒果冰，你回来了
13.441         1532008797.0    manguobing
13.679         1531991315.0    失踪人口回归
13.734         1531984265.0    逆水寒？
13.779         1531988032.0    出现了
13.789         1532004932.0    .。。。
13.931         1531999587.0    逆水寒马上要凉了
14.124         1531998495.0    差点错过，还好首页有推荐
14.279         1532078750.0    芒果冰
14.336         1532095618.0    1
14.386         1531986267.0    芒果冰来了来了
14.399         1532067068.0    up还活着
14.48          1531995278.0    666
14.5           1531996811.0    我来了
14.504         1532001472.0    终于
14.593         1532021922.0    9?
14.7           1532019403.0    人口回归失踪
14.946         1531994548.0    不对，你是芒果冰
14.974         1531986618.0    1611
15.076         1531983042.0    失踪人口回归
15.138         1532150408.0    鳖孙，终于更新了
15.239         1532018518.0    怎么称呼你呢
15.314         1532008389.0    手机弹幕
15.341         1532011082.0    创世西游？
15.404         1532152522.0    ALIE
15.459         1532070405.0    芒果冰，我来了
15.51          1531992690.0    活着就好
15.536         1532140345.0    失踪人口
15.602         1531994713.0    逆水寒么
15.656         1532097206.0    07年天下真是后来倩女逆水寒等等这些国韵网游的鼻祖
15.723         1531988949.0    9
16.054         1531984616.0    天下2没玩过
16.1           1532013978.0    终于来了
16.124         1532088279.0    先投币再看
16.185         1531984643.0    好的
16.236         1531999399.0    半藏贼6
16.238         1531996954.0    MGB 你好
16.569         1531982017.0    嘤嘤嘤
