排名：78
网址：https://www.bilibili.com/video/av27196230
更新时间：07-21
弹幕总量：994
preciseTime    ofTime          comment
0.0            1532053975.0    郭锥我赌你8小时内粉丝数到125.0
0.318          1532017714.0    在现场
1.139          1532086433.0    洋 大人我想你了
1.291          1532153096.0    小哥哥抢镜头
1.499          1532084571.0    BGM：唱着情歌流着泪
2.327          1532154512.0    大家好 我是郭锥
2.73           1532034875.0    太抢镜了吧，后面那位男士
2.797          1532135400.0    死神之子也在！
2.978          1532062654.0    后面小哥想拿刀
3.073          1532143322.0    郭铁菊今天7月21日视频慢了
4.181          1532041880.0    后面233333333
4.774          1532155502.0    报。。。前方有人虐狗，请FFF上场拯救
4.864          1532065694.0    都到家门口了快我居然不知道
5.107          1532053033.0    v
5.4            1532062095.0    我在野三坡被粉丝们玩了两天
5.685          1532165392.0    成都
6.316          1532091905.0    后面小哥瞩目
6.801          1532094506.0    野三坡，我来野
6.872          1532014833.0    123万
7.298          1532081641.0    有啥意义
7.34           1532019709.0    FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
7.401          1532010511.0    为什么我的手上多了汽油和火把
7.441          1532100174.0    为啥这么多狗粮啊……
7.445          1532168924.0    FFFFFFFFFFFFFFFFFFFFF
7.505          1532084473.0    这狗粮
7.56           1532069614.0    彭宇
7.641          1532067650.0    房山欢迎您
7.871          1532168531.0    好好好
8.139          1532129990.0    这狗粮mmp
8.314          1532080369.0    fffffffffff
8.353          1532023974.0    高产
8.38           1532012087.0    fff
8.521          1532013191.0    郭杰瑞，你又来中国了吗？
8.54           1532146184.0    ffffffffffffffffffff
8.72           1532107635.0    保定的不要跑！
8.967          1532154534.0    FFFFFF
8.998          1532062673.0    防不胜防
10.069         1532064979.0    我是十渡的
10.104         1532143264.0    去那远
10.152         1532007367.0    欢迎收看〖郭杰瑞的日常〗
10.181         1532012919.0    保定的你别跑
10.739         1532018755.0    原来那么多保定的呀
11.2           1532013494.0    我家附近
11.579         1532139936.0    FFF
