排名：45
网址：https://www.bilibili.com/video/av27201388
更新时间：07-21
弹幕总量：484
preciseTime    ofTime          comment
0.707          1532109637.0    不脸盲 看表情就知道左边是咖喱(ಡωಡ) 
0.966          1532133470.0    给你粉色弹幕！！！！
1.477          1532146911.0    不会穿模也敢自称人工智障？
1.482          1532152142.0    0.75正常速度
1.523          1532160830.0    1.5倍新世界
1.542          1532097474.0    为3王打call
1.664          1532098247.0    aliga咖喱，kinoko菌子，sakuragun樱群，没错我都关注了
1.698          1532103879.0    爱酱粉！！！
1.707          1532096591.0    为咖喱打上粉色字幕
1.747          1532146529.0    everybody
1.784          1532099317.0    来了
2.013          1532098438.0    粑粑的脸不是很圆就是肉多
2.148          1532136956.0    听说要粉色弹幕
2.21           1532168648.0    1.5倍新世界
2.399          1532109221.0    话要粉色wo
2.452          1532115756.0    来辣
2.477          1532096711.0    everybody ye~
2.584          1532099172.0    第三遍。。。
2.907          1532146566.0    everybody
2.967          1532124004.0    咖喱说要粉色
3.084          1532140503.0    装疯卖傻？
3.125          1532099711.0    我这辈子都不可能用粉色
3.226          1532096431.0    试色
3.988          1532110287.0    咖喱咖喱咖喱
4.118          1532100797.0    要是三个女装大佬该有多好啊啊啊啊啊啊啊
4.307          1532098112.0    来了
4.366          1532103621.0    咖喱要的粉色！！！！
4.443          1532127627.0    粉色弹幕满足你
4.566          1532098824.0    粉粉粉粉
4.714          1532096933.0    咖喱说要用粉色哦⊙∀⊙！
4.823          1532149341.0    粉色
4.844          1532097436.0    呀呀呀
4.868          1532097024.0    爱酱粉色弹幕
4.907          1532105787.0    老婆真可爱
4.949          1532100052.0    我老婆说要粉色
4.963          1532104237.0    九重降智
5.207          1532096289.0    我永远喜欢Aliga
5.226          1532133894.0    咖喱说要
5.265          1532113453.0    咖喱可爱w
5.273          1532141154.0    粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉
5.308          1532109360.0    好吧，粉色
5.357          1532098162.0    粉粉哒
5.363          1532126368.0    抱走咖喱，都别跟我抢！
5.427          1532099428.0    退不出怎么办
5.442          1532096994.0    小学生才会做选择  我全都要
5.528          1532098456.0    粉色
5.626          1532129624.0    粉色?
5.698          1532127804.0    满足你的粉色弹幕
5.931          1532096603.0    为咖喱打上粉色字幕
6.067          1532143026.0    粉色！
6.246          1532099127.0    咖喱
6.319          1532103110.0    好好好，听你的，粉色是吧，给你
6.411          1532130660.0    粉色来了。。。。。。。。。。
6.624          1532099128.0    粉色弹幕应援
6.63           1532135534.0    粉粉粉
6.661          1532098046.0    粉色弹幕
6.747          1532098867.0    表情包少女出没
6.768          1532145899.0    分色弹幕应援
6.868          1532099472.0    是你想要的粉色吗？
6.936          1532135270.0    粉色粉色
6.948          1532097372.0    呆萌呆萌\(//∇//)\
7.025          1532127567.0    aliga矮乐多
7.102          1532143161.0    粉色
7.206          1532143623.0    承包菌子和咖喱
7.32           1532097093.0    粉色弹幕应援！
7.424          1532134742.0    颜表立
7.456          1532098517.0    咖喱说要粉色应援
7.526          1532096525.0    这可是表情包要求的粉色弹幕，我智商这么高 不会错
7.566          1532101727.0    老婆我来了！
7.626          1532150528.0    所以这个是粉色吗
7.884          1532098304.0    三重爱酱
8.019          1532169218.0    听说粉色弹幕观感更佳
8.045          1532098386.0    满足一波粉色弹幕～w
8.105          1532097349.0    这个是粉的吧⊙▽⊙
8.106          1532109584.0    hhhhhh
8.286          1532143000.0    嗨多磨
8.287          1532099284.0    ( ☉_☉)≡☞o────★°
8.326          1532133497.0    咖喱颜艺精彩hhhhh
8.409          1532099918.0    老婆                        老婆                          老婆
8.502          1532150676.0    嗷嗷嗷嗷
8.526          1532097383.0    听说想要粉色弹幕？
8.566          1532163819.0    粉粉了
8.666          1532097375.0    为了矮乐多
8.865          1532161491.0    粉色前来支援
9.027          1532096302.0    打call
9.051          1532167541.0    粉粉粉
9.067          1532166810.0    咖喱我先行扛走了哈哈哈!!
9.107          1532138276.0    咖喱要的粉色弹幕
9.113          1532100935.0    粉色粉色粉色粉色!
9.147          1532098742.0    要粉色
9.267          1532102662.0    粉粉粉粉粉粉粉粉粉粉粉粉粉粉粉
9.303          1532101843.0    粉色粉色！！
9.332          1532099499.0    粉色弹幕应援
9.439          1532149731.0    第4遍
9.503          1532096203.0    都很可爱，但我心里只有咖喱
9.551          1532156403.0    我全都要
9.586          1532096885.0    菌子越来越熟练了
9.627          1532101012.0    哈哈哈哈哈哈哈哈咖喱真可爱
9.665          1532126782.0    菌子全程演技最佳
9.726          1532165507.0    23333好可爱想抱走啊
9.8            1532168066.0    三倍的智障
9.803          1532098304.0    大爱gali
10.008         1532152294.0    应爱酱安排而来
10.198         1532096623.0    为咖喱打上粉色字幕
10.246         1532113327.0    试色
10.296         1532104289.0    粉色应援！！！
10.306         1532148438.0    说粉色就粉色！！！！！
10.326         1532096796.0    听说要粉色弹幕
10.387         1532098325.0    粉色弹幕
10.426         1532098001.0    ！……
10.486         1532098069.0    是这颜色吗
10.607         1532097057.0    粉色
10.967         1532154883.0    粉色弹幕应援
11.046         1532138022.0    哈哈哈哈
11.149         1532099370.0    粉色字幕
11.187         1532102673.0    粉色来了
11.307         1532098323.0    是这个颜色吗
11.398         1532096776.0    为咖喱打上粉色字幕
11.507         1532103158.0    应援
11.547         1532144729.0    粉色！粉色！
11.672         1532098206.0    三个男孩子
11.734         1532097005.0    为咖喱打上粉色字幕
11.907         1532140676.0    全都给我粉起来啊
12.126         1532098989.0    回来发粉色
12.296         1532098758.0    听说要粉色的弹幕
12.302         1532098725.0    满足你的要求，百合粉2333
12.328         1532109408.0    粉粉粉粉粉粉红色略略略
12.427         1532096407.0    老婆回家了  快回家  
12.466         1532121632.0    嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤嘤
12.586         1532096567.0    粉色
12.801         1532096432.0    咖喱要粉色的! ! !
12.806         1532101530.0    粉色
12.952         1532128783.0    可爱哦
13.066         1532150287.0    粉粉粉粉
13.08          1532102109.0    粉色应援
13.306         1532096203.0    idol太多，我要降智那一个
13.446         1532099716.0    粉粉粉粉粉
13.526         1532096213.0    咖喱要粉色弹幕
13.548         1532096436.0    粉色应援。
13.845         1532096911.0    我觉得海星
13.883         1532097528.0    粉色应援
13.933         1532143490.0    粉粉粉
14.023         1532147802.0    应该是这个颜色
14.067         1532105655.0    给你粉红弹幕
14.068         1532131256.0    你要粉色？
14.232         1532101845.0    中毒了肿么办
14.307         1532098602.0    降智开始！
14.402         1532099758.0    粉色来了来了
14.427         1532098022.0    +
14.678         1532096639.0    为咖喱打上粉色字幕
14.913         1532096943.0    给你粉色
14.985         1532100601.0    粑粑别玩了回家了
15.023         1532101923.0    自动变色
15.152         1532100468.0    表情包
15.343         1532140324.0    粉
15.366         1532154336.0    粉色来了
15.371         1532131797.0    花Q花Q
15.566         1532099495.0    粉色应援
15.852         1532096410.0    矮乐多，我的
16.064         1532131122.0    爱酱粉
16.525         1532169375.0    降智打击
16.606         1532134955.0    粉丝弹幕在此
16.725         1532099575.0    咖喱咖喱咖喱
17.003         1532102781.0    粉丝
17.033         1532109673.0    表白樱群
17.089         1532096765.0    咖喱咖喱
17.688         1532132489.0    应援粉
17.79          1532143176.0    粉一波
17.907         1532109937.0    我永远喜欢菌子和咖喱
18.006         1532096318.0    给咖喱打call
18.094         1532149784.0    满足你的愿望，咖喱
18.142         1532136346.0    左下角。。
18.327         1532109428.0    嘲讽脸
18.391         1532136248.0    粉色啦
18.413         1532104493.0    粉色支援
18.433         1532100952.0    全程看aliga
18.485         1532098437.0    粉～
18.586         1532128803.0    粑粑被玩坏了
18.709         1532099104.0    粉粉粉粉粉粉粉粉粉粉粉粉
18.746         1532150773.0    我们都变成粉色
19.167         1532132774.0    2333
