排名：3
网址：https://www.bilibili.com/video/av27216746
更新时间：07-21
弹幕总量：4771
preciseTime    ofTime          comment
0.0            1532147111.0    邪恶大多数的人呃呃呃呃囍嗯发“¥到底是tt2rrrrwttwwww因为它忐忐忑忑yytyw惺惺相惜想让啊啊啊啊啊啊想LPPpKpqqqkqpqqqMmmmjjojjojo 
0.067          1532160729.0    转正就为来投硬币！
0.126          1532044391.0    这集请大家做好心理准备
0.253          1532041334.0    看了一眼，便秘。。
0.417          1532068761.0    j
0.567          1532043297.0    天哪嘟督更底特律了！！！！！！！！！！
0.724          1532097231.0    提前说好，此片可能会让人泪目
0.735          1532011060.0    收藏收藏！
0.737          1532017309.0    收藏过两万出下一话!兄弟们快收藏吧！
0.76           1532136895.0    投币比收藏多系列
0.842          1532021644.0    变。便秘！？？
0.878          1532014186.0    收藏了在看
1.18           1532062570.0    希望中奖哈哈哈哈哈哈
1.324          1532094599.0    天啊，这是平行世界的底特律
1.375          1532024497.0    嘟督！我快乐的小甜心
1.414          1532136283.0    啊啊啊啊啊啊啊啊啊嘟督我nai ne！
1.45           1532010793.0    又开新坑了？请快填满远哭5
1.483          1532144306.0    av27329478超燃单曲 DESPACITO，喜欢的可以听一下。
1.598          1532023251.0    嘟督的丧病鬼畜配音?毁经典的又一力作?啊啊啊啊啊啊啊，我都嗨成这样了，你们不发条弹幕吗？
1.648          1532146470.0    这个番不错了，追了
1.67           1532168036.0    你开弹幕了，对吧？
1.699          1532072638.0    又开新坑
1.806          1532057459.0    支付寳搜一下“
1.809          1532047872.0    1
1.906          1532075065.0    支付寳搜一下“
1.917          1532011564.0    111111
1.921          1532018928.0    弟兄們加油，還差2000！
1.944          1532086889.0    同时开3坑？？？？？？
1.981          1532015892.0    又开新坑？！！！！！！！！！！！
2.082          1532064257.0    底特律:便秘
2.158          1532148814.0    该来的还是来了
2.239          1532013783.0    孩子你截图给谁看?
2.381          1532144206.0    欢迎回来
2.409          1532014001.0    底特律:便秘
2.578          1532012526.0    催更催更催更嘟嘟快更新∪･ω･∪
2.758          1532019649.0    便秘2333333
2.819          1532144600.0    三个坑了，
2.838          1532098972.0    再来一遍
3.088          1532166582.0    秋尽江南草木凋
3.091          1532081437.0    发发发发发发发发发发
3.121          1532050906.0    终于干正业了
3.159          1532069238.0    前后画风不一样啊！
3.289          1532011503.0    来了
3.441          1532061851.0    便秘?！
3.46           1532065722.0    底特律！！！
3.634          1532168782.0    果然还是下手了
3.645          1532153290.0    发发发发发发发发发发发发发发发发发发
3.68           1532056387.0    见封滚
3.759          1532017142.0    收藏过两万出下一话!!!兄弟们快收藏
3.787          1532086599.0    有人吗
3.84           1532011707.0    嘟嘟总算对底特律下手了。
3.921          1532052909.0    封面很棒♂
3.94           1532018246.0    五小时前。。。
4.03           1532015151.0    交封不杀系列
4.06           1532042238.0    过审小王子
4.099          1532012486.0    再看一遍
4.11           1532152982.0    有生之年系列，有多久没更新了说
4.14           1532013380.0    四小时前略略略
4.184          1532063764.0    哇啊啊啊啊
4.228          1532069250.0    求封面_(:_」∠)_
4.24           1532059677.0    底特律！！！！我就知道會有的
4.379          1532085532.0    三周目
4.393          1532011653.0    记得收藏
4.42           1532038224.0    第169784
4.437          1532077802.0    有生之年啊
4.583          1532139901.0    再来一遍
4.679          1532013010.0    啊！
4.76           1532134987.0    你还敢挖新坑? 我就佩服你这种勇气
4.888          1532094423.0    不要开新坑了，战神和孤岛还没完结呢
5.012          1532014140.0    嘟嘟长了
