排名：44
网址：https://www.bilibili.com/video/av27218252
更新时间：07-21
弹幕总量：1455
preciseTime    ofTime          comment
0.0            1532162665.0    关上了前9304的大门
0.047          1532154412.0    boy抵着麦说话，求你了
0.209          1532068422.0    哎呀虽然晚了小时，但是我绝对不会迟到。酱迟但到
0.428          1532069687.0    见封滚
0.495          1532105893.0    哈喽各位亲爱的观众老爷你们你们好我是中国boy
0.858          1532066489.0    中国Boy你在不更新看鬼畜我就去自杀！
1.258          1532154498.0    看鬼畜了解一下
1.423          1532096913.0    达芬奇了解一下
1.441          1532163761.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.681          1532138273.0    特地养了几天弹幕
1.779          1532070445.0    国产
1.918          1532066496.0    看鬼畜
2.41           1532085432.0    天线宝宝彻底被遗忘
2.538          1532066502.0    看鬼畜啊
2.816          1532080082.0    达芬奇警告
3.4            1532092855.0    我看到了173。。。
3.459          1532070868.0    达芬奇，了解一下
3.478          1532066526.0    中国boy你再不更新看鬼畜我就去自杀！
3.539          1532139383.0    达芬奇了解一下
4.06           1532139390.0    达芬奇了解一下
4.098          1532066426.0    什么时候更新看鬼畜啊
4.12           1532144286.0    你是谁你怎么在我关注里
4.161          1532082992.0    达芬奇了解一下
4.225          1532077941.0    甩鞭怪了解一下
4.593          1532067095.0    中国boy你再不更新看鬼畜我就自杀！
4.864          1532093134.0    二话不说先点赞
5.012          1532136577.0    看鬼畜了解一下
5.1            1532157207.0    达芬奇了解一下
5.478          1532066536.0    看鬼畜了解下！
5.499          1532142514.0    看鬼畜了解一下
5.799          1532094046.0    达芬奇了解一下
6.057          1532070453.0    高产似那啥
6.143          1532088206.0    boy你再录一期鬼畜，最近你素材多，估计会有很多新视频，好久没看了。想看顶上去谢谢（￣▽￣）
6.161          1532081445.0    明天漫展哥达芬奇警告
6.298          1532082068.0    天线宝宝了解下
6.319          1532066459.0    中国BOY你在不更新看鬼畜我就去自杀！
6.361          1532081781.0    小猩翰哲
6.42           1532152843.0    达芬奇了解一下
6.465          1532134027.0    看鬼畜看鬼畜
6.492          1532067110.0    中国boy你再不更新看鬼畜我就自杀！
6.778          1532082831.0    我是中国boy啊！
6.82           1532092321.0    scp
6.881          1532161456.0    鬼畜鬼畜
6.971          1532138467.0    我又要关弹幕了，胆小鬼们
7.205          1532075523.0    66666
7.264          1532160677.0    boy你看天上那朵云，像不像达芬奇
7.378          1532066545.0    看鬼畜了解下
7.398          1532067693.0    看鬼畜了解下
7.4            1532141479.0    看鬼畜！
7.98           1532080099.0    高产似那啥
8.078          1532066552.0    看鬼畜了解下
8.459          1532081011.0    鬼畜鬼畜鬼畜鬼畜鬼畜
8.72           1532093853.0    boy你的颜值又回来啦！
8.96           1532133842.0    看鬼畜了解一下
9.0            1532147461.0    看鬼畜了解一下
9.019          1532066564.0    看鬼畜！
9.032          1532162508.0    达芬奇什么梗emmmm
9.059          1532147554.0    看鬼畜和达芬奇了解一下
9.24           1532076805.0    巴啦啦小魔猩我来看你啦
9.422          1532112174.0    鬼畜了解一下
9.579          1532169366.0    166我抱走了，你们随便
9.639          1532085359.0    达芬奇警告
9.642          1532080104.0    高产似那啥
9.78           1532148483.0    承包173没人看的见吧
9.826          1532067193.0    看鬼畜？？
10.038         1532066576.0    多久没更新看鬼畜了啊
10.08          1532069542.0    达芬奇了解一下
10.181         1532080937.0    scp
10.388         1532138653.0    鬼畜了解一下
10.411         1532094650.0    晚上看
