排名：91
网址：https://www.bilibili.com/video/av27219276
更新时间：07-21
弹幕总量：493
preciseTime    ofTime          comment
0.0            1532166649.0    素质二连，收藏投币~~~~~~~~~~~~~~~~表白up主
0.469          1532110830.0    居居北劳斯你们快来看这个！！！
0.55           1532131355.0    能看一百遍
0.721          1532100472.0    完了，出不去了_(:3」∠❀)_
0.794          1532096229.0    龙哥白叔快来看啊！！！
0.811          1532167461.0    支咐宝首頁捜索“86OO14”这么给力吗
1.034          1532136969.0    居老师和白老师求你们看看这个视频
1.92           1532096442.0    居老师北老师 这个mv真的很好看 进来看看嘛
2.447          1532161146.0    2.0倍迷之鬼畜
2.455          1532093175.0    欢迎回来
4.224          1532147157.0    第三遍…完了，我出不去了
4.562          1532100391.0    我来了！！！！
4.735          1532113148.0    我爬墙来看看，真的好棒
4.775          1532135541.0    啦啦
5.354          1532099667.0    太可爱了！！！！
5.537          1532110342.0    来啦
5.668          1532169569.0    居老师北老师！！你们看看啊！！
5.742          1532136882.0    up魔鬼，嘻嘻
6.073          1532146482.0    可爱炸了
6.1            1532162646.0    哈哈
6.154          1532131538.0    再看一遍
6.49           1532118287.0    音乐梦的唱片机
6.907          1532106425.0    可爱爆啦
7.675          1532153831.0    太可爱了
7.864          1532166563.0    支咐宝首頁捜索“86OO14”深藏功与名
7.914          1532155790.0    继续看！
8.354          1532131545.0    太萌了！！
8.624          1532137082.0    好棒！
8.75           1532131383.0    为什么只能投俩！我要投100个！
9.69           1532118300.0    有你的声音
10.274         1532135463.0    太可爱啦！
10.53          1532092928.0    n刷
10.624         1532094350.0    哈哈哈哈超可爱
10.794         1532131553.0    萌哭呜呜呜
10.931         1532141286.0    微博来的！
12.074         1532135475.0    阿婆你也台棒鸟
12.198         1532112523.0    我的妈呀
12.303         1532092581.0    好可爱啊啊啊啊
12.31          1532118316.0    木吉他弹奏我的好心情
12.321         1532100036.0    出不去了，太可爱了，满满的心意呀，爆哭
12.428         1532138030.0    太可爱了(๑• . •๑)
12.789         1532110625.0    确实确实
13.056         1532169634.0    可爱爆了
13.073         1532151080.0    哈哈哈哈哈哈哈哈哈哈确实什么鬼
13.531         1532138693.0    啊啊啊回来啦
13.681         1532099421.0    棒
13.956         1532100234.0    好可爱~~~
13.994         1532152018.0    确实！
14.127         1532146489.0    好棒啊！！！
15.149         1532150924.0    确实笑死我嘛
15.179         1532153689.0    太可爱了
15.281         1532144609.0    可爱!
15.335         1532091851.0    确实
15.571         1532139341.0    哇哇哇！！！
15.634         1532131566.0    感谢！！！
15.79          1532148919.0    哇哦～
16.361         1532132876.0    太棒辽～
16.421         1532099633.0    好评
16.621         1532100556.0    哇啊啊啊
16.96          1532154235.0    还没走又来了
17.162         1532155393.0    两位哥哥里面请
17.867         1532117283.0    确实不错。
17.98          1532118332.0    路途不错的风景
18.08          1532153500.0    哈哈哈哈哈哈确实
18.715         1532160669.0    求快本给个完整版啊QAQ
18.829         1532098594.0    好可爱
19.061         1532132177.0    好可爱~\(≧▽≦)/~
19.23          1532146103.0    太可爱了
19.906         1532118347.0    我留下足迹
20.053         1532161036.0    确实
20.055         1532158419.0    超级可爱的MV
21.245         1532129521.0    超喜欢嘤嘤嘤
21.862         1532141120.0    太可爱了吧
22.088         1532093500.0    WOW
22.138         1532136949.0    确实
22.864         1532143614.0    为什么才能投两个币
22.87          1532096399.0    b站打卡
23.012         1532155399.0    好可爱啊
23.073         1532134202.0    实名想让他们上两人一起旅游的综艺。
23.146         1532138252.0    太可爱了啊啊啊啊啊
