排名：7
网址：https://www.bilibili.com/video/av27227128
更新时间：07-21
弹幕总量：1467
preciseTime    ofTime          comment
0.0            1532145109.0    高产
0.101          1532094939.0    周更点赞
0.621          1532145680.0    快来进我的妙♂妙♂屋
0.76           1532149035.0    米奇妙妙屋
0.981          1532150388.0    泛式是守株待骨王了？表白❤
1.02           1532167777.0    好
1.7            1532137934.0    打破6666弹幕
2.84           1532169891.0    米奇妙妙屋
2.98           1532159806.0    来啦
3.038          1532165718.0    非战斗人员请撤离
3.576          1532162267.0    无鸡之谈！！！
3.601          1532159811.0    来啦
4.961          1532169166.0    高产似那啥
5.615          1532094635.0    啦啦啦啦啦啦啦啦啦
5.817          1532155960.0    开户古今
6.0            1532101310.0    有博人传嘛
6.12           1532166202.0    您好
6.142          1532148708.0    可耻的播放量
6.233          1532108839.0    休闲党！
6.519          1532136655.0    无鸡之谈
6.659          1532168158.0    来了来了
6.827          1532145225.0    还回家
7.373          1532147129.0    1
7.666          1532126228.0    233
8.546          1532110347.0    新番妙妙屋~
8.592          1532169037.0    支咐宝首頁捜索“86OO14”说了别谢我
9.779          1532119185.0    泛式，我想给你生猴子
10.304         1532140149.0    我可以输弹幕了，好开心
10.807         1532099946.0    骨王
11.047         1532164210.0    央视对B站动手了
11.79          1532153052.0    来了 
13.181         1532148692.0    我老婆我抱走
14.198         1532152100.0    为什么没有工作细胞，为什么没有杀戮天使
14.804         1532129304.0    2
15.028         1531996613.0    所以到底为什么没有工作细胞为什么没有杀戮天使？
15.792         1532108771.0    那个字念戮Lu
16.742         1532147291.0    为什么没有工作细胞 为什么没有杀戮天使
16.93          1531997746.0    为什么没有工作细胞，为什么没有杀戮天使？
17.148         1532094830.0    力挺B站！
17.26          1532135598.0    正确的名字是杀戮的天使哦
17.33          1532148496.0    为什么没有工作细胞 为什么没有杀戮天使了啦
17.389         1532164336.0    为什么没有工作细胞？？
19.299         1532168226.0    为什么呢
19.859         1532169003.0    为什么没有工作细胞
20.154         1532144568.0    吹爆天狼
20.441         1532139625.0    米奇妙妙屋
20.503         1532112852.0    为什么没有杀戮天使
20.738         1532169908.0    ？
21.133         1532098951.0    为什么没有工作细胞 为什么没有杀戮天使
21.563         1532145428.0    吹爆天狼
21.79          1532110361.0    天狼！！
24.241         1532126245.0    可耻的播放量
24.562         1532126539.0    血小板
25.203         1532151442.0    尤里？
25.303         1531998300.0    你有本事把天狼后面那串英文念出来呀
25.474         1532126868.0    东京喰种的感觉啊
25.559         1531996287.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
26.156         1532154874.0    红警赛高！
26.512         1532126834.0    看出了东京喰种的感觉
26.799         1531996576.0    尤里的复仇海星
27.295         1532165097.0    天狼啊啊啊！！！
27.547         1532138849.0    6666
27.743         1532157912.0    红警，惊了
27.816         1532166417.0    共和国之辉表示辣鸡
27.86          1532148769.0    天狼真的不错
28.013         1532096452.0    为什么没有工作细胞，为什么没有杀戮天使
28.349         1532097815.0    承包我家尤里
29.641         1531996779.0    神™尤里的复仇
29.82          1531997839.0    广姥爷的复仇
29.879         1532158571.0    好看
29.937         1532165709.0    格雷迈恩？
29.95          1532136354.0    这画风我喜欢
30.169         1532145445.0    红警玩家表示mmp
30.637         1532148354.0    吴克的复仇~
32.341         1532135301.0    尤里的复仇不是红警里面的吗，哈哈
32.409         1532166228.0    七月的记忆
32.431         1532139731.0    男主超帅！
32.565         1532147107.0    吹爆天狼!
32.674         1532149281.0    尤里的复仇可还行
34.911         1532168489.0    为什么没有工作细胞
35.026         1532133138.0    天狼我TM吹爆
36.476         1532147583.0    不错啊
38.665         1532095983.0    天狼给你多少钱？
39.15          1532153077.0    尼德是你在开四消吗
40.745         1531998003.0    红。。。红色警戒？
41.121         1532162646.0    共辉自重
41.222         1532165111.0    天狼好评！
41.3           1532142033.0    ぅおきぇくぃ
43.016         1532111024.0    有钱就是可以。。
45.064         1532095699.0    舒服
47.285         1532140184.0    武皇刃谭
47.415         1532104481.0    红色警戒之尤里的复仇
50.465         1532103721.0    天狼这次真的吹爆，这才是该有的打斗！
51.172         1532142893.0    央视点名很刺激
52.89          1532153304.0    秀秀秀
54.422         1532157896.0    远离挑染的男主！
54.625         1532147457.0    你大河内还是你大河内
55.213         1532145747.0    时髦值还行
55.248         1532143566.0    让我康康
55.331         1532140156.0    怎么有点《降世神通》的感觉番外篇《克拉传奇》
56.3           1532111406.0    第一话高清加粗hhh不过这两部第一话真的时髦值破表没有错
56.64          1532167394.0    怀中抱妹杀，徒手撕高达！
57.42          1532001289.0    的第一话233333
57.444         1532169838.0    子安又演吸血鬼
58.119         1532169323.0    哈哈哈哈哈
58.709         1532005636.0    一集超人
59.073         1532161456.0    不行，太吓人了，小朋友看了不好，影响身心健康，必须封禁
59.094         1532002143.0    一集超人哈哈哈哈
59.24          1532013998.0    一集超人可还行
59.54          1532008577.0    一集超人2333333
59.628         1532143278.0    一集超人笑尿
59.84          1532145799.0    ？？？
59.993         1532104187.0    的第一话。。。。。。。。。
60.055         1532016195.0    一集超人23333
60.701         1531997527.0    一集超人可还行
60.975         1532158168.0    论第一季谁打得过大大大大大河内一楼
62.695         1532168976.0    孙一峰.jpg
62.803         1531996822.0    一集超人你是想笑死我吗
62.969         1532136250.0    一集超人666
63.52          1531997442.0    23333
64.011         1532129392.0    一集超人大河内一楼
64.685         1532151161.0    发型为啥和某甲铁城的奶油抹茶蛋糕有点相似啊
64.873         1531997530.0    Be one with Yuri
65.54          1531997544.0    叫尤里还是俄罗斯人。。。
65.571         1532167302.0    有种东京吃货的感觉...
65.785         1532116813.0    熊人族加狼人族啊~~~
65.868         1531996357.0    一集超人哈哈哈哈
66.009         1531996340.0    哈士奇233333
66.014         1532145388.0    瞎说什么大实话
66.283         1532102399.0    黑夜传说？
66.427         1531997454.0    我就说男主的配色怎么有点眼熟原来是哈士奇
67.289         1532148704.0    俄罗斯人和狼人？大毛？
67.882         1532149103.0    毛子的混血，不得了
68.266         1532151344.0    俄罗斯人日狼
68.381         1532151139.0    一集超人哈哈哈哈
69.128         1532103138.0    一集超人2333
69.219         1532169035.0    诶，王冠不是超了两集吗（笑）
69.454         1532168958.0    2333333哈士奇的串
70.134         1532129968.0    莉莉的同胞(笑)
70.234         1532143581.0    让我康康！
70.242         1532147221.0    好帅
70.304         1532103566.0    刘莉莉投胎
70.418         1532104459.0    上一个头顶奶油发行的角色是谁来着…哦 是甲铁城！！
70.593         1532165140.0    男主好帅
70.779         1532168228.0    哈士奇23333
71.382         1532141440.0    2333333333
71.886         1532143213.0    日常甲吹
72.261         1532148834.0    瞎说什么大实话呢23333
72.865         1532110515.0    哈士奇哈哈哈哈哈哈哈哈
73.071         1532153324.0    这还新颖？
74.207         1532099567.0    男主发型好像一个老番《沉默的未知》里的主角
74.862         1532169236.0    暖男大哥一般要扑街
74.947         1532002851.0    这句话疯狂循环!
75.299         1532112398.0    还有个金毛😂😂😂
75.467         1532006492.0    这句话疯狂循环+1
75.488         1532111844.0    啊啊啊啊，不要在黑国家队了啦
75.718         1531996769.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈
76.054         1532096784.0    有趣
76.979         1532097385.0    队伍配置我怎么忽然想到了赤瞳啊哈哈哈哈哈
77.369         1532003185.0    有毒啊2233333
77.44          1532152885.0    hhhh
