排名：15
网址：https://www.bilibili.com/video/av27227128
更新时间：07-20
弹幕总量：1482
preciseTime    ofTime          comment
0.083          1532058693.0    。。
0.22           1532045127.0    前
0.985          1532067859.0    可耻的播放量
3.008          1532060009.0    好前
3.318          1532027756.0    真的风怒啦！
4.201          1532057458.0    来就来了
4.204          1532045755.0    1683个小伙伴们，你们好
4.3            1532078120.0    妙啊
4.36           1532058077.0    2333
5.598          1532018801.0    失踪人口回归
5.699          1532021344.0    失踪人口回归
6.106          1532061639.0    2333
6.161          1532050640.0    居然更新了(●—●)
6.566          1532043513.0    泛♂式妙妙屋
6.759          1532050313.0    26.6万
6.913          1532020400.0    纯情
7.337          1532024121.0    啊啊啊啊啊
7.338          1532054366.0    高产似那啥
8.106          1532043686.0    坐等女装
8.612          1532069793.0    见封滚
8.95           1532066875.0    失踪人口回归
9.671          1532062925.0    233333333
9.841          1532050181.0    我来了
10.462         1532056253.0    妙啊
10.615         1532044111.0    13小时前
10.71          1532055921.0    lalalal
11.171         1532019116.0    疯狂更新啊
11.178         1532021312.0    碧蓝之海牛壁
11.946         1532060322.0    来了
12.065         1532026037.0    好的，那么为什么没有杀戮天使和工作细胞呢？
13.026         1532022682.0    尿尿屋来了！
13.251         1532065658.0    233333
13.492         1532043863.0    新人你好
13.568         1532044994.0    为什么没有工作细胞和杀戮天使
14.159         1532078516.0    额么么
15.028         1531996613.0    所以到底为什么没有工作细胞为什么没有杀戮天使？
15.48          1532063978.0    天哪
15.807         1532044272.0    泛泛子
16.323         1532057218.0    不是已经放图了吗
16.93          1531997746.0    为什么没有工作细胞，为什么没有杀戮天使？
17.692         1532053907.0    看封以为涩泽龙彦！！！
18.521         1532044566.0    为什么没有工作细胞？
18.913         1532044574.0    为什么没有杀戮天使？
18.967         1532066177.0    人比弹幕多系列
19.139         1532070401.0    为什么没有，，没有，没，怎么办忘了！嘤嘤嘤
19.315         1532063513.0    为什么没有工作细胞，为什么没有杀戮天使（滑）
19.456         1532061963.0    天狼！！！
19.643         1532055559.0    为什么没有轻羽飞扬
20.179         1532023105.0    为什么没有血小板
21.035         1532042158.0    为什么没有血小板
21.378         1532056673.0    为什么没有巨噬细胞！
21.499         1532076217.0    天狼真的很好看！！建议去看看！
21.8           1532047420.0    天狼！超好看
22.132         1532049023.0    为什么没有杀戮细胞（滑稽）
22.278         1532068268.0    狼，哦！！！！！！！
22.444         1532028531.0    华纳？！
23.699         1532067434.0    红警把我炸出来了
23.893         1532050642.0    吹爆
24.005         1532074639.0    为什么没有工作细胞，为什么没有杀戮天使
24.107         1532044602.0    警告:心灵控制器上线
24.219         1532023002.0    尤里复仇
24.421         1532043898.0    政委:？？？
24.8           1532018858.0    男主长的帅，就是配色有点哈士奇
25.303         1531998300.0    你有本事把天狼后面那串英文念出来呀
25.494         1532045953.0    为什么没有杀戮天使
25.559         1531996287.0    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
26.795         1532069573.0    为什么没有
26.799         1531996576.0    尤里的复仇海星
26.92          1532052531.0    哈呀爹似李？？？
29.099         1532077006.0    哈哈哈
29.641         1531996779.0    神™尤里的复仇
29.82          1531997839.0    广姥爷的复仇
30.26          1532018727.0    尤里的复仇！
30.604         1532065453.0    就我一个人听成了吸血鬼恋人吗？
31.374         1532066935.0    打斗太帅了
32.511         1532020441.0    第二集的光脚踢刀片更是帅到爆炸！！吹爆！！
34.022         1532061792.0    心灵控制器
34.645         1532055332.0    红警+1
36.479         1532076271.0    这个真的好看，但是原创没什么知名度，希望大家去看看
37.48          1532068261.0    谁让我是一条猫猫虫
37.964         1532052978.0    遊戲三人娘 強推
40.234         1532061798.0    红警
40.745         1531998003.0    红。。。红色警戒？
40.9           1532059496.0    华纳出资你说没钱
42.126         1532070444.0    人比弹幕多
42.434         1532034802.0    @126.com
42.701         1532050247.0    核弹还有10几分钟后发射
44.099         1532062201.0    为什么没有蛭子？
44.542         1532049806.0    大河内的笑死我
44.598         1532043628.0    你是魔鬼吗↑
45.227         1532031072.0    大河内最近一年的prpr（别说最后两集把他换了，系列构成了解一下）和恶魔人都大受好评，还抓着黑可太傻了
47.316         1532019975.0    叙事太散乱了，扣分
48.419         1532028356.0    看了第二集吹爆
49.961         1532046807.0    你也是刺客？
50.147         1532059444.0    猎魔人，希灵使徒报道
51.176         1532070005.0    恶魔人是改编又不是原作用恶魔人给大河内贴金的是不是sa
53.521         1532074316.0    对的~两集播放量还没到100万~吹爆
54.657         1532037030.0    但两个都扑街了
54.867         1532067107.0    这个第一集真的有这两个的既视感 虽然我也不知道哪里像
55.299         1532059482.0    我也觉得是这样
55.595         1532078826.0    我大大大大大大大河内的第一话有人打得过？
57.16          1532073697.0    蛤?
57.42          1532001289.0    的第一话233333
57.542         1532071074.0    确实，我都是看了第一集就知道后面肯定是高开低走
57.71          1532051631.0    大河内还是大河内
57.936         1532043967.0    一集超人真的笑了。
58.023         1532021491.0    网管也就第一话了
58.709         1532005636.0    一集超人
58.89          1532054101.0    海灵顿早苗！
59.094         1532002143.0    一集超人哈哈哈哈
59.24          1532013998.0    一集超人可还行
