排名：21
网址：https://www.bilibili.com/video/av27233529
更新时间：07-21
弹幕总量：1486
preciseTime    ofTime          comment
0.0            1532075006.0    真皮网咖
0.392          1532168151.0    支咐宝首頁捜索“86OO14”这么给力吗
1.398          1532144158.0    4am牛逼，德国中国队omg  4am加油！！！！
1.739          1532080892.0    这期节目爆炸
2.641          1532059721.0    前前前
2.692          1532161948.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
3.059          1532128978.0    66.6w
3.157          1532109097.0    行
3.518          1532079657.0    见封进
3.779          1532090333.0    五十九万了朋友们
4.01           1532061438.0    我就是特级厨师刘昂星
4.6            1532060598.0    有生之年系列
4.64           1532086216.0    耶斯！
4.74           1532063476.0    爷来啦
4.779          1532092451.0    短小无力
4.96           1532061482.0    2333
5.035          1532105967.0    主播真会玩不考虑毒奶粉板块整一个？
5.577          1532092480.0    网鱼就是坨屎，还死贵
5.634          1532161688.0    1
5.761          1532168156.0    支咐宝首頁捜索“86OO14”这么优秀吗
5.902          1532080081.0    6666666666666666
6.273          1532097228.0    嘤嘤嘤
6.326          1532069138.0    存存
6.889          1532097744.0    嘤嘤嘤
6.98           1532112206.0    六千之前，舒服
7.142          1532067714.0    52.7w
7.194          1532134614.0    爷来辣
7.359          1532141368.0    我这边网鱼都倒了，好吗
7.453          1532160091.0    欧巴韦神。嘤嘤嘤
7.683          1532087248.0    哇，回来了？
7.733          1532060471.0    嘤嘤嘤
7.848          1532062283.0    就是就是就是睡觉觉
7.94           1532136883.0    68完……
8.469          1532117298.0    关上32万的大门
8.499          1532138221.0    爷来辣
8.54           1532137297.0    68w..
8.544          1532155649.0    泡面十块算啥，冰红茶15
8.579          1532061279.0    一拳打死嘤嘤怪
9.049          1532160363.0    6
9.12           1532137054.0    68w
9.267          1532159252.0    网鱼真的是又贵配置又差
9.7            1532081779.0    嘤嘤嘤
9.779          1532066097.0    52.1w 播放量都是爱你的形状
9.962          1532064975.0    网鱼原来是连锁的啊
10.022         1532084392.0    网鱼是我见过最贵的要死的网咖
10.247         1532096825.0    嘤嘤嘤
11.459         1532104962.0    嘤嘤嘤
11.69          1532102746.0    我来证明你开了弹幕
12.158         1532060816.0    哎吆，有赞助了？
13.9           1532065115.0    还以为就大连有一家网鱼
14.5           1532141534.0    我们小城市没网鱼
14.664         1532061582.0    失踪人口回归
15.107         1532163062.0    74.2w
15.116         1532099546.0    你优秀
15.3           1532164234.0    春运战场了解一下
15.544         1532143357.0    网鱼太贵了
15.974         1532115864.0    来了
15.999         1532131864.0    第一次知道别的地方也有网鱼网咖我说的大学城客流量这么多吗？
16.5           1532159843.0    爷来辣
16.6           1532099424.0    真皮网咖
17.682         1532093288.0    长鸽  青铜鸽多久了?
19.402         1532068029.0    💃💃
19.86          1532168170.0    支咐宝首頁捜索“86OO14”真的别谢我
21.684         1532150914.0    这个2333
21.696         1532100722.0    你把阿辉给我，，，走错地了
22.595         1532087783.0    网鱼一小时12元 贵死了
23.619         1532061750.0    厕所+1
23.637         1532069382.0    口怕
23.699         1532102815.0    上周怎么没更啊
23.9           1532101844.0    ⊙∀⊙！
24.763         1532167280.0    。。
25.076         1532079898.0    56.4w以后
25.153         1532073272.0    我们这的网鱼办垮了
25.856         1532066176.0    加入瘦大腿
26.121         1532083467.0    咳咳咳
26.321         1532164563.0    网鱼是啥
27.816         1532144997.0    欢乐园了解一下
28.387         1532086558.0    你把我老婆给交了
28.408         1532077326.0    我干的↑
28.501         1532085778.0    B站被点名批评，担心！
28.739         1532088682.0    hello 
30.856         1532165765.0    真皮网咖了解一下
30.909         1532059940.0    新版客户端？
31.129         1532146862.0    bilibili看欧派~
33.339         1532132687.0    pilipili🍻
33.995         1532086213.0    你把我老婆交出来
35.286         1532086126.0    还我老婆
36.081         1532085857.0    把长歌交出来
36.71          1532060831.0    这比谁啊，gay里gay气的……
37.041         1532108589.0    还我媳妇
37.345         1532102070.0    长歌呢
38.141         1532111186.0    上次在广州网鱼包夜都30
38.613         1532086101.0    无长歌不投币
39.325         1532086139.0    我老婆呢
39.644         1532164478.0    日长歌
39.779         1532067181.0    狗栀榆
40.128         1532117346.0    你把长歌给我交了
40.162         1532073211.0    我要长歌
40.657         1532065222.0    声音差评
40.839         1532065614.0    长歌，长歌，长歌
41.032         1532061978.0    无长歌不投币
41.9           1532087393.0    长歌叫出来啊啊啊
41.923         1532094670.0    长歌给我
42.226         1532160473.0    1600人再看，1500弹幕
42.48          1532147338.0    错过精彩怎么破，我来帮你放长歌
42.714         1532065601.0    每周四悄悄更新
42.902         1532061440.0    抖音上有长歌各位想看的去看看吧
43.029         1532065565.0    每周四悄悄更新
43.209         1532073706.0    滚啊，我要长歌
43.219         1532068930.0    别找长歌了，再我家休产假呢
43.35          1532068136.0    哔哩哔哩
43.466         1532064189.0    长歌呢？
43.719         1532079367.0    这个声音让人难受
43.979         1532068048.0    长歌在家放产假，别问我为什么知道Ծ ̮ Ծ
44.099         1532071837.0    我的长歌在哪里？！！！
45.227         1532079595.0    我要听长歌的
45.36          1532097622.0    这个点名批评真的是有毒
45.421         1532098855.0    长歌呢？？？？？
45.543         1532077573.0    21H55.7w
45.586         1532065371.0    前方高能预警
45.88          1532065627.0    这声音好像基佬
46.301         1532132187.0    还我老婆
46.398         1532079641.0    我的长歌，mmp
46.763         1532086124.0    你把长交给我歌了
47.403         1532067772.0    直播鬼才痘印b
48.101         1532090596.0    无长歌不投币
48.784         1532066618.0    耳朵怀孕系列
48.811         1532061699.0    我要长歌 你走啊
50.579         1532081690.0    我要长歌
51.71          1532074677.0    别说了，我干的
52.86          1532123182.0    在现场！啊哈哈
52.947         1532087989.0    下方瞩目
53.174         1532063251.0    把送飞机的给我封了
53.205         1532064461.0    没人吗？
53.354         1532154021.0    是你 小花生！
54.091         1532078290.0    请土豪理性消费
54.324         1532106704.0    头发乱了翻唱好吗？原唱jyp的honey
54.54          1532062733.0    在现场.
54.848         1532162543.0    我是jyp饭我报警了
54.856         1532110183.0    。
54.897         1532095453.0    上香
55.173         1532136624.0    ？？？
55.329         1532096730.0    老婆不在了吗
55.749         1532083249.0    网鱼真不咋样
55.843         1532067818.0    【芜湖大司马】送出了一架飞机
56.078         1532151381.0    求长歌抖音号
56.324         1532061182.0    ...
57.665         1532067752.0    直播鬼才逗比
57.923         1532098930.0    在现场
58.003         1532166902.0    都硬币!
58.368         1532134749.0    来个人把逗比直播间送飞机给我禁了2333
58.419         1532060327.0    在现场
58.475         1532076807.0    可惜
58.486         1532059640.0    ？？？？？？？？？？？
58.594         1532105122.0    蹦迪中单金选手
58.78          1532063607.0    4765人你们好
58.878         1532097225.0    在现场。。
59.157         1532102452.0    这是谁啊 doinb?
59.265         1532124324.0    💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃💃
59.37          1532064089.0    gdx你来了
59.625         1532069056.0    弟弟
60.441         1532162999.0    长歌...还给我.
61.219         1532126909.0    一个飞机一次别问了老贼就是这样自闭的
62.267         1532060422.0    打字比我快 我可能是假的
62.467         1532140769.0    在现场
64.196         1532069046.0    GDX
64.59          1532139533.0    gtx
64.831         1532071447.0    💃💃💃💃💃💃💃💃💃
65.219         1532064004.0    卧槽豆瓣酱
65.961         1532102303.0    可惜
66.494         1532148680.0    doinb？？？
66.917         1532066637.0    doinb这个是真的骚
67.108         1532132665.0    Md这个韩国人打字比我都快
67.473         1532147613.0    可惜
67.626         1532077235.0    还蛮押韵的
68.241         1532131228.0    这是个韩国人
68.283         1532084526.0    。。。这个韩国人为啥打字这么快
68.352         1532066938.0    在现场
68.6           1532146370.0    这打字。。。中国人吧。。。
68.66          1532059417.0    在现场
68.744         1532163178.0    可惜可惜
69.29          1532059687.0    这不是新疆人嘛
69.879         1532146948.0    这个速度我玩了8年没练出来
70.058         1532061139.0    打字比我还快？？
70.56          1532101525.0    猴子
70.568         1532141012.0    韩国翻译集体失业
71.188         1532168061.0    这人打字说普通话比我还6
71.401         1532061662.0    这特么是韩国人？？？
71.684         1532131843.0    💃💃💃💃💃💃💃💃💃💃💃💃
72.132         1532075275.0    可惜
72.197         1532107190.0    这是谁啊
72.443         1532107525.0    这是哪国人？
72.659         1532152319.0    在现场
72.825         1532059728.0    他在哪里直播
72.991         1532131304.0    赶快下架兄妹恋漫，好像b站指那个活着一样
73.464         1532158174.0    毒硬币？
74.019         1532164610.0    doinb？
74.051         1532100009.0    我怎么听不出口音。。。。
74.851         1532100903.0    队友也是人啊╭(╯ε╰)╮
75.136         1532074555.0    可惜可惜，在现场
75.195         1532100877.0    蠢萌妹子辅助
75.409         1532098668.0    可惜
76.344         1532065943.0    假韩国人》？
76.859         1532081477.0    你们要不说我都忘了他是韩国人了
77.201         1532067426.0    在现场
77.312         1532102693.0    他打字比我还快
77.913         1532065104.0    输了这句，而且还是浪输的
78.169         1532072513.0    在现场哈哈哈哈哈哈哈
79.94          1532063949.0    漏车了
80.618         1532087330.0    队友也是人
80.681         1532101967.0    你么，中文这么溜
80.739         1532059728.0    ？？？？？？？？？？？？？？？？？？？
80.781         1532087830.0    看到你也R吗
81.266         1532112127.0    一套操作行云流水
81.267         1532096762.0    龟龟，这个普通话真的真实
81.42          1532093774.0    现场
81.619         1532063949.0    这么现实的吗
81.731         1532129383.0    这货是韩国人？？
82.101         1532139126.0    我真的一开始以为doinb是中国人
82.793         1532167712.0    666666
83.856         1532065232.0    来了中国后都这么真实么
83.911         1532063963.0    本人
84.003         1532081285.0    这是韩国人？
84.441         1532062093.0    真实
84.501         1532080041.0    中文这么好学的吗
84.65          1532104388.0    可惜
86.037         1532168521.0    可惜
86.041         1532069739.0    可惜＝菜逼
86.412         1532134747.0    可惜了
86.499         1532139033.0    s
86.505         1532159623.0    这打字速度
86.566         1532059281.0    可惜了。
86.939         1532064083.0    太真实了这个比每次打完举报队友还有写一篇小作文
87.067         1532142664.0    新疆人
87.074         1532063800.0    ？？？？？
87.339         1532059934.0    真实
87.87          1532137417.0    可以的，这个新疆人，我粉了
87.878         1532160315.0    可惜＝举报
88.297         1532145310.0    可惜
88.34          1532151722.0    可惜
88.965         1532097286.0    可惜 = 孤儿
88.997         1532140802.0    可惜可惜
89.129         1532159193.0    韩国人？
89.447         1532067155.0    真实
90.016         1532099993.0    打完举报你就行
90.026         1532133705.0    可惜=不要在意流言蜚语
90.101         1532166947.0    可惜
90.365         1532158553.0    霞的反应真的快
90.515         1532105678.0    我的中文不如他（惭愧脸）
91.725         1532071738.0    前方真香警告！
92.255         1532147749.0    可惜了
92.436         1532094801.0    中文这么好的吗！我看了半天才晓得他是韩国人！
93.033         1532084654.0    可惜
93.685         1532115194.0    这是韩国人？
94.776         1532107705.0    可惜
95.119         1532139912.0    真实
95.44          1532130443.0    可惜可惜
98.485         1532071747.0    真香！
99.36          1532059212.0    gdx是狗东西。。。
99.413         1532061394.0    哈哈哈哈哈哈哈哈
101.469        1532069918.0    可惜＝nmsl
102.124        1532142455.0    终极变脸卧槽
102.356        1532076444.0    你不要忘了这是什么节目
102.452        1532136281.0    可惜=nmsl
103.027        1532065537.0    打字比我都快
103.493        1532164643.0    这人Doinb?
104.419        1532160614.0    分奴
104.952        1532106474.0    在现场
105.11         1532069956.0    完美开团＝玩的什么jb东西
105.449        1532067574.0    别忘了这是什么节目
106.001        1532096387.0    翻译失业系列
107.72         1532145380.0    wot!
108.298        1532160526.0    握草(*｀へ´*)wot
108.739        1532100734.0    草原骑兵都来了我的天
110.25         1532148013.0    蹲坑诺夫卡
110.874        1532087400.0    打团还能一边打字
112.182        1532145499.0    佐伊ID好像是一个主播的吧
114.147        1532110170.0    这是韩国人？？？？？？？？这么标准的普通话阿
114.219        1532141567.0    弹幕呢？
115.029        1532060816.0    霸哥是你吗
115.139        1532068505.0    WOT马利诺夫卡加载音乐
115.264        1532097459.0    山口丁？
115.811        1532103914.0    霸哥又是背景板
116.795        1532089331.0    gdx的维克托
116.866        1532142040.0    这是主播真会玩
119.819        1532147171.0    一个要去打职业，一个要去当解说，笑死我了
121.9          1532099949.0    WOT的加载音乐啊
123.213        1532077361.0    怪异君的哈哈哈哈哈哈
123.648        1532157378.0    哦豁😄
124.014        1532074237.0    娜美的id有点东西的
124.353        1532162868.0    可惜
124.899        1532062076.0    这个人的中文，真的恐怖
126.456        1532092599.0    哈哈哈哈我就是烟台人 芝罘区的
127.521        1532087654.0    打出乡音
127.876        1532064596.0    娜美id有丶东西
128.007        1532162824.0    打出口音
128.405        1532071514.0    💃💃💃💃💃💃💃💃💃
128.638        1532079626.0    烟台口音哈哈哈哈哈哈
128.707        1532068071.0    会说汉语就算，打字还这么快
128.838        1532136379.0    这id脑补了一个小故事
128.87         1532062286.0    dazzle：头晕，目眩
129.3          1532105725.0    口音哈哈哈
130.551        1532060741.0    气出口音
130.816        1532104441.0    可惜
131.171        1532083564.0    兄弟，你从哪来？
131.368        1532160380.0    诶诶诶，兄弟，你从哪来
133.079        1532095324.0    没弹幕？
133.206        1532105737.0    这打字速度也太恐怖了吧
133.42         1532078696.0    逗比很强的，可以边单杀边打字嘲讽
133.568        1532073942.0    23333
133.777        1532070105.0    气出口音
134.523        1532075338.0    可惜啊
134.689        1532073967.0    韩国人居然会我国国骂
134.931        1532145689.0    韩省口音
134.984        1532161831.0    兄弟你打字速度也太JB恐怖了吧
135.083        1532067937.0    你吗b老子在中国活了20多年，这个人打字为什么比我还快？
135.48         1532105065.0    说口音的，不知道他是韩国人？
135.605        1532072155.0    假韩国人
135.71         1532097726.0    你这个dázao
135.744        1532163256.0    💃🏻
135.759        1532095334.0    你这个大枣
135.857        1532074465.0    这个真是韩国人？
135.859        1532064144.0    精通各种国骂
135.895        1532061502.0    新疆的好吧
136.139        1532072801.0    可惜
136.429        1532098764.0    你这个大招真的是
136.938        1532103054.0    在哪直播
137.26         1532072809.0    可惜
137.284        1532164677.0    你这个打杂
138.211        1532084119.0    欲言又止hhhhhhhhhhhhhhh
138.62         1532072815.0    可惜
138.637        1532101880.0    打字比我还准确还快
138.667        1532163650.0    你这个大枣
138.776        1532065580.0    这是韩国人？
138.993        1532148301.0    家乡话都气出来了
139.072        1532073887.0    韩国人
139.513        1532076067.0    吉林人不认
139.904        1532076518.0    他打字比我我都打得快……
140.117        1532133760.0    可惜了
140.309        1532098778.0    你这石头人玩得很好
140.864        1532070778.0    这么真实的吗？
140.908        1532138212.0    阿西吧
141.227        1532085377.0    东北还是山东口音？
141.588        1532061989.0    拼音学的很扎实w
141.779        1532142385.0    这个小黄毛老是装韩国人23333
142.43         1532089143.0    这个真的是韩国人？？？？
142.527        1532141682.0    这个真的韩国人？
142.662        1532149287.0    我打字都没他快
143.033        1532066718.0    23333333333333333
143.444        1532059903.0    6666
144.057        1532092617.0    我就是烟台的哈哈哈哈芝罘区
144.488        1532143523.0    莫莫？？？那么一定有我the ba
144.834        1532129276.0    这TM是韩国人？？？！！！
145.013        1532094356.0    233333333333333
145.813        1532076607.0    可惜可惜
147.459        1532060004.0    老实头人
147.467        1532141488.0    这个b有点东西
147.52         1532143610.0    一个韩国人打中文比我打的快
147.625        1532097326.0    分奴的嘴脸(>_<)
147.9          1532100143.0    分奴？
147.946        1532064920.0    分奴
148.056        1532107564.0    这特么是韩国人？？？
148.918        1532084710.0    可惜、
149.397        1532150714.0    你能相信他是韩国人？
149.482        1532065585.0    混就完事了
149.519        1532164689.0    韩国人
150.168        1532105059.0    23333333333333333333333
150.291        1532069303.0    打字比我还快？？？？
151.003        1532060390.0    这个假韩国人
151.055        1532158257.0    老式头人哈哈哈
