排名：11
网址：https://www.bilibili.com/video/av27240874
更新时间：07-21
弹幕总量：2658
preciseTime    ofTime          comment
0.0            1532062480.0    16小时前~-心舞
0.318          1532057312.0    空头坐标10:04
0.512          1532131815.0    激活，晕针
0.541          1532055878.0    计划
1.042          1532109603.0    迟到了迟到了，b站房价了解一下
1.448          1532167570.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
1.87           1532138075.0    再来一遍
1.877          1532066630.0    哩哩啦啦
2.133          1532110257.0    你们上一次撸炮是什么时候
2.238          1532054822.0    66.6w
2.481          1532109005.0    看我刷到了什么
2.559          1532057290.0    激活晕针！
2.739          1532078154.0    不说了，提前晕针。
2.816          1532066248.0    针短
3.061          1532054315.0    重新定义星期五
3.08           1532050311.0    12笑死
3.2            1532047177.0    我针快
3.313          1532144591.0    看到我你已经一百万后了
3.319          1532091189.0    前排提示：ZLBZ
3.579          1532058301.0    变长了
3.639          1532142085.0    1.3万
3.657          1532109770.0    第，第几？
3.779          1532066888.0    16小时80万你们是怪物吗？
3.884          1532140328.0    周指活
3.95           1532074657.0    233
3.999          1532045804.0    222222
4.02           1532046078.0    57.9万!
4.116          1532058332.0    短
4.133          1532097056.0    23333
4.14           1532143525.0    百万房价，了解一下
4.312          1532056972.0    激活
4.608          1532109186.0    激活晕针
4.642          1532135170.0    1
4.799          1532081634.0    一个月前
4.86           1532107848.0    leileleile
4.878          1532140948.0    星期六
4.898          1532095129.0    伺机待发晕针
4.98           1532084396.0    81.6w!!!
4.982          1532049108.0    1111
4.989          1532050677.0    前排！前排！
5.041          1532054162.0    看到我你就是1.1万以后了
5.056          1532060921.0    短
5.1            1532057043.0    液
5.299          1532109157.0    1.2万
5.34           1532109264.0    激活晕针
5.376          1532119819.0    质量爆炸
5.46           1532157199.0    新版本晕针!
5.462          1532093212.0    山上的朋友你们好么
5.477          1532135562.0    66666
5.482          1532103175.0    嘻嘻
5.486          1532109376.0    这可是条大鱼
5.525          1532050871.0    提前预警，质量爆炸
5.699          1532048708.0    yunzhen
5.761          1532051512.0    优秀
5.764          1532088555.0    提前晕针
5.94           1532052872.0    前
6.028          1532163183.0    为了这一刻
6.06           1532045212.0    封面真帅
6.107          1532047681.0    封面是不是用过了
6.181          1532092895.0    封面晕针
6.239          1532053808.0    重新定义周五
6.347          1532060855.0    1.1w
6.358          1532137374.0    跳费晕针！
6.399          1532091114.0    晕针
6.419          1532051240.0    高产似那啥
6.485          1532124208.0    过载晕针
6.497          1532050831.0    跳币晕针
6.539          1532045803.0    短
6.641          1532064926.0    粗
6.656          1532124257.0    战吼晕针
6.727          1532129988.0    提前约针
6.822          1532139596.0    我伺机待发晕针！
6.9            1532143543.0    百万房价，了解一下
6.901          1532112596.0    定海神针
6.912          1532051148.0    啦啦啦
6.921          1532063442.0    下个版本就要有18套全金卡组了
6.939          1532142578.0    100万
6.997          1532148058.0    炉石传说真尼玛好玩
7.001          1532141561.0    提前晕针
7.02           1532050883.0    火前留名。
7.021          1532150042.0    液!
7.08           1532054325.0    奥秘晕针
7.112          1532047125.0    11小时前
7.168          1532154175.0    欧米茄晕针
7.24           1532085099.0    提前晕针
7.253          1532047762.0    看我发现了什么
7.316          1532137062.0    提前晕针
7.398          1532137179.0    开车了
7.4            1532118618.0    看完睡觉
7.401          1532049675.0    我发现了什么！
7.54           1532047204.0    我发现宝贝了！
7.549          1532142226.0    星界沟通晕针
7.679          1532140600.0    磁力晕针
7.846          1532050798.0    真短
7.859          1532050014.0    超前
7.861          1532072885.0    欧米茄晕针
7.944          1532128339.0    看到我就是94w了
8.099          1532099791.0    深夜福利
8.115          1532061444.0    周指活系列
8.121          1532051789.0    一万
8.199          1532110224.0    看我刷到了什么
8.28           1532139633.0    终于等到你
8.339          1532049389.0    提前晕针
8.401          1532143539.0    晕针计划
8.459          1532048562.0    重新定义星期五
8.533          1532058841.0    无无素材库
8.56           1532045849.0    颅脑玩
8.722          1532060668.0    针短
8.86           1532080189.0    越来越短
9.0            1532061510.0    劳资玩
9.045          1532078013.0    70万了
9.13           1532137874.0    磁力晕针
9.16           1532046798.0    五十七万以后
9.198          1532140377.0    提前晕针
9.201          1532136500.0    哈哈哈哈哈
9.46           1532050690.0    激活，晕针
9.647          1532051816.0    感觉这期质量爆炸啊
9.659          1532067906.0    过载晕针
9.726          1532053681.0    夢遊暈針
9.804          1532081364.0    磁力晕针
9.859          1532085661.0    666
10.068         1532098618.0    看完发现了什么
10.141         1532060014.0    70.3W
10.154         1532057863.0    68w后
10.24          1532143331.0    硬币 激活 伺机待发 晕针
10.259         1532136714.0    不能
10.301         1532054848.0    提前晕针
10.401         1532057460.0    看到我已经是六十八万以后了
10.499         1532054096.0    铁幕晕针
10.523         1532052960.0    提前运作
10.599         1532075561.0    针短
10.667         1532083820.0    提前晕针
