排名：90
网址：https://www.bilibili.com/video/av27245209
更新时间：07-21
弹幕总量：481
preciseTime    ofTime          comment
0.201          1532135780.0    太轻了，我家都是拿铁的实心晾衣杆打的
0.761          1532161437.0    啊♂夜色
0.764          1532110763.0    7000块钱很多吗……
1.24           1532115507.0    目测孩子应该也有15岁了，没有管教好才会偷这么多钱，叛逆的时候打孩子真的不好，并且还发到朋友圈上，泯灭孩子自尊，是父母教育失败
1.401          1532113257.0    以前是拿皮条～铁的衣架～了解下?老师都用钢尺打手心～这个痒痒挠算球啊
1.639          1532132155.0    难道不应该打？孩子本来就应该用体罚教育
1.745          1532165730.0    听这声音，还有痒痒耙来看，结合这位家长用力角度，最多身上青一点，紫都不会
2.032          1532139469.0    莫名节奏感。。
2.511          1532111266.0    有些孩子没受到这种教育，于是长大了一点点就去祸害社会。
2.721          1532156096.0    鬼畜素材
3.018          1532111608.0    这在按摩？？？
3.747          1532113572.0    说不重的自己试试打两下
4.44           1532153152.0    小时候被我爸也这么打过。
4.617          1532167048.0    红字说没有管教好孩子的，现在不就是管教吗?说什么比打一顿更长记性？
4.762          1532152090.0    你和我说这么大个是熊孩子 “孩子”？
5.105          1532116658.0    7000啊怎么这么轻，我小学时身上经常红斑马
5.186          1532117576.0    我怎么听到狗在喊打的好，我是不是没睡醒。
5.523          1532115852.0    所有孩子都该打是对的，孩子才会坚强
7.083          1532153337.0    请问把视频穿上网的那位母亲，以后想让您儿子如何自处？
7.215          1532110913.0    就这么轻?
7.417          1532168292.0    支咐宝首頁捜索“86OO14”老铁没毛病
7.918          1532158561.0    还好我只偷硬币
9.218          1532115199.0    拿痒痒挠打的吧
9.24           1532113643.0    太轻了
9.324          1532110965.0    太轻了吧
9.404          1532118316.0    那些说这是教育的，你活在封建设会？
9.66           1532111479.0    拒绝家庭暴力
10.145         1532110682.0    清脆好听
10.285         1532169822.0    打的还少
10.335         1532113821.0    握草这也叫打呵呵
10.418         1532164128.0    打的好轻啊。。。
11.418         1532167861.0    发1818呀
11.441         1532113725.0    打的轻
11.468         1532145769.0    应该用藤条
11.779         1532115684.0    啪啪啪啪啪啪
11.914         1532167320.0    。。。。
12.303         1532110729.0    那么轻吗，我感觉我的童年好阴暗
13.23          1532110562.0    使劲
13.265         1532147613.0    干得漂亮
13.51          1532137159.0    真的太轻了。。。
14.036         1532118361.0    这叫打？我小时候偷偷去网吧被我爸抓回来都是按在地上用脚踹！
14.161         1532134077.0    也没使劲打啊
14.364         1532113363.0    真轻。。当年我犯事我爸鸡毛掸子都打断一根
14.794         1532112316.0    打归打，家长下手要有轻重，但是没必要录视频发网上
14.836         1532111805.0    反手就是一巴掌过去
14.997         1532112685.0    持械伤人 证据确凿 施暴对象还是未成年人 这个麻烦了
15.243         1532165940.0    打的算轻的了
15.266         1532127118.0    在现场
15.363         1532112510.0    打孩子无能？偷7000块都不打，等到偷进监狱再打？
15.647         1532158262.0    没吃饭吗？ 挠痒痒吗？ 皮带抡啊，这样才长记性
15.926         1532112220.0    一下70，真的如果有老板这么发工资，我一天能赚十几万
16.243         1532113308.0    以前老爸老妈动手打的手速快到我反应不过来，那是真的疼。
16.523         1532169946.0    还好啦
16.924         1532113863.0    那种细细的竹条了解一下
16.961         1532143586.0    怕是没试过铁棒打哦，现在想想都可怕
17.058         1532111055.0    这叫打？？？
17.14          1532144093.0    70 70
17.196         1532112629.0    想当给老爸打都是往死里抽的，这就算是小意思了，
17.216         1532113968.0    活该啊
17.26          1532112713.0    没用力
18.285         1532111420.0    不是很用力
18.597         1532149854.0    感觉这个下手不算重
18.795         1532164198.0    不打怕一次 无限偷
19.14          1532111772.0    用力啊
19.996         1532114635.0    00后就都是这样？靠自觉，别瞧不起
20.064         1532112035.0    继续打
20.068         1532163715.0    挨打要立正
20.109         1532165483.0    干得漂亮
20.154         1532150621.0    太轻了
20.305         1532114349.0    干得好
