排名：43
网址：https://www.bilibili.com/video/av27249338
更新时间：07-21
弹幕总量：2181
preciseTime    ofTime          comment
0.0            1532154005.0    你们要的av27196498
0.042          1532012029.0    终于等到你
0.083          1532010675.0    第一次前排~
0.1            1532012762.0    四万前
0.423          1532010949.0    11分钟前
0.589          1532076925.0    偷偷抱走莱托少爷
0.649          1532017850.0    终于等到这部啦，开心！！
0.652          1532026820.0    前排提示建议屏蔽关键字“药神”
0.703          1532026880.0    建议屏蔽关键字“药神”
0.718          1532073207.0    建议屏蔽关键词+‘药神’
0.837          1532094649.0    高产  高产
0.948          1532011459.0    我不是药神
0.959          1532014552.0    1小时前
1.183          1532039447.0    很早以前看过但忘了什么名字
1.238          1532043451.0    为啥要屏蔽？
1.42           1532044407.0    谢谢大家提示，我准备直接关弹幕了
1.95           1532070517.0    马修男神啊啊啊啊啊啊啊
1.976          1532013128.0    高产似那啥
2.195          1532142852.0    3
2.295          1532011354.0    18分钟前
2.318          1532073472.0    达拉斯。。。。最近看的小说叫特拉斯买家俱乐部
2.345          1532076243.0    建议屏蔽药神！
2.414          1532010278.0    第一！！截图为证
2.428          1532010282.0    啊啊啊!
2.747          1532015654.0    建议屏蔽  药神
2.763          1532010552.0    嘿嘿
2.786          1532081210.0    刚看完这部电影 就有影评了
2.855          1532010436.0    wA
2.965          1532010316.0    5
3.343          1532017787.0    最早的一次
3.559          1532057606.0    w
3.716          1532010614.0    星际穿越男主
3.783          1532010314.0    1111
3.8            1532012016.0    哈哈
3.993          1532076396.0    最爱的
4.011          1532012188.0    高产！
4.014          1532014627.0    啊啊啊bw见啊木鱼
4.117          1532150382.0    我还以为我掉发了
4.118          1532010306.0    第一，毋庸置疑
4.179          1532057357.0    有了
4.296          1532012017.0    先投币
4.369          1532010309.0    前十前十前十！！！！！！！！！！！
4.829          1532011357.0    刚刚
4.896          1532011031.0    1111111111!!!
5.122          1532010281.0    第一条。
5.126          1532016615.0    该来的还是来了
5.147          1532071702.0    高产
5.181          1532010287.0    第一，不接受反驳
5.227          1532010596.0    5分钟前
5.249          1532023161.0    4687个小伙伴
5.268          1532012275.0    看完睡觉
5.294          1532082107.0    前天刚刚看完的
5.423          1532010295.0    hh
5.64           1532010833.0    111
5.704          1532088017.0    站被点名了
5.741          1532011860.0    最喜欢的电影
5.803          1532010983.0    安琪
5.82           1532010306.0    刚刚
5.948          1532010984.0    12分前
6.124          1532011464.0    AAA
6.2            1532107719.0    我以为头发掉手机上了
6.222          1532012146.0    给力
