排名：63
网址：https://www.bilibili.com/video/av27304620
更新时间：07-21
弹幕总量：2965
preciseTime    ofTime          comment
0.0            1532126196.0    大剑灵tm吹爆
0.033          1532098619.0    剑灵？？？？？
0.067          1532135022.0    见到标题就知道内容系列
0.266          1532144540.0    空降4:34
0.285          1532148033.0    我佛慈悲！！！
0.487          1532107519.0    艾玛这不是我大剑灵吗 唉终于还是逃不过蕾丝的手掌
0.518          1532094977.0    召唤天下第一！！！
0.718          1532102992.0    我想说，，我错了，，，我知道不应该推荐蕾丝剑灵捏脸的……
0.998          1532102688.0    终于看到蕾丝捏剑灵了，，，，感动
1.198          1532096283.0    游戏:《腿灵》〔手动滑稽〕
1.233          1532097631.0    捏。。。捏脸？开始恐惧
1.451          1532099421.0    看到封面我还以为是那位跳hop的呢……咳.....
1.453          1532095209.0    我已经没钱守护洪门了
1.478          1532098877.0    我是蕾丝，我来发电了
1.513          1532136162.0    我已经没钱振兴洪门了，师父对不起
1.519          1532094956.0    欢迎收看lex不务正业系列
1.536          1532100228.0    大声告诉我你们双商的和
1.557          1532146992.0    剑灵剑灵剑灵
1.718          1532097566.0    我玩过
1.828          1532163189.0    支付寳搜一下“ 95O6639”，你会回来感谢我的（滑稽）
2.08           1532094154.0    ´_>`为了你们自己好，三思而行啊
2.141          1532169347.0    洪门？剑灵吗！
2.155          1532098022.0    广告区up主
2.238          1532094990.0    召唤天下第一！！！
2.271          1532100599.0    哇我大剑灵
2.601          1532094726.0    竟然是剑灵
2.607          1532102854.0    ¿¿¿¿¿¿¿¿¿¿¿
2.718          1532097905.0    难道只有我把旁边的洪门密保看成澳门密保了吗
2.777          1532168167.0    ！
2.799          1532100588.0    三小时前
2.819          1532093654.0    看到我，你就是2000以后了。
2.922          1532136729.0    有生之年
3.002          1532096305.0    雷剑士天下第一
3.099          1532103169.0    居然给剑灵打广告了？
3.101          1532138197.0    剑灵。。。
3.158          1532094281.0    为了你们自己好，三思而行啊´_>`
3.378          1532142988.0    看标题，就知道在发电
3.395          1532095914.0    Lex又来捏脸啦！
3.41           1532096171.0    没去bw?
3.42           1532128935.0    哇
3.478          1532094997.0    召唤天下第一！！！
