排名：52
网址：https://www.bilibili.com/video/av27315158
更新时间：07-21
弹幕总量：992
preciseTime    ofTime          comment
0.073          1532096264.0    0001
0.203          1532117261.0    上古卷轴6
0.211          1532103606.0    天河二号无所畏惧
0.52           1532148876.0    封面是最终幻想15
0.661          1532104067.0    封面:最终幻想15
0.975          1532102849.0    封面是什么游戏
1.048          1532095588.0    两小时前
1.159          1532123632.0    爱死开头了！
1.283          1532100866.0    3小时前！
1.364          1532103391.0    可以别发底部弹幕吗，烦的一比
1.661          1532153465.0    妈耶，店长涨粉贼快
2.078          1532103424.0    最终幻想15吧
2.087          1532137685.0    ！！！！
2.294          1532111825.0    ff15封面
2.592          1532167707.0    支咐宝首頁捜索“86OO14”没时间解释了
2.661          1532104958.0    封面貌似是ff15
2.687          1532096370.0    来了!!
2.706          1532103747.0    封面有点像最终幻想15
3.018          1532104747.0    赶上了
3.459          1532129183.0    最终幻想15啊封面
3.504          1532094158.0    终于更新了
3.913          1532102936.0    来了
3.943          1532151590.0    国外游戏越做越真，国内游戏的鲲越来越能吞
4.521          1532094603.0    俩小时前
4.664          1532104854.0    绿洲
4.731          1532101381.0    你！莫非就是敖大哥的哥们！
4.745          1532099678.0    没错就长这样
4.844          1532103932.0    封面ff15
4.923          1532098733.0    老滚5 700多GB的MOD你知道吗。。。
4.982          1532100722.0    。。
5.186          1532113121.0    雅达利寻剑emmmm
5.434          1532106235.0    封面是最终幻想15
5.922          1532098813.0    封面最终幻想15
6.024          1532129562.0    封面最终幻想
6.054          1532104029.0    我的世界，告诉你可以瞬间报废你的顶配电脑
6.063          1532104020.0    后
6.102          1532129424.0    哈哈，傻傻期待gta6的出世，真的想玩
6.267          1532131990.0    封面最终幻想15
6.304          1532093240.0    你看到我已经是19000以后了
6.381          1532099612.0    三小时
6.391          1532107325.0    逆水寒了解一下
6.402          1532099489.0    。。。
6.545          1532109118.0    六小时18.4w╮(‵▽′)╭
6.551          1532106997.0    最终幻想15
7.262          1532095997.0    就等了
7.473          1532103519.0    emmm
8.034          1532092941.0    1
8.19           1532134010.0    模拟飞行ba
8.5            1532095980.0    声音好听
8.545          1532108198.0    跟封
8.681          1532098204.0    出了！！！激动
9.019          1532129904.0    惊艳
9.32           1532130280.0    因为当时超过64k的电脑就运行不了
9.355          1532096008.0    两小时钱
10.31          1532104639.0    稀饭
10.384         1532101183.0    新人主播，大家关注一波啦~虽然我也不相信他是新人
10.528         1532099547.0    BGM: close my eyes
11.472         1532167717.0    支咐宝首頁捜索“86OO14”说了别谢我
11.523         1532102958.0    n64还有塞尔达时之笛和假面，而且只有32m大小，zip压缩24m左右，手机模拟器可以在不解压情况下读取zip加载游戏
11.792         1532103062.0    封面FF14
11.805         1532094965.0    关上24000的大门
12.714         1532095017.0    2
12.933         1532162937.0    上古卷轴6
13.056         1532094630.0    222
14.225         1532103478.0    逆水寒了解一下
15.265         1532094398.0    真的是良心up！
15.462         1532107733.0    久等了
15.464         1532115300.0    神游马里奥！我童年
15.786         1532108652.0    封面是，最终幻想15
15.843         1532110343.0    999弹幕
16.095         1532157686.0    要是算上MOD，B社I社的游戏就上天了
16.305         1532099586.0    加油
17.61          1532099501.0    皮皮下载
17.77          1532167723.0    支咐宝首頁捜索“86OO14”深藏功与名
17.89          1532103483.0    声音好评！
