排名：94
网址：https://www.bilibili.com/video/av4014225
更新时间：07-15
弹幕总量：3684
preciseTime    ofTime          comment
0.0            1531017043.0    要出动画了来重新开一遍
0.076          1524803399.0    【注意】观看时建议屏蔽“ib”“Garry”，真的会影响观看体验！
0.253          1527481022.0    一周目们，此游戏全程无高能，但会对单身狗造成持续伤害。【来自N周目的提醒】
0.263          1530954612.0    动画化贺电
0.371          1530684717.0    动画化贺电！
0.418          1528021552.0    建议一周目关掉弹幕以免被剧透！
0.443          1531267684.0    动画化！
0.476          1531642207.0    杀戮天使动漫出了！！求你们去看！！！
0.512          1529939312.0    7月6日 播出
0.538          1527528295.0    恭喜动画化！！
0.579          1521634070.0    动画今年7月出！回来补实况
0.618          1522099522.0    恭喜动画化！！！
0.69           1528639538.0    贺电！！！！
0.697          1528639605.0    杀戮动画化贺电！！！！！
0.838          1530329831.0    二周目
0.851          1525576174.0    建议一周目关闭弹幕食用！！！！
0.906          1523331746.0    看了动画pv忍不住来二刷
0.916          1530884053.0    开播重温！！！！！！！！！
0.92           1524288080.0    要动画化了回来二周目~
0.941          1525415639.0    5刷
1.02           1523676516.0    庆祝动画化ww！
1.038          1528021559.0    建议一周目关掉弹幕以免被剧透！
1.046          1522542591.0    7月动画画啦！激动回顾
1.064          1527911253.0    7月中意新番  特来实况补课
1.117          1528724230.0    恭喜动画化！（*＾ワ＾*）
1.198          1527528307.0    恭喜动画化！！
1.295          1527675731.0    从Lex那过来重温
1.298          1528037260.0    动画化啦来再周目
1.31           1526038579.0    二周目在此报到！
1.311          1529291317.0    友情提示；一周目推荐关键弹幕 食用，内含剧透
1.4            1530963828.0    实在喜欢又来看一遍
1.406          1531038954.0    动画化啦！
1.42           1522326365.0    动画化了！来回顾一遍！
1.47           1530896080.0    恭喜动画化！刚看完第一集回来重温！
1.525          1527857788.0    恭喜动画化，岚少也要快点好起来！
1.599          1521656124.0    pv出啦～
1.601          1530886484.0    7月6日杀戮天使动漫第一话播出啦！
1.629          1521695713.0    动画化啦
1.685          1529807799.0    b站买下来了，好激动
1.728          1530885104.0    803个同学门好！从动画过来的！
1.768          1530883222.0    杀天开播了！
1.806          1518498274.0    刚看完就来二周目了
1.939          1531034064.0    动画化贺电！！！！！
2.016          1522386685.0    表白Zack
2.038          1521717698.0    2018七月上映动画敲开心！！！
2.07           1522088182.0    2018年7月动画化啦~~~~ ~
2.114          1527742879.0    动画化之前来补番
2.299          1528021567.0    建议一周目关掉弹幕以免被剧透！
2.383          1530967765.0    二周目
2.433          1530180039.0    恭喜动画化！！！！！！！！！！！
2.44           1529458916.0    动画化之前回来看看！！
2.484          1530886030.0    看完动漫再来回顾~
2.496          1531642211.0    杀戮天使动漫出了！！求你们去看！！！
2.556          1531363564.0    2018年动画化重温
2.571          1525495803.0    杀天7月份就要动画化了耶...
2.576          1527950915.0    七月動畫決定啦 !
2.681          1530884645.0    动画化了！！！！！！！！！
2.715          1530352543.0    知道动画化了所以赶紧来补一下实况嘻嘻嘻😄
2.86           1521537691.0    恭喜動畫化前前來重温!!!!!!!
2.879          1529294847.0    一天的时间
2.881          1521638227.0    这个游戏我觉得算是个好游戏了
2.941          1528622230.0    庆祝动画化回来重温一遍
2.943          1531039511.0    动画回来！！！！！
3.012          1531140591.0    动画化庆祝！！！！
3.063          1530836224.0    开播啦！！！
3.086          1523024549.0    三周目吹爆全员！
3.098          1528564038.0    ray  生日快乐啊！！！
3.117          1528820348.0    提前抱走ray[小心翼翼]
3.253          1530932769.0    从动画过来的
3.267          1527528312.0    恭喜动画化！！
3.271          1530238434.0    lex来的
3.338          1531020932.0    动画化了……再来看一遍
